trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	74.3  	1   	6  +  6   	---     	1.85	0.704	1   	even    	even    
2   	76.3  	2   	8  +  4   	---     	1.85	0.904	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	116.2 	1   	5  +  7   	---     	1.85	0.928	1   	even    	even    
2   	118.2 	2   	9  +  5   	---     	1.85	0.977	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	158.3 	1   	8  +  5   	---     	1.85	1.28	1   	odd     	odd     
2   	160.3 	2   	5  +  7   	---     	1.85	0.944	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	200.3 	1   	9  +  2   	---     	1.85	1.089	1   	odd     	odd     
2   	202.3 	2   	9  +  4   	---     	1.85	1.209	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	242.3 	1   	9  +  5   	---     	1.85	0.873	1   	even    	even    
2   	244.3 	2   	8  +  9   	---     	1.853	1.089	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	284.2 	1   	3  +  9   	---     	1.85	1.17	1   	even    	even    
2   	286.2 	2   	9  +  4   	---     	1.851	1.154	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	326.3 	1   	5  +  8   	---     	1.85	1.57	1   	odd     	odd     
2   	328.3 	2   	9  +  5   	---     	1.85	0.978	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	368.2 	1   	4  +  7   	---     	1.85	1.162	1   	odd     	odd     
2   	370.2 	2   	5  +  9   	---     	1.851	1.371	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	410.2 	1   	8  +  6   	---     	1.852	0.85	1   	even    	even    
2   	412.2 	2   	9  +  4   	---     	1.852	1.163	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	452.3 	1   	8  +  5   	---     	1.851	1.41	0   	even    	odd     
2   	454.3 	2   	9  +  3   	---     	1.85	0.85	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	494.3 	1   	8  +  3   	---     	1.85	1.091	1   	odd     	odd     
2   	496.3 	2   	9  +  8   	---     	1.85	1.139	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	536.3 	1   	7  +  4   	---     	1.851	1.027	1   	odd     	odd     
2   	538.3 	1   	7  +  4 (repeat 1)	---     	1.853	0.619	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	578.2 	1   	4  +  8   	---     	1.85	0.844	1   	even    	even    
2   	580.2 	1   	4  +  8 (repeat 1)	---     	1.85	0.532	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	620.3 	1   	8  +  7   	---     	1.85	0.956	1   	odd     	odd     
2   	622.3 	2   	8  +  9   	---     	1.85	1.188	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	662.3 	1   	9  +  8   	---     	1.85	0.852	1   	odd     	odd     
2   	664.3 	2   	9  +  4   	---     	1.851	1.004	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	704.3 	1   	3  +  8   	---     	1.85	1.068	1   	odd     	odd     
2   	706.3 	2   	7  +  7   	---     	1.85	0.812	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	746.3 	1   	6  +  7   	---     	1.85	1.157	1   	odd     	odd     
2   	748.3 	2   	5  +  6   	---     	1.851	1.453	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	788.3 	1   	6  +  7   	---     	1.852	0.861	1   	odd     	odd     
2   	790.3 	2   	6  +  8   	---     	1.851	0.693	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	830.3 	1   	9  +  2   	---     	1.85	0.917	1   	odd     	odd     
2   	832.3 	2   	5  +  7   	---     	1.85	0.885	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	872.3 	1   	6  +  5   	---     	1.85	1.246	1   	odd     	odd     
2   	874.3 	2   	8  +  3   	---     	1.85	0.854	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	914.3 	1   	9  +  5   	---     	1.85	1.342	1   	even    	even    
2   	916.3 	2   	8  +  9   	---     	1.85	1.141	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	956.3 	1   	6  +  6   	---     	1.851	1.094	1   	even    	even    
2   	958.3 	2   	8  +  5   	---     	1.851	1.535	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	998.3 	1   	5  +  6   	---     	1.851	0.918	1   	odd     	odd     
2   	1000.3	2   	7  +  8   	---     	1.85	1.295	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	1040.3	1   	6  +  8   	---     	1.85	0.735	1   	even    	even    
2   	1042.3	2   	6  +  7   	---     	1.85	0.743	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	1082.3	1   	2  +  9   	---     	1.85	0.847	1   	odd     	odd     
2   	1084.3	1   	2  +  9 (repeat 1)	---     	1.851	0.495	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	1124.3	1   	8  +  7   	---     	1.851	0.983	1   	odd     	odd     
2   	1126.3	2   	4  +  7   	---     	1.851	0.871	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	1166.3	1   	2  +  9   	---     	1.85	0.744	1   	odd     	odd     
2   	1168.3	2   	8  +  5   	---     	1.85	0.872	0   	even    	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	1208.3	1   	4  +  8   	---     	1.852	1.096	1   	even    	even    
2   	1210.3	2   	5  +  8   	---     	1.85	0.784	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	1250.3	1   	7  +  5   	---     	1.851	1.32	0   	odd     	even    
2   	1252.3	2   	5  +  8   	---     	1.85	1.056	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	1292.2	1   	7  +  4   	---     	1.85	0.833	1   	odd     	odd     
2   	1294.3	2   	4  +  7   	---     	1.851	0.904	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	1334.2	1   	2  +  9   	---     	1.851	0.769	1   	odd     	odd     
2   	1336.3	2   	6  +  8   	---     	1.85	0.696	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	1376.2	1   	6  +  5   	---     	1.85	1.082	1   	odd     	odd     
2   	1378.2	2   	4  +  8   	---     	1.851	0.697	1   	even    	even    
