
SESSION 2 initiated 14-Jun-2017 07:37:32 for SUBJECT number 1

session	trial	pair	onset	dur	cue         	associate   
2	1	5	2015  	2002  	CURTAIN     	pico16.jpg  
2	2	8	10005 	2002  	PUZZLE      	pico14.jpg  
2	3	1	18012 	2002  	PIN         	pici22.jpg  
2	4	4	26019 	1985  	RAINBOW     	pici30.jpg  
2	5	6	34008 	2002  	BELL        	pico20.jpg  
2	6	3	42016 	2002  	ISLAND      	pici18.jpg  
2	7	7	50005 	2002  	HAMMER      	pici17.jpg  
2	8	2	58012 	2002  	PEBBLE      	pico11.jpg  


SESSION 2 ended 14-Jun-2017 07:39:13 for SUBJECT number 1




******************************************************************************


SESSION 3 ended 14-Jun-2017 07:42:06 for SUBJECT number 1




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0127		1		13		  NaN
1	2	0		15.000	  NaN	0.0311		1		14		  NaN
1	3	1		15.000	  NaN	0.0161		1		15		  NaN
1	4	0		15.000	  NaN	0.0345		1		16		  NaN
1	5	0		15.000	  NaN	0.0026		1		17		  NaN
1	6	1		15.000	  NaN	0.0043		1		18		  NaN
1	7	0		15.000	  NaN	0.0064		1		19		  NaN
1	8	0		15.000	  NaN	0.0056		1		20		  NaN
1	9	1		15.000	  NaN	0.0095		1		21		  NaN
1	10	0		15.000	  NaN	0.0112		1		22		  NaN
1	11	0		15.000	  NaN	0.0128		1		23		  NaN
1	12	1		15.000	  NaN	0.0148		1		24		  NaN
1	13	0		15.000	  NaN	-0.0021		1		25		  NaN
1	14	0		15.000	  NaN	0.0015		1		26		  NaN
1	15	0		15.000	  NaN	0.0008		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0111		1		34		  NaN
2	2	0		15.000	  NaN	0.0290		1		35		  NaN
2	3	1		15.000	  NaN	0.0146		1		36		  NaN
2	4	0		15.000	  NaN	0.0154		1		37		  NaN
2	5	0		15.000	  NaN	0.0010		1		38		  NaN
2	6	1		15.000	  NaN	0.0029		1		39		  NaN
2	7	0		15.000	  NaN	0.0044		1		40		  NaN
2	8	0		15.000	  NaN	0.0063		1		41		  NaN
2	9	1		15.000	  NaN	0.0247		1		42		  NaN
2	10	0		15.000	  NaN	0.0266		1		43		  NaN
2	11	0		15.000	  NaN	0.0114		1		44		  NaN
2	12	1		15.000	  NaN	0.0299		1		45		  NaN
2	13	0		15.000	  NaN	0.0158		1		46		  NaN
2	14	0		15.000	  NaN	0.0141		1		47		  NaN
2	15	0		15.000	  NaN	0.0014		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0043		1		55		  NaN
3	2	0		15.000	  NaN	0.0060		1		56		  NaN
3	3	1		15.000	  NaN	0.0077		1		57		  NaN
3	4	0		15.000	  NaN	0.0093		1		58		  NaN
3	5	0		15.000	  NaN	0.0112		1		59		  NaN
3	6	1		15.000	  NaN	0.0295		1		60		  NaN
3	7	0		15.000	  NaN	0.0145		1		61		  NaN
3	8	0		15.000	  NaN	0.0146		1		62		  NaN
3	9	1		15.000	  NaN	0.0015		1		63		  NaN
3	10	0		15.000	  NaN	0.0179		1		64		  NaN
3	11	0		15.000	  NaN	0.0025		1		65		  NaN
3	12	1		15.000	  NaN	0.0064		1		66		  NaN
3	13	0		15.000	  NaN	0.0100		1		67		  NaN
3	14	0		15.000	  NaN	0.0097		1		68		  NaN
3	15	0		15.000	  NaN	0.0282		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0121		1		76		  NaN
4	2	0		15.000	  NaN	0.0132		1		77		  NaN
4	3	1		15.000	  NaN	0.0151		1		78		  NaN
4	4	0		15.000	  NaN	0.0179		1		79		  NaN
4	5	0		15.000	  NaN	0.0017		1		80		  NaN
4	6	1		15.000	  NaN	0.0037		1		81		  NaN
4	7	0		15.000	  NaN	0.0064		1		82		  NaN
4	8	0		15.000	  NaN	0.0071		1		83		  NaN
4	9	1		15.000	  NaN	0.0086		1		84		  NaN
4	10	0		15.000	  NaN	0.0114		1		85		  NaN
4	11	0		15.000	  NaN	0.0121		1		86		  NaN
4	12	1		15.000	  NaN	0.0136		1		87		  NaN
4	13	0		15.000	  NaN	0.0174		1		88		  NaN
4	14	0		15.000	  NaN	0.0006		1		89		  NaN
4	15	0		15.000	  NaN	0.0024		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		15.000	  NaN	0.0141		1		97		  NaN
5	2	0		15.000	  NaN	0.0158		1		98		  NaN
5	3	1		15.000	  NaN	0.0008		1		99		  NaN
5	4	0		15.000	  NaN	0.0170		1		100		  NaN
5	5	0		15.000	  NaN	0.0044		1		101		  NaN
5	6	1		15.000	  NaN	0.0061		1		102		  NaN
5	7	0		15.000	  NaN	0.0098		1		103		  NaN
5	8	0		15.000	  NaN	0.0094		1		104		  NaN
5	9	1		15.000	  NaN	0.0111		1		105		  NaN
5	10	0		15.000	  NaN	0.0149		1		106		  NaN
5	11	0		15.000	  NaN	0.0144		1		107		  NaN
5	12	1		15.000	  NaN	-0.0006		1		108		  NaN
5	13	0		15.000	  NaN	0.0192		1		109		  NaN
5	14	0		15.000	  NaN	0.0028		1		110		  NaN
5	15	0		15.000	  NaN	0.0045		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		15.000	  NaN	0.0167		1		118		  NaN
6	2	0		15.000	  NaN	0.0015		1		119		  NaN
6	3	1		15.000	  NaN	0.0033		1		120		  NaN
6	4	0		15.000	  NaN	0.0237		1		121		  NaN
6	5	0		15.000	  NaN	0.0042		1		122		  NaN
6	6	1		15.000	  NaN	0.0084		1		123		  NaN
6	7	0		15.000	  NaN	0.0079		1		124		  NaN
6	8	0		15.000	  NaN	0.0095		1		125		  NaN
6	9	1		15.000	  NaN	0.0135		1		126		  NaN
6	10	0		15.000	  NaN	0.0174		1		127		  NaN
6	11	0		15.000	  NaN	0.0001		1		128		  NaN
6	12	1		15.000	  NaN	0.0017		1		129		  NaN
6	13	0		15.000	  NaN	0.0226		1		130		  NaN
6	14	0		15.000	  NaN	0.0052		1		131		  NaN
6	15	0		15.000	  NaN	0.0070		1		132		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
7	1	0		15.000	  NaN	0.0025		1		139		  NaN
7	2	0		15.000	  NaN	0.0040		1		140		  NaN
7	3	1		15.000	  NaN	0.0058		1		141		  NaN
7	4	0		15.000	  NaN	0.0079		1		142		  NaN
7	5	0		15.000	  NaN	0.0091		1		143		  NaN
7	6	1		15.000	  NaN	0.0106		1		144		  NaN
7	7	0		15.000	  NaN	0.0150		1		145		  NaN
7	8	0		15.000	  NaN	0.0142		1		146		  NaN
7	9	1		15.000	  NaN	0.0158		1		147		  NaN
7	10	0		15.000	  NaN	0.0348		1		148		  NaN
7	11	0		15.000	  NaN	0.0025		1		149		  NaN
7	12	1		15.000	  NaN	0.0042		1		150		  NaN
7	13	0		15.000	  NaN	0.0097		1		151		  NaN
7	14	0		15.000	  NaN	0.0075		1		152		  NaN
7	15	0		15.000	  NaN	0.0092		1		153		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
8	1	0		15.000	  NaN	0.0049		1		160		  NaN
8	2	0		15.000	  NaN	0.0062		1		161		  NaN
8	3	1		15.000	  NaN	0.0079		1		162		  NaN
8	4	0		15.000	  NaN	0.0301		1		163		  NaN
8	5	0		15.000	  NaN	0.0113		1		164		  NaN
8	6	1		15.000	  NaN	0.0131		1		165		  NaN
8	7	0		15.000	  NaN	0.0190		1		166		  NaN
8	8	0		15.000	  NaN	-0.0003		1		167		  NaN
8	9	1		15.000	  NaN	0.0015		1		168		  NaN
8	10	0		15.000	  NaN	0.0221		1		169		  NaN
8	11	0		15.000	  NaN	0.0050		1		170		  NaN
8	12	1		15.000	  NaN	0.0065		1		171		  NaN
8	13	0		15.000	  NaN	0.0106		1		172		  NaN
8	14	0		15.000	  NaN	0.0100		1		173		  NaN
8	15	0		15.000	  NaN	0.0117		1		174		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		14.350	  NaN	0.0122		1		13		  NaN
1	2	0		14.350	  NaN	0.0132		1		14		  NaN
1	3	1		14.350	  NaN	0.0150		1		15		  NaN
1	4	0		14.350	  NaN	0.0002		1		16		  NaN
1	5	0		14.350	  NaN	-0.0005		1		17		  NaN
1	6	1		14.350	  NaN	0.0012		1		18		  NaN
1	7	0		14.350	  NaN	0.0504		1		19		  NaN
1	8	0		14.350	  NaN	0.0234		1		20		  NaN
1	9	1		14.350	  NaN	0.0084		1		21		  NaN
1	10	0		14.350	  NaN	0.0118		1		22		  NaN
1	11	0		14.350	  NaN	0.0121		1		23		  NaN
1	12	1		14.350	  NaN	0.0137		1		24		  NaN
1	13	0		14.350	  NaN	0.0320		1		25		  NaN
1	14	0		14.350	  NaN	0.0151		1		26		  NaN
1	15	0		14.350	  NaN	0.0022		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.805	  NaN	0.0141		1		34		  NaN
2	2	0		15.805	  NaN	0.0158		1		35		  NaN
2	3	1		15.805	  NaN	0.0173		1		36		  NaN
2	4	0		15.805	  NaN	0.0358		1		37		  NaN
2	5	0		15.805	  NaN	0.0208		1		38		  NaN
2	6	1		15.805	  NaN	0.0227		1		39		  NaN
2	7	0		15.805	  NaN	0.0409		1		40		  NaN
2	8	0		15.805	  NaN	0.0070		1		41		  NaN
2	9	1		15.805	  NaN	0.0108		1		42		  NaN
2	10	0		15.805	  NaN	0.0294		1		43		  NaN
2	11	0		15.805	  NaN	0.0143		1		44		  NaN
2	12	1		15.805	  NaN	0.0160		1		45		  NaN
2	13	0		15.805	  NaN	-0.0012		1		46		  NaN
2	14	0		15.805	  NaN	0.0196		1		47		  NaN
2	15	0		15.805	  NaN	0.0210		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		16.980	  NaN	0.0167		1		55		  NaN
3	2	0		16.980	  NaN	0.0182		1		56		  NaN
3	3	1		16.980	  NaN	0.0197		1		57		  NaN
3	4	0		16.980	  NaN	0.0215		1		58		  NaN
3	5	0		16.980	  NaN	0.0210		1		59		  NaN
3	6	1		16.980	  NaN	0.0083		1		60		  NaN
3	7	0		16.980	  NaN	0.0267		1		61		  NaN
3	8	0		16.980	  NaN	0.0116		1		62		  NaN
3	9	1		16.980	  NaN	0.0113		1		63		  NaN
3	10	0		16.980	  NaN	0.0321		1		64		  NaN
3	11	0		16.980	  NaN	0.0168		1		65		  NaN
3	12	1		16.980	  NaN	0.0184		1		66		  NaN
3	13	0		16.980	  NaN	0.0371		1		67		  NaN
3	14	0		16.980	  NaN	0.0054		1		68		  NaN
3	15	0		16.980	  NaN	0.0236		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		17.994	  NaN	0.0024		1		76		  NaN
4	2	0		17.994	  NaN	0.0206		1		77		  NaN
4	3	1		17.994	  NaN	0.0222		1		78		  NaN
4	4	0		17.994	  NaN	0.0412		1		79		  NaN
4	5	0		17.994	  NaN	0.0256		1		80		  NaN
4	6	1		17.994	  NaN	0.0106		1		81		  NaN
4	7	0		17.994	  NaN	0.0299		1		82		  NaN
4	8	0		17.994	  NaN	0.0140		1		83		  NaN
4	9	1		17.994	  NaN	0.0157		1		84		  NaN
4	10	0		17.994	  NaN	0.0348		1		85		  NaN
4	11	0		17.994	  NaN	0.0024		1		86		  NaN
4	12	1		17.994	  NaN	0.0209		1		87		  NaN
4	13	0		17.994	  NaN	0.0400		1		88		  NaN
4	14	0		17.994	  NaN	0.0074		1		89		  NaN
4	15	0		17.994	  NaN	0.0091		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		18.887	  NaN	0.0044		1		97		  NaN
5	2	0		18.887	  NaN	0.0227		1		98		  NaN
5	3	1		18.887	  NaN	0.0078		1		99		  NaN
5	4	0		18.887	  NaN	0.0271		1		100		  NaN
5	5	0		18.887	  NaN	0.0112		1		101		  NaN
5	6	1		18.887	  NaN	0.0131		1		102		  NaN
5	7	0		18.887	  NaN	0.0327		1		103		  NaN
5	8	0		18.887	  NaN	0.0164		1		104		  NaN
5	9	1		18.887	  NaN	0.0182		1		105		  NaN
5	10	0		18.887	  NaN	0.0380		1		106		  NaN
5	11	0		18.887	  NaN	0.0216		1		107		  NaN
5	12	1		18.887	  NaN	0.0232		1		108		  NaN
5	13	0		18.887	  NaN	0.0398		1		109		  NaN
5	14	0		18.887	  NaN	0.0264		1		110		  NaN
5	15	0		18.887	  NaN	0.0113		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		19.695	  NaN	0.0056		1		118		  NaN
6	2	0		19.695	  NaN	0.0072		1		119		  NaN
6	3	1		19.695	  NaN	0.0090		1		120		  NaN
6	4	0		19.695	  NaN	0.0290		1		121		  NaN
6	5	0		19.695	  NaN	0.0124		1		122		  NaN
6	6	1		19.695	  NaN	-0.0027		1		123		  NaN
6	7	0		19.695	  NaN	0.0025		1		124		  NaN
6	8	0		19.695	  NaN	0.0007		1		125		  NaN
6	9	1		19.695	  NaN	0.0024		1		126		  NaN
6	10	0		19.695	  NaN	0.0228		1		127		  NaN
6	11	0		19.695	  NaN	0.0056		1		128		  NaN
6	12	1		19.695	  NaN	0.0075		1		129		  NaN
6	13	0		19.695	  NaN	0.0282		1		130		  NaN
6	14	0		19.695	  NaN	0.0107		1		131		  NaN
6	15	0		19.695	  NaN	0.0126		1		132		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
7	1	0		18.141	  NaN	0.0077		1		139		  NaN
7	2	0		18.141	  NaN	0.0094		1		140		  NaN
7	3	1		18.141	  NaN	0.0113		1		141		  NaN
7	4	0		18.141	  NaN	0.0329		1		142		  NaN
7	5	0		18.141	  NaN	-0.0021		1		143		  NaN
7	6	1		18.141	  NaN	0.0165		1		144		  NaN
7	7	0		18.141	  NaN	0.0203		1		145		  NaN
7	8	0		18.141	  NaN	0.0029		1		146		  NaN
7	9	1		18.141	  NaN	0.0046		1		147		  NaN
7	10	0		18.141	  NaN	0.0265		1		148		  NaN
7	11	0		18.141	  NaN	0.0083		1		149		  NaN
7	12	1		18.141	  NaN	0.0100		1		150		  NaN
7	13	0		18.141	  NaN	0.0315		1		151		  NaN
7	14	0		18.141	  NaN	0.0131		1		152		  NaN
7	15	0		18.141	  NaN	-0.0018		1		153		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
8	1	0		18.624	  NaN	0.0104		1		160		  NaN
8	2	0		18.624	  NaN	0.0116		1		161		  NaN
8	3	1		18.624	  NaN	0.0134		1		162		  NaN
8	4	0		18.624	  NaN	0.0190		1		163		  NaN
8	5	0		18.624	  NaN	-0.0021		1		164		  NaN
8	6	1		18.624	  NaN	0.0018		1		165		  NaN
8	7	0		18.624	  NaN	0.0228		1		166		  NaN
8	8	0		18.624	  NaN	0.0052		1		167		  NaN
8	9	1		18.624	  NaN	0.0072		1		168		  NaN
8	10	0		18.624	  NaN	0.0137		1		169		  NaN
8	11	0		18.624	  NaN	0.0106		1		170		  NaN
8	12	1		18.624	  NaN	0.0122		1		171		  NaN
8	13	0		18.624	  NaN	0.0167		1		172		  NaN
8	14	0		18.624	  NaN	0.0155		1		173		  NaN
8	15	0		18.624	  NaN	0.0006		1		174		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
9	1	0		18.931	  NaN	0.0129		1		181		  NaN
9	2	0		18.931	  NaN	0.0142		1		182		  NaN
9	3	1		18.931	  NaN	0.0161		1		183		  NaN
9	4	0		18.931	  NaN	0.0235		1		184		  NaN
9	5	0		18.931	  NaN	0.0025		1		185		  NaN
9	6	1		18.931	  NaN	0.0023		1		186		  NaN
9	7	0		18.931	  NaN	0.0256		1		187		  NaN
9	8	0		18.931	  NaN	0.0079		1		188		  NaN
9	9	1		18.931	  NaN	0.0095		1		189		  NaN
9	10	0		18.931	  NaN	0.0140		1		190		  NaN
9	11	0		18.931	  NaN	0.0127		1		191		  NaN
9	12	1		18.931	  NaN	0.0147		1		192		  NaN
9	13	0		18.931	  NaN	0.0191		1		193		  NaN
9	14	0		18.931	  NaN	0.0014		1		194		  NaN
9	15	0		18.931	  NaN	0.0029		1		195		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
10	1	0		19.118	  NaN	-0.0017		1		202		  NaN
10	2	0		19.118	  NaN	-0.0001		1		203		  NaN
10	3	1		19.118	  NaN	0.0017		1		204		  NaN
10	4	0		19.118	  NaN	0.0233		1		205		  NaN
10	5	0		19.118	  NaN	0.0050		1		206		  NaN
10	6	1		19.118	  NaN	0.0065		1		207		  NaN
10	7	0		19.118	  NaN	0.0288		1		208		  NaN
10	8	0		19.118	  NaN	0.0100		1		209		  NaN
