
SESSION 2 initiated 06-Jul-2017 16:06:34 for SUBJECT number 10

session	trial	pair	onset	dur	cue         	associate   
2	1	6	2015  	2002  	CURTAIN     	pici18.jpg  
2	2	2	10004 	2002  	HAMMER      	pico16.jpg  
2	3	8	18011 	2002  	PEBBLE      	pici22.jpg  
2	4	1	26018 	1985  	BELL        	pico20.jpg  
2	5	5	34008 	2002  	PUZZLE      	pici17.jpg  
2	6	7	42015 	2002  	ISLAND      	pico11.jpg  
2	7	3	50005 	2002  	PIN         	pico14.jpg  
2	8	4	58012 	2002  	RAINBOW     	pici30.jpg  


SESSION 2 ended 06-Jul-2017 16:08:11 for SUBJECT number 10




******************************************************************************


SESSION 3 ended 06-Jul-2017 16:10:56 for SUBJECT number 10




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0082		1		13		  NaN
1	2	0		15.000	  NaN	0.0268		1		14		  NaN
1	3	1		15.000	  NaN	0.0115		1		15		  NaN
1	4	0		15.000	  NaN	0.0466		1		16		  NaN
1	5	0		15.000	  NaN	0.0149		1		17		  NaN
1	6	1		15.000	  NaN	0.0003		1		18		  NaN
1	7	0		15.000	  NaN	0.0020		1		19		  NaN
1	8	0		15.000	  NaN	0.0036		1		20		  NaN
1	9	1		15.000	  NaN	0.0218		1		21		  NaN
1	10	0		15.000	  NaN	0.0071		1		22		  NaN
1	11	0		15.000	  NaN	0.0253		1		23		  NaN
1	12	1		15.000	  NaN	0.0252		1		24		  NaN
1	13	0		15.000	  NaN	0.0116		1		25		  NaN
1	14	0		15.000	  NaN	0.0135		1		26		  NaN
1	15	0		15.000	  NaN	0.0153		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0074		1		34		  NaN
2	2	0		15.000	  NaN	0.0089		1		35		  NaN
2	3	1		15.000	  NaN	0.0106		1		36		  NaN
2	4	0		15.000	  NaN	0.0654		1		37		  NaN
2	5	0		15.000	  NaN	0.0139		1		38		  NaN
2	6	1		15.000	  NaN	-0.0009		1		39		  NaN
2	7	0		15.000	  NaN	0.0041		1		40		  NaN
2	8	0		15.000	  NaN	0.0020		1		41		  NaN
2	9	1		15.000	  NaN	0.0039		1		42		  NaN
2	10	0		15.000	  NaN	0.0066		1		43		  NaN
2	11	0		15.000	  NaN	0.0075		1		44		  NaN
2	12	1		15.000	  NaN	0.0093		1		45		  NaN
2	13	0		15.000	  NaN	0.0453		1		46		  NaN
2	14	0		15.000	  NaN	0.0294		1		47		  NaN
2	15	0		15.000	  NaN	-0.0025		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0028		1		55		  NaN
3	2	0		15.000	  NaN	0.0042		1		56		  NaN
3	3	1		15.000	  NaN	0.0038		1		57		  NaN
3	4	0		15.000	  NaN	0.0076		1		58		  NaN
3	5	0		15.000	  NaN	0.0097		1		59		  NaN
3	6	1		15.000	  NaN	0.0112		1		60		  NaN
3	7	0		15.000	  NaN	0.0137		1		61		  NaN
3	8	0		15.000	  NaN	0.0125		1		62		  NaN
3	9	1		15.000	  NaN	-0.0003		1		63		  NaN
3	10	0		15.000	  NaN	0.0190		1		64		  NaN
3	11	0		15.000	  NaN	0.0029		1		65		  NaN
3	12	1		15.000	  NaN	0.0045		1		66		  NaN
3	13	0		15.000	  NaN	0.0079		1		67		  NaN
3	14	0		15.000	  NaN	0.0081		1		68		  NaN
3	15	0		15.000	  NaN	0.0097		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0064		1		76		  NaN
4	2	0		15.000	  NaN	0.0248		1		77		  NaN
4	3	1		15.000	  NaN	0.0243		1		78		  NaN
4	4	0		15.000	  NaN	0.0293		1		79		  NaN
4	5	0		15.000	  NaN	0.0131		1		80		  NaN
4	6	1		15.000	  NaN	0.0129		1		81		  NaN
4	7	0		15.000	  NaN	0.0015		1		82		  NaN
4	8	0		15.000	  NaN	0.0182		1		83		  NaN
4	9	1		15.000	  NaN	0.0199		1		84		  NaN
4	10	0		15.000	  NaN	0.0238		1		85		  NaN
4	11	0		15.000	  NaN	0.0233		1		86		  NaN
4	12	1		15.000	  NaN	0.0087		1		87		  NaN
4	13	0		15.000	  NaN	0.0286		1		88		  NaN
4	14	0		15.000	  NaN	0.0117		1		89		  NaN
4	15	0		15.000	  NaN	0.0136		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		15.000	  NaN	0.0089		1		97		  NaN
5	2	0		15.000	  NaN	0.0106		1		98		  NaN
5	3	1		15.000	  NaN	0.0099		1		99		  NaN
5	4	0		15.000	  NaN	0.0338		1		100		  NaN
5	5	0		15.000	  NaN	0.0137		1		101		  NaN
5	6	1		15.000	  NaN	-0.0012		1		102		  NaN
5	7	0		15.000	  NaN	0.0501		1		103		  NaN
5	8	0		15.000	  NaN	0.0208		1		104		  NaN
5	9	1		15.000	  NaN	0.0223		1		105		  NaN
5	10	0		15.000	  NaN	0.0359		1		106		  NaN
5	11	0		15.000	  NaN	0.0259		1		107		  NaN
5	12	1		15.000	  NaN	0.0107		1		108		  NaN
5	13	0		15.000	  NaN	0.0318		1		109		  NaN
5	14	0		15.000	  NaN	0.0143		1		110		  NaN
5	15	0		15.000	  NaN	0.0137		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		15.000	  NaN	0.0111		1		118		  NaN
6	2	0		15.000	  NaN	0.0127		1		119		  NaN
6	3	1		15.000	  NaN	0.0147		1		120		  NaN
6	4	0		15.000	  NaN	0.0354		1		121		  NaN
6	5	0		15.000	  NaN	0.0178		1		122		  NaN
6	6	1		15.000	  NaN	0.0198		1		123		  NaN
6	7	0		15.000	  NaN	0.0410		1		124		  NaN
6	8	0		15.000	  NaN	0.0233		1		125		  NaN
6	9	1		15.000	  NaN	0.0083		1		126		  NaN
6	10	0		15.000	  NaN	0.0295		1		127		  NaN
6	11	0		15.000	  NaN	0.0116		1		128		  NaN
6	12	1		15.000	  NaN	0.0134		1		129		  NaN
6	13	0		15.000	  NaN	0.0349		1		130		  NaN
6	14	0		15.000	  NaN	0.0165		1		131		  NaN
6	15	0		15.000	  NaN	0.0185		1		132		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
7	1	0		15.000	  NaN	0.0137		1		139		  NaN
7	2	0		15.000	  NaN	0.0152		1		140		  NaN
7	3	1		15.000	  NaN	0.0170		1		141		  NaN
7	4	0		15.000	  NaN	0.0215		1		142		  NaN
7	5	0		15.000	  NaN	0.0204		1		143		  NaN
7	6	1		15.000	  NaN	0.0221		1		144		  NaN
7	7	0		15.000	  NaN	0.0268		1		145		  NaN
7	8	0		15.000	  NaN	0.0086		1		146		  NaN
7	9	1		15.000	  NaN	0.0105		1		147		  NaN
7	10	0		15.000	  NaN	0.0266		1		148		  NaN
7	11	0		15.000	  NaN	0.0138		1		149		  NaN
7	12	1		15.000	  NaN	0.0157		1		150		  NaN
7	13	0		15.000	  NaN	0.0384		1		151		  NaN
7	14	0		15.000	  NaN	0.0188		1		152		  NaN
7	15	0		15.000	  NaN	0.0378		1		153		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
8	1	0		15.000	  NaN	0.0183		1		160		  NaN
8	2	0		15.000	  NaN	0.0177		1		161		  NaN
8	3	1		15.000	  NaN	0.0193		1		162		  NaN
8	4	0		15.000	  NaN	0.0423		1		163		  NaN
8	5	0		15.000	  NaN	0.0226		1		164		  NaN
8	6	1		15.000	  NaN	0.0244		1		165		  NaN
8	7	0		15.000	  NaN	0.0314		1		166		  NaN
8	8	0		15.000	  NaN	0.0112		1		167		  NaN
8	9	1		15.000	  NaN	0.0129		1		168		  NaN
