
SESSION 2 initiated 13-Jun-2017 21:22:32 for SUBJECT number 100

session	trial	pair	onset	dur	cue         	associate   
2	1	1	2018  	2000  	RAINBOW     	pici22.jpg  
2	2	4	10014 	2000  	CURTAIN     	pico16.jpg  
2	3	8	18012 	1997  	PEBBLE      	pico20.jpg  
2	4	5	26008 	1999  	ISLAND      	pico11.jpg  
2	5	7	34008 	2000  	BELL        	pico14.jpg  
2	6	6	42009 	2013  	HAMMER      	pici18.jpg  
2	7	3	50009 	2000  	PIN         	pici17.jpg  
2	8	2	58010 	2000  	PUZZLE      	pici30.jpg  


SESSION 2 ended 13-Jun-2017 21:23:42 for SUBJECT number 100




******************************************************************************

SESSION 2 initiated 13-Jun-2017 21:52:00 for SUBJECT number 100

session	trial	pair	onset	dur	cue         	associate   
2	1	6	2005  	2008  	HAMMER      	pici18.jpg  
2	2	1	10010 	2001  	RAINBOW     	pici22.jpg  
2	3	7	18023 	2000  	BELL        	pico14.jpg  
2	4	3	26007 	2013  	PIN         	pici17.jpg  
2	5	2	34009 	1999  	PUZZLE      	pici30.jpg  
2	6	5	42009 	2001  	ISLAND      	pico11.jpg  
2	7	8	50009 	2002  	PEBBLE      	pico20.jpg  
2	8	4	58010 	1999  	CURTAIN     	pico16.jpg  


SESSION 2 ended 13-Jun-2017 21:53:10 for SUBJECT number 100




******************************************************************************


SESSION 3 ended 13-Jun-2017 21:58:11 for SUBJECT number 100




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0052		1		13		  NaN
1	2	0		15.000	  NaN	0.0443		1		14		  NaN
1	3	1		15.000	  NaN	0.0139		1		15		  NaN
1	4	0		15.000	  NaN	0.0322		1		16		  NaN
1	5	0		15.000	  NaN	0.0146		1		17		  NaN
1	6	1		15.000	  NaN	0.0148		1		18		  NaN
1	7	0		15.000	  NaN	0.0131		1		19		  NaN
1	8	0		15.000	  NaN	0.0136		1		20		  NaN
1	9	1		15.000	  NaN	0.0144		1		21		  NaN
1	10	0		15.000	  NaN	0.0145		1		22		  NaN
1	11	0		15.000	  NaN	0.0128		1		23		  NaN
1	12	1		15.000	  NaN	0.0115		1		24		  NaN
1	13	0		15.000	  NaN	0.0104		1		25		  NaN
1	14	0		15.000	  NaN	0.0094		1		26		  NaN
1	15	0		15.000	  NaN	0.0093		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0111		1		34		  NaN
2	2	0		15.000	  NaN	0.0080		1		35		  NaN
2	3	1		15.000	  NaN	0.0112		1		36		  NaN
2	4	0		15.000	  NaN	0.0272		1		37		  NaN
2	5	0		15.000	  NaN	0.0401		1		38		  NaN
2	6	1		15.000	  NaN	0.0054		1		39		  NaN
2	7	0		15.000	  NaN	0.0389		1		40		  NaN
2	8	0		15.000	  NaN	0.0036		1		41		  NaN
2	9	1		15.000	  NaN	0.0072		1		42		  NaN
2	10	0		15.000	  NaN	0.0025		1		43		  NaN
2	11	0		15.000	  NaN	0.0086		1		44		  NaN
2	12	1		15.000	  NaN	0.0017		1		45		  NaN
2	13	0		15.000	  NaN	0.0202		1		46		  NaN
2	14	0		15.000	  NaN	-0.0001		1		47		  NaN
2	15	0		15.000	  NaN	0.0088		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0194		1		55		  NaN
3	2	0		15.000	  NaN	0.0163		1		56		  NaN
