
SESSION 2 initiated 13-Jun-2017 19:57:19 for SUBJECT number 101

session	trial	pair	onset	dur	cue         	associate   
2	1	1	2011  	2002  	RAINBOW     	pici18.jpg  
2	2	2	10013 	2007  	BELL        	pico20.jpg  
2	3	6	18008 	1996  	ISLAND      	pico16.jpg  
2	4	8	26015 	2001  	HAMMER      	pico11.jpg  
2	5	4	34022 	1998  	PIN         	pici30.jpg  
2	6	5	42012 	2002  	PEBBLE      	pici22.jpg  
2	7	7	50013 	2009  	PUZZLE      	pico14.jpg  
2	8	3	58009 	2001  	CURTAIN     	pici17.jpg  


SESSION 2 ended 13-Jun-2017 19:58:29 for SUBJECT number 101




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0182		1		13		  NaN
1	2	0		15.000	  NaN	0.0134		1		14		  NaN
1	3	1		15.000	  NaN	-0.0011		1		15		  NaN
1	4	0		15.000	  NaN	0.0170		1		16		  NaN
1	5	0		15.000	  NaN	0.0010		1		17		  NaN
1	6	1		15.000	  NaN	0.0019		1		18		  NaN
1	7	0		15.000	  NaN	0.0283		1		19		  NaN
1	8	0		15.000	  NaN	0.0074		1		20		  NaN
1	9	1		15.000	  NaN	0.0085		1		21		  NaN
1	10	0		15.000	  NaN	0.0183		1		22		  NaN
1	11	0		15.000	  NaN	0.0123		1		23		  NaN
1	12	1		15.000	  NaN	0.0139		1		24		  NaN
1	13	0		15.000	  NaN	0.0207		1		25		  NaN
1	14	0		15.000	  NaN	-0.0012		1		26		  NaN
1	15	0		15.000	  NaN	0.0010		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0105		1		34		  NaN
2	2	0		15.000	  NaN	0.0060		1		35		  NaN
2	3	1		15.000	  NaN	0.0084		1		36		  NaN
2	4	0		15.000	  NaN	0.0219		1		37		  NaN
2	5	0		15.000	  NaN	0.0089		1		38		  NaN
2	6	1		15.000	  NaN	0.0130		1		39		  NaN
2	7	0		15.000	  NaN	-0.0028		1		40		  NaN
2	8	0		15.000	  NaN	-0.0008		1		41		  NaN
2	9	1		15.000	  NaN	0.0013		1		42		  NaN
2	10	0		15.000	  NaN	0.0164		1		43		  NaN
2	11	0		15.000	  NaN	0.0054		1		44		  NaN
2	12	1		15.000	  NaN	0.0062		1		45		  NaN
2	13	0		15.000	  NaN	0.0208		1		46		  NaN
2	14	0		15.000	  NaN	0.0094		1		47		  NaN
2	15	0		15.000	  NaN	0.0120		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0173		1		55		  NaN
3	2	0		15.000	  NaN	0.0002		1		56		  NaN
3	3	1		15.000	  NaN	0.0026		1		57		  NaN
3	4	0		15.000	  NaN	0.0053		1		58		  NaN
3	5	0		15.000	  NaN	0.0060		1		59		  NaN
3	6	1		15.000	  NaN	0.0067		1		60		  NaN
3	7	0		15.000	  NaN	0.0102		1		61		  NaN
3	8	0		15.000	  NaN	0.0108		1		62		  NaN
3	9	1		15.000	  NaN	0.0146		1		63		  NaN
3	10	0		15.000	  NaN	-0.0011		1		64		  NaN
3	11	0		15.000	  NaN	0.0013		1		65		  NaN
3	12	1		15.000	  NaN	0.0004		1		66		  NaN
3	13	0		15.000	  NaN	0.0040		1		67		  NaN
3	14	0		15.000	  NaN	0.0044		1		68		  NaN
3	15	0		15.000	  NaN	0.0070		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0138		1		76		  NaN
4	2	0		15.000	  NaN	0.0088		1		77		  NaN
4	3	1		15.000	  NaN	0.0102		1		78		  NaN
4	4	0		15.000	  NaN	0.0129		1		79		  NaN
4	5	0		15.000	  NaN	0.0130		1		80		  NaN
4	6	1		15.000	  NaN	0.0164		1		81		  NaN
4	7	0		15.000	  NaN	0.0178		1		82		  NaN
4	8	0		15.000	  NaN	0.0030		1		83		  NaN
4	9	1		15.000	  NaN	0.0212		1		84		  NaN
4	10	0		15.000	  NaN	0.0219		1		85		  NaN
4	11	0		15.000	  NaN	0.0072		1		86		  NaN
4	12	1		15.000	  NaN	0.0088		1		87		  NaN
4	13	0		15.000	  NaN	0.0328		1		88		  NaN
4	14	0		15.000	  NaN	0.0123		1		89		  NaN
4	15	0		15.000	  NaN	0.0130		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		15.000	  NaN	0.0161		1		97		  NaN
5	2	0		15.000	  NaN	0.0114		1		98		  NaN
5	3	1		15.000	  NaN	0.0129		1		99		  NaN
5	4	0		15.000	  NaN	-0.0022		1		100		  NaN
5	5	0		15.000	  NaN	0.0153		1		101		  NaN
5	6	1		15.000	  NaN	0.0019		1		102		  NaN
5	7	0		15.000	  NaN	0.0104		1		103		  NaN
