
SESSION 2 initiated 11-Jul-2017 10:26:16 for SUBJECT number 102

session	trial	pair	onset	dur	cue         	associate   
2	1	4	1999  	2001  	ISLAND      	pico14.jpg  
2	2	5	10001 	2004  	PEBBLE      	pico16.jpg  
2	3	2	18008 	2003  	HAMMER      	pico11.jpg  
2	4	1	25997 	2002  	BELL        	pici30.jpg  
2	5	6	34006 	2001  	RAINBOW     	pici18.jpg  
2	6	3	41995 	2009  	CURTAIN     	pici22.jpg  
2	7	8	50001 	2002  	PUZZLE      	pici17.jpg  
2	8	7	58007 	1992  	PIN         	pico20.jpg  


SESSION 2 ended 11-Jul-2017 10:27:30 for SUBJECT number 102




******************************************************************************


SESSION 3 ended 11-Jul-2017 10:31:05 for SUBJECT number 102




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0083		1		13		  NaN
1	2	0		15.000	  NaN	0.0076		1		14		  NaN
1	3	1		15.000	  NaN	0.0064		1		15		  NaN
1	4	0		15.000	  NaN	0.0930		1		16		  NaN
1	5	0		15.000	  NaN	-0.0030		1		17		  NaN
1	6	1		15.000	  NaN	-0.0016		1		18		  NaN
1	7	0		15.000	  NaN	0.0201		1		19		  NaN
1	8	0		15.000	  NaN	0.0019		1		20		  NaN
1	9	1		15.000	  NaN	0.0034		1		21		  NaN
1	10	0		15.000	  NaN	0.0051		1		22		  NaN
1	11	0		15.000	  NaN	0.0058		1		23		  NaN
1	12	1		15.000	  NaN	0.0017		1		24		  NaN
1	13	0		15.000	  NaN	0.0001		1		25		  NaN
1	14	0		15.000	  NaN	0.0104		1		26		  NaN
1	15	0		15.000	  NaN	-0.0018		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0067		1		34		  NaN
2	2	0		15.000	  NaN	0.0072		1		35		  NaN
2	3	1		15.000	  NaN	-0.0052		1		36		  NaN
2	4	0		15.000	  NaN	-0.0008		1		37		  NaN
2	5	0		15.000	  NaN	0.0113		1		38		  NaN
2	6	1		15.000	  NaN	0.0137		1		39		  NaN
2	7	0		15.000	  NaN	0.0015		1		40		  NaN
2	8	0		15.000	  NaN	-0.0003		1		41		  NaN
2	9	1		15.000	  NaN	0.0017		1		42		  NaN
2	10	0		15.000	  NaN	0.0055		1		43		  NaN
2	11	0		15.000	  NaN	0.0047		1		44		  NaN
2	12	1		15.000	  NaN	-0.0008		1		45		  NaN
2	13	0		15.000	  NaN	0.0160		1		46		  NaN
2	14	0		15.000	  NaN	-0.0031		1		47		  NaN
2	15	0		15.000	  NaN	0.0107		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0085		1		55		  NaN
3	2	0		15.000	  NaN	0.0103		1		56		  NaN
3	3	1		15.000	  NaN	-0.0053		1		57		  NaN
3	4	0		15.000	  NaN	-0.0003		1		58		  NaN
3	5	0		15.000	  NaN	-0.0014		1		59		  NaN
3	6	1		15.000	  NaN	-0.0001		1		60		  NaN
3	7	0		15.000	  NaN	0.0045		1		61		  NaN
3	8	0		15.000	  NaN	0.0028		1		62		  NaN
3	9	1		15.000	  NaN	0.0044		1		63		  NaN
