
SESSION 2 initiated 12-Jul-2017 16:34:14 for SUBJECT number 11

session	trial	pair	onset	dur	cue         	associate   
2	1	1	2014  	2003  	RAINBOW     	pici17.jpg  
2	2	5	10005 	2001  	PEBBLE      	pici30.jpg  
2	3	3	18012 	2002  	CURTAIN     	pici18.jpg  
2	4	7	26018 	1985  	PUZZLE      	pico14.jpg  
2	5	4	34008 	2002  	ISLAND      	pici22.jpg  
2	6	8	42015 	2002  	BELL        	pico20.jpg  
2	7	2	50005 	2002  	PIN         	pico11.jpg  
2	8	6	58012 	2002  	HAMMER      	pico16.jpg  


SESSION 2 ended 12-Jul-2017 16:36:31 for SUBJECT number 11




******************************************************************************


SESSION 3 ended 12-Jul-2017 16:39:10 for SUBJECT number 11




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0107		1		13		  NaN
1	2	0		15.000	  NaN	0.0124		1		14		  NaN
1	3	1		15.000	  NaN	0.0138		1		15		  NaN
1	4	0		15.000	  NaN	0.0639		1		16		  NaN
1	5	0		15.000	  NaN	0.0175		1		17		  NaN
1	6	1		15.000	  NaN	0.0024		1		18		  NaN
1	7	0		15.000	  NaN	0.0223		1		19		  NaN
1	8	0		15.000	  NaN	0.0224		1		20		  NaN
1	9	1		15.000	  NaN	0.0051		1		21		  NaN
1	10	0		15.000	  NaN	0.0275		1		22		  NaN
1	11	0		15.000	  NaN	0.0275		1		23		  NaN
1	12	1		15.000	  NaN	0.0483		1		24		  NaN
1	13	0		15.000	  NaN	0.0483		1		25		  NaN
1	14	0		15.000	  NaN	0.0160		1		26		  NaN
1	15	0		15.000	  NaN	0.0153		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0160		1		34		  NaN
2	2	0		15.000	  NaN	0.0174		1		35		  NaN
2	3	1		15.000	  NaN	0.0021		1		36		  NaN
2	4	0		15.000	  NaN	0.0051		1		37		  NaN
2	5	0		15.000	  NaN	0.0059		1		38		  NaN
2	6	1		15.000	  NaN	0.0054		1		39		  NaN
2	7	0		15.000	  NaN	0.0104		1		40		  NaN
2	8	0		15.000	  NaN	0.0280		1		41		  NaN
2	9	1		15.000	  NaN	0.0296		1		42		  NaN
2	10	0		15.000	  NaN	0.0147		1		43		  NaN
2	11	0		15.000	  NaN	-0.0002		1		44		  NaN
2	12	1		15.000	  NaN	0.0014		1		45		  NaN
2	13	0		15.000	  NaN	0.0037		1		46		  NaN
2	14	0		15.000	  NaN	0.0046		1		47		  NaN
2	15	0		15.000	  NaN	0.0061		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0156		1		55		  NaN
3	2	0		15.000	  NaN	-0.0013		1		56		  NaN
3	3	1		15.000	  NaN	0.0021		1		57		  NaN
3	4	0		15.000	  NaN	0.0369		1		58		  NaN
3	5	0		15.000	  NaN	0.0059		1		59		  NaN
3	6	1		15.000	  NaN	0.0074		1		60		  NaN
3	7	0		15.000	  NaN	0.0435		1		61		  NaN
3	8	0		15.000	  NaN	0.0108		1		62		  NaN
3	9	1		15.000	  NaN	0.0128		1		63		  NaN
3	10	0		15.000	  NaN	0.0488		1		64		  NaN
3	11	0		15.000	  NaN	-0.0006		1		65		  NaN
3	12	1		15.000	  NaN	0.0343		1		66		  NaN
3	13	0		15.000	  NaN	0.0377		1		67		  NaN
3	14	0		15.000	  NaN	0.0022		1		68		  NaN
3	15	0		15.000	  NaN	0.0062		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0043		1		76		  NaN
4	2	0		15.000	  NaN	0.0060		1		77		  NaN
4	3	1		15.000	  NaN	0.0078		1		78		  NaN
4	4	0		15.000	  NaN	0.0444		1		79		  NaN
4	5	0		15.000	  NaN	0.0111		1		80		  NaN
4	6	1		15.000	  NaN	0.0127		1		81		  NaN
4	7	0		15.000	  NaN	0.0160		1		82		  NaN
4	8	0		15.000	  NaN	-0.0005		1		83		  NaN
4	9	1		15.000	  NaN	0.0010		1		84		  NaN
4	10	0		15.000	  NaN	0.0383		1		85		  NaN
4	11	0		15.000	  NaN	0.0044		1		86		  NaN
4	12	1		15.000	  NaN	0.0062		1		87		  NaN
4	13	0		15.000	  NaN	0.0089		1		88		  NaN
4	14	0		15.000	  NaN	0.0077		1		89		  NaN
4	15	0		15.000	  NaN	0.0116		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		15.000	  NaN	0.0067		1		97		  NaN
5	2	0		15.000	  NaN	0.0086		1		98		  NaN
5	3	1		15.000	  NaN	0.0101		1		99		  NaN
5	4	0		15.000	  NaN	0.0098		1		100		  NaN
5	5	0		15.000	  NaN	0.0135		1		101		  NaN
5	6	1		15.000	  NaN	0.0151		1		102		  NaN
5	7	0		15.000	  NaN	0.0358		1		103		  NaN
5	8	0		15.000	  NaN	0.0021		1		104		  NaN
5	9	1		15.000	  NaN	0.0035		1		105		  NaN
5	10	0		15.000	  NaN	0.0399		1		106		  NaN
