trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	23.9  	1   	PAINT     	lure    	0.673	NR  	1   	NR      	NR      
2   	24.6  	2   	STAPLE    	lure    	0.59	NR  	1   	NR      	NR      
3   	25.3  	3   	DRUM      	lure    	0.507	NR  	1   	NR      	NR      
4   	25.9  	2   	STAPLE (repeat 1)	lure    	0.559	NR  	1   	NR      	NR      
5   	26.5  	1   	PAINT (repeat 1)	lure    	0.505	NR  	1   	NR      	NR      
6   	27.1  	4   	CANDLE    	lure    	0.33	NR  	1   	NR      	NR      
7   	27.4  	2   	STAPLE (repeat 2)	lure    	0.319	NR  	1   	NR      	NR      
8   	27.8  	5   	NAIL      	lure    	0.328	NR  	1   	NR      	NR      
9   	28.2  	6   	MOON      	lure    	0.656	NR  	1   	NR      	NR      
10  	28.9  	4   	CANDLE (repeat 1)	lure    	0.496	NR  	1   	NR      	NR      
11  	29.5  	1   	PAINT (repeat 2)	lure    	0.607	NR  	1   	NR      	NR      
12  	30.1  	6   	MOON (repeat 1)	lure    	0.393	NR  	1   	NR      	NR      
13  	30.6  	7   	EASEL     	lure    	0.466	NR  	1   	NR      	NR      
14  	31.1  	4   	CANDLE (repeat 2)	lure    	0.451	NR  	1   	NR      	NR      
15  	31.6  	5   	NAIL (repeat 1)	lure    	0.626	NR  	1   	NR      	NR      
16  	32.3  	3   	DRUM (repeat 1)	lure    	0.451	NR  	1   	NR      	NR      
17  	32.8  	5   	NAIL (repeat 2)	lure    	0.471	NR  	1   	NR      	NR      
18  	33.3  	1   	PAINT (repeat 3)	lure    	0.451	NR  	1   	NR      	NR      
19  	33.8  	3   	DRUM (repeat 2)	lure    	0.315	NR  	1   	NR      	NR      
20  	34.2  	6   	MOON (repeat 2)	lure    	0.451	NR  	1   	NR      	NR      
21  	34.7  	8   	CANTELOUPE	fruit   	0.953	0.642	1   	target  	target  
22  	35.7  	1   	PAINT (repeat 4)	lure    	0.303	NR  	1   	NR      	NR      
23  	36    	4   	CANDLE (repeat 3)	lure    	0.682	NR  	1   	NR      	NR      
24  	36.8  	7   	EASEL (repeat 1)	lure    	0.518	NR  	1   	NR      	NR      
25  	37.3  	3   	DRUM (repeat 3)	lure    	0.445	NR  	1   	NR      	NR      
