
SESSION 2 initiated 17-Jul-2017 10:06:19 for SUBJECT number 12

session	trial	pair	onset	dur	cue         	associate   
2	1	8	2007  	2002  	PIN         	pici30.jpg  
2	2	4	10014 	2002  	ISLAND      	pico16.jpg  
2	3	3	18004 	2002  	CURTAIN     	pico11.jpg  
2	4	5	26011 	2002  	BELL        	pici22.jpg  
2	5	6	34018 	1986  	HAMMER      	pico14.jpg  
2	6	2	42008 	2002  	PUZZLE      	pici17.jpg  
2	7	7	50015 	2002  	PEBBLE      	pici18.jpg  
2	8	1	58005 	2002  	RAINBOW     	pico20.jpg  


SESSION 2 ended 17-Jul-2017 10:08:09 for SUBJECT number 12




******************************************************************************


SESSION 3 ended 17-Jul-2017 10:12:03 for SUBJECT number 12




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0005		1		13		  NaN
1	2	0		15.000	  NaN	0.0022		1		14		  NaN
1	3	1		15.000	  NaN	0.0034		1		15		  NaN
1	4	0		15.000	  NaN	0.0399		1		16		  NaN
1	5	0		15.000	  NaN	0.0073		1		17		  NaN
1	6	1		15.000	  NaN	0.0090		1		18		  NaN
1	7	0		15.000	  NaN	0.0280		1		19		  NaN
1	8	0		15.000	  NaN	0.0121		1		20		  NaN
1	9	1		15.000	  NaN	0.0140		1		21		  NaN
1	10	0		15.000	  NaN	0.0166		1		22		  NaN
1	11	0		15.000	  NaN	0.0008		1		23		  NaN
1	12	1		15.000	  NaN	0.0024		1		24		  NaN
1	13	0		15.000	  NaN	0.0393		1		25		  NaN
1	14	0		15.000	  NaN	0.0034		1		26		  NaN
1	15	0		15.000	  NaN	0.0074		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0063		1		34		  NaN
2	2	0		15.000	  NaN	0.0078		1		35		  NaN
2	3	1		15.000	  NaN	0.0095		1		36		  NaN
2	4	0		15.000	  NaN	0.0115		1		37		  NaN
2	5	0		15.000	  NaN	0.0112		1		38		  NaN
2	6	1		15.000	  NaN	0.0148		1		39		  NaN
2	7	0		15.000	  NaN	0.0036		1		40		  NaN
2	8	0		15.000	  NaN	0.0015		1		41		  NaN
2	9	1		15.000	  NaN	0.0032		1		42		  NaN
2	10	0		15.000	  NaN	0.0394		1		43		  NaN
2	11	0		15.000	  NaN	0.0064		1		44		  NaN
2	12	1		15.000	  NaN	0.0083		1		45		  NaN
2	13	0		15.000	  NaN	0.0440		1		46		  NaN
2	14	0		15.000	  NaN	0.0095		1		47		  NaN
2	15	0		15.000	  NaN	0.0113		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0121		1		55		  NaN
3	2	0		15.000	  NaN	0.0133		1		56		  NaN
3	3	1		15.000	  NaN	0.0151		1		57		  NaN
3	4	0		15.000	  NaN	0.0180		1		58		  NaN
3	5	0		15.000	  NaN	0.0186		1		59		  NaN
3	6	1		15.000	  NaN	0.0015		1		60		  NaN
3	7	0		15.000	  NaN	0.0463		1		61		  NaN
3	8	0		15.000	  NaN	0.0080		1		62		  NaN
3	9	1		15.000	  NaN	0.0069		1		63		  NaN
3	10	0		15.000	  NaN	0.0420		1		64		  NaN
3	11	0		15.000	  NaN	0.0120		1		65		  NaN
