
SESSION 2 initiated 17-Jul-2017 18:35:02 for SUBJECT number 13

session	trial	pair	onset	dur	cue         	associate   
2	1	5	2007  	2002  	PIN         	pico14.jpg  
2	2	1	10014 	2002  	HAMMER      	pico11.jpg  
2	3	4	18004 	2002  	ISLAND      	pico16.jpg  
2	4	8	26011 	2002  	PEBBLE      	pici30.jpg  
2	5	3	34018 	1985  	RAINBOW     	pici18.jpg  
2	6	6	42007 	2002  	CURTAIN     	pico20.jpg  
2	7	7	50014 	1985  	PUZZLE      	pici22.jpg  
2	8	2	58004 	2002  	BELL        	pici17.jpg  


SESSION 2 ended 17-Jul-2017 18:36:38 for SUBJECT number 13




******************************************************************************


SESSION 3 ended 17-Jul-2017 18:39:10 for SUBJECT number 13




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0064		1		13		  NaN
1	2	0		15.000	  NaN	0.0081		1		14		  NaN
1	3	1		15.000	  NaN	0.0073		1		15		  NaN
1	4	0		15.000	  NaN	0.0514		1		16		  NaN
1	5	0		15.000	  NaN	0.0129		1		17		  NaN
1	6	1		15.000	  NaN	-0.0021		1		18		  NaN
1	7	0		15.000	  NaN	0.0173		1		19		  NaN
1	8	0		15.000	  NaN	0.0016		1		20		  NaN
1	9	1		15.000	  NaN	0.0031		1		21		  NaN
1	10	0		15.000	  NaN	0.0392		1		22		  NaN
1	11	0		15.000	  NaN	0.0064		1		23		  NaN
1	12	1		15.000	  NaN	0.0084		1		24		  NaN
1	13	0		15.000	  NaN	0.0446		1		25		  NaN
1	14	0		15.000	  NaN	0.0094		1		26		  NaN
1	15	0		15.000	  NaN	0.0135		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0156		1		34		  NaN
2	2	0		15.000	  NaN	0.0003		1		35		  NaN
2	3	1		15.000	  NaN	0.0314		1		36		  NaN
2	4	0		15.000	  NaN	0.0377		1		37		  NaN
2	5	0		15.000	  NaN	0.0055		1		38		  NaN
2	6	1		15.000	  NaN	0.0069		1		39		  NaN
2	7	0		15.000	  NaN	0.0425		1		40		  NaN
2	8	0		15.000	  NaN	0.0104		1		41		  NaN
2	9	1		15.000	  NaN	0.0121		1		42		  NaN
2	10	0		15.000	  NaN	0.0146		1		43		  NaN
2	11	0		15.000	  NaN	0.0156		1		44		  NaN
2	12	1		15.000	  NaN	0.0007		1		45		  NaN
2	13	0		15.000	  NaN	0.0198		1		46		  NaN
2	14	0		15.000	  NaN	0.0022		1		47		  NaN
2	15	0		15.000	  NaN	0.0055		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0115		1		55		  NaN
3	2	0		15.000	  NaN	0.0129		1		56		  NaN
3	3	1		15.000	  NaN	0.0146		1		57		  NaN
3	4	0		15.000	  NaN	0.0175		1		58		  NaN
3	5	0		15.000	  NaN	-0.0006		1		59		  NaN
3	6	1		15.000	  NaN	0.0032		1		60		  NaN
3	7	0		15.000	  NaN	0.0395		1		61		  NaN
3	8	0		15.000	  NaN	0.0066		1		62		  NaN
3	9	1		15.000	  NaN	0.0083		1		63		  NaN
3	10	0		15.000	  NaN	0.0445		1		64		  NaN
3	11	0		15.000	  NaN	0.0116		1		65		  NaN
3	12	1		15.000	  NaN	0.0130		1		66		  NaN
3	13	0		15.000	  NaN	0.0177		1		67		  NaN
3	14	0		15.000	  NaN	0.0001		1		68		  NaN
3	15	0		15.000	  NaN	0.0016		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0088		1		76		  NaN
4	2	0		15.000	  NaN	0.0250		1		77		  NaN
4	3	1		15.000	  NaN	0.0123		1		78		  NaN
4	4	0		15.000	  NaN	0.0668		1		79		  NaN
4	5	0		15.000	  NaN	0.0155		1		80		  NaN
4	6	1		15.000	  NaN	0.0006		1		81		  NaN
4	7	0		15.000	  NaN	0.0050		1		82		  NaN
4	8	0		15.000	  NaN	0.0040		1		83		  NaN
4	9	1		15.000	  NaN	0.0058		1		84		  NaN
4	10	0		15.000	  NaN	0.0586		1		85		  NaN
4	11	0		15.000	  NaN	0.0259		1		86		  NaN
4	12	1		15.000	  NaN	0.0107		1		87		  NaN
4	13	0		15.000	  NaN	0.0127		1		88		  NaN
4	14	0		15.000	  NaN	0.0142		1		89		  NaN
4	15	0		15.000	  NaN	0.0159		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		15.000	  NaN	0.0115		1		97		  NaN
5	2	0		15.000	  NaN	0.0127		1		98		  NaN
5	3	1		15.000	  NaN	0.0145		1		99		  NaN
5	4	0		15.000	  NaN	-0.0037		1		100		  NaN
5	5	0		15.000	  NaN	0.0157		1		101		  NaN
5	6	1		15.000	  NaN	0.0030		1		102		  NaN
5	7	0		15.000	  NaN	0.0071		1		103		  NaN
5	8	0		15.000	  NaN	0.0065		1		104		  NaN
5	9	1		15.000	  NaN	0.0248		1		105		  NaN
5	10	0		15.000	  NaN	0.0290		1		106		  NaN
5	11	0		15.000	  NaN	0.0116		1		107		  NaN
5	12	1		15.000	  NaN	0.0301		1		108		  NaN
5	13	0		15.000	  NaN	0.0432		1		109		  NaN
5	14	0		15.000	  NaN	0.0334		1		110		  NaN
5	15	0		15.000	  NaN	0.0183		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		15.000	  NaN	0.0137		1		118		  NaN
6	2	0		15.000	  NaN	0.0155		1		119		  NaN
6	3	1		15.000	  NaN	0.0001		1		120		  NaN
6	4	0		15.000	  NaN	0.0056		1		121		  NaN
6	5	0		15.000	  NaN	0.0018		1		122		  NaN
6	6	1		15.000	  NaN	0.0056		1		123		  NaN
6	7	0		15.000	  NaN	0.0106		1		124		  NaN
6	8	0		15.000	  NaN	0.0253		1		125		  NaN
6	9	1		15.000	  NaN	0.0270		1		126		  NaN
6	10	0		15.000	  NaN	0.0326		1		127		  NaN
6	11	0		15.000	  NaN	0.0139		1		128		  NaN
6	12	1		15.000	  NaN	0.0157		1		129		  NaN
6	13	0		15.000	  NaN	0.0045		1		130		  NaN
6	14	0		15.000	  NaN	0.0023		1		131		  NaN
6	15	0		15.000	  NaN	0.0016		1		132		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
7	1	0		15.000	  NaN	0.0160		1		139		  NaN
7	2	0		15.000	  NaN	0.0176		1		140		  NaN
7	3	1		15.000	  NaN	0.0025		1		141		  NaN
7	4	0		15.000	  NaN	0.0082		1		142		  NaN
7	5	0		15.000	  NaN	0.0060		1		143		  NaN
7	6	1		15.000	  NaN	0.0077		1		144		  NaN
7	7	0		15.000	  NaN	0.0604		1		145		  NaN
7	8	0		15.000	  NaN	0.0091		1		146		  NaN
7	9	1		15.000	  NaN	0.0298		1		147		  NaN
7	10	0		15.000	  NaN	0.0355		1		148		  NaN
7	11	0		15.000	  NaN	0.0513		1		149		  NaN
7	12	1		15.000	  NaN	0.0181		1		150		  NaN
7	13	0		15.000	  NaN	0.0053		1		151		  NaN
7	14	0		15.000	  NaN	0.0025		1		152		  NaN
7	15	0		15.000	  NaN	0.0061		1		153		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
8	1	0		15.000	  NaN	0.0186		1		160		  NaN
8	2	0		15.000	  NaN	0.0034		1		161		  NaN
8	3	1		15.000	  NaN	0.0048		1		162		  NaN
8	4	0		15.000	  NaN	0.0092		1		163		  NaN
8	5	0		15.000	  NaN	0.0252		1		164		  NaN
8	6	1		15.000	  NaN	0.0268		1		165		  NaN
8	7	0		15.000	  NaN	0.0312		1		166		  NaN
8	8	0		15.000	  NaN	0.0134		1		167		  NaN
8	9	1		15.000	  NaN	0.0151		1		168		  NaN
8	10	0		15.000	  NaN	-0.0015		1		169		  NaN
8	11	0		15.000	  NaN	0.0164		1		170		  NaN
8	12	1		15.000	  NaN	0.0037		1		171		  NaN
8	13	0		15.000	  NaN	0.0089		1		172		  NaN
8	14	0		15.000	  NaN	0.0069		1		173		  NaN
8	15	0		15.000	  NaN	0.0256		1		174		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		14.350	  NaN	0.0085		1		13		  NaN
1	2	0		14.350	  NaN	0.0267		1		14		  NaN
1	3	1		14.350	  NaN	0.0118		1		15		  NaN
1	4	0		14.350	  NaN	0.0304		1		16		  NaN
1	5	0		14.350	  NaN	0.0154		1		17		  NaN
1	6	1		14.350	  NaN	0.0171		1		18		  NaN
1	7	0		14.350	  NaN	0.0021		1		19		  NaN
1	8	0		14.350	  NaN	0.0021		1		20		  NaN
1	9	1		14.350	  NaN	0.0054		1		21		  NaN
1	10	0		14.350	  NaN	0.0593		1		22		  NaN
1	11	0		14.350	  NaN	0.0065		1		23		  NaN
1	12	1		14.350	  NaN	0.0368		1		24		  NaN
1	13	0		14.350	  NaN	0.0458		1		25		  NaN
1	14	0		14.350	  NaN	0.0138		1		26		  NaN
1	15	0		14.350	  NaN	0.0157		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.805	  NaN	0.0109		1		34		  NaN
2	2	0		15.805	  NaN	0.0291		1		35		  NaN
2	3	1		15.805	  NaN	0.0140		1		36		  NaN
2	4	0		15.805	  NaN	0.0509		1		37		  NaN
2	5	0		15.805	  NaN	0.0009		1		38		  NaN
2	6	1		15.805	  NaN	0.0170		1		39		  NaN
2	7	0		15.805	  NaN	0.0189		1		40		  NaN
2	8	0		15.805	  NaN	0.0227		1		41		  NaN
2	9	1		15.805	  NaN	0.0243		1		42		  NaN
2	10	0		15.805	  NaN	0.0263		1		43		  NaN
2	11	0		15.805	  NaN	0.0111		1		44		  NaN
2	12	1		15.805	  NaN	0.0129		1		45		  NaN
2	13	0		15.805	  NaN	0.0427		1		46		  NaN
2	14	0		15.805	  NaN	0.0163		1		47		  NaN
2	15	0		15.805	  NaN	0.0180		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		16.980	  NaN	0.0132		1		55		  NaN
3	2	0		16.980	  NaN	0.0147		1		56		  NaN
3	3	1		16.980	  NaN	0.0143		1		57		  NaN
3	4	0		16.980	  NaN	0.0024		1		58		  NaN
3	5	0		16.980	  NaN	0.0199		1		59		  NaN
3	6	1		16.980	  NaN	0.0047		1		60		  NaN
3	7	0		16.980	  NaN	0.0518		1		61		  NaN
3	8	0		16.980	  NaN	0.0250		1		62		  NaN
3	9	1		16.980	  NaN	0.0100		1		63		  NaN
3	10	0		16.980	  NaN	0.0400		1		64		  NaN
3	11	0		16.980	  NaN	0.0136		1		65		  NaN
3	12	1		16.980	  NaN	0.0151		1		66		  NaN
3	13	0		16.980	  NaN	0.0010		1		67		  NaN
3	14	0		16.980	  NaN	0.0184		1		68		  NaN
3	15	0		16.980	  NaN	0.0205		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		17.994	  NaN	0.0157		1		76		  NaN
4	2	0		17.994	  NaN	0.0173		1		77		  NaN
4	3	1		17.994	  NaN	0.0188		1		78		  NaN
4	4	0		17.994	  NaN	0.0555		1		79		  NaN
4	5	0		17.994	  NaN	0.0224		1		80		  NaN
4	6	1		17.994	  NaN	0.0240		1		81		  NaN
4	7	0		17.994	  NaN	0.0266		1		82		  NaN
4	8	0		17.994	  NaN	0.0106		1		83		  NaN
4	9	1		17.994	  NaN	0.0125		1		84		  NaN
4	10	0		17.994	  NaN	0.0431		1		85		  NaN
4	11	0		17.994	  NaN	0.0160		1		86		  NaN
4	12	1		17.994	  NaN	0.0174		1		87		  NaN
4	13	0		17.994	  NaN	0.0480		1		88		  NaN
4	14	0		17.994	  NaN	0.0209		1		89		  NaN
4	15	0		17.994	  NaN	0.0228		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		18.887	  NaN	0.0179		1		97		  NaN
5	2	0		18.887	  NaN	0.0196		1		98		  NaN
5	3	1		18.887	  NaN	0.0214		1		99		  NaN
5	4	0		18.887	  NaN	0.0517		1		100		  NaN
5	5	0		18.887	  NaN	0.0080		1		101		  NaN
5	6	1		18.887	  NaN	0.0262		1		102		  NaN
5	7	0		18.887	  NaN	0.0297		1		103		  NaN
5	8	0		18.887	  NaN	0.0130		1		104		  NaN
5	9	1		18.887	  NaN	0.0149		1		105		  NaN
5	10	0		18.887	  NaN	0.0452		1		106		  NaN
5	11	0		18.887	  NaN	0.0182		1		107		  NaN
5	12	1		18.887	  NaN	0.0201		1		108		  NaN
5	13	0		18.887	  NaN	0.0501		1		109		  NaN
5	14	0		18.887	  NaN	0.0235		1		110		  NaN
5	15	0		18.887	  NaN	0.0252		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		19.695	  NaN	0.0142		1		118		  NaN
6	2	0		19.695	  NaN	0.0161		1		119		  NaN
6	3	1		19.695	  NaN	0.0174		1		120		  NaN
6	4	0		19.695	  NaN	0.0477		1		121		  NaN
6	5	0		19.695	  NaN	0.0210		1		122		  NaN
6	6	1		19.695	  NaN	0.0060		1		123		  NaN
6	7	0		19.695	  NaN	0.0360		1		124		  NaN
6	8	0		19.695	  NaN	0.0093		1		125		  NaN
6	9	1		19.695	  NaN	0.0109		1		126		  NaN
6	10	0		19.695	  NaN	0.0405		1		127		  NaN
6	11	0		19.695	  NaN	0.0146		1		128		  NaN
6	12	1		19.695	  NaN	0.0161		1		129		  NaN
6	13	0		19.695	  NaN	0.0456		1		130		  NaN
6	14	0		19.695	  NaN	0.0032		1		131		  NaN
6	15	0		19.695	  NaN	0.0045		1		132		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
7	1	0		20.432	  NaN	0.0167		1		139		  NaN
7	2	0		20.432	  NaN	0.0185		1		140		  NaN
7	3	1		20.432	  NaN	0.0201		1		141		  NaN
7	4	0		20.432	  NaN	0.0493		1		142		  NaN
7	5	0		20.432	  NaN	0.0068		1		143		  NaN
7	6	1		20.432	  NaN	0.0085		1		144		  NaN
7	7	0		20.432	  NaN	0.0384		1		145		  NaN
7	8	0		20.432	  NaN	0.0120		1		146		  NaN
7	9	1		20.432	  NaN	0.0132		1		147		  NaN
7	10	0		20.432	  NaN	0.0438		1		148		  NaN
7	11	0		20.432	  NaN	0.0168		1		149		  NaN
7	12	1		20.432	  NaN	0.0184		1		150		  NaN
7	13	0		20.432	  NaN	0.0482		1		151		  NaN
7	14	0		20.432	  NaN	0.0219		1		152		  NaN
7	15	0		20.432	  NaN	0.0073		1		153		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
8	1	0		21.101	  NaN	0.0025		1		160		  NaN
8	2	0		21.101	  NaN	0.0205		1		161		  NaN
8	3	1		21.101	  NaN	0.0057		1		162		  NaN
8	4	0		21.101	  NaN	0.0262		1		163		  NaN
8	5	0		21.101	  NaN	0.0089		1		164		  NaN
8	6	1		21.101	  NaN	0.0106		1		165		  NaN
8	7	0		21.101	  NaN	0.0448		1		166		  NaN
8	8	0		21.101	  NaN	0.0139		1		167		  NaN
8	9	1		21.101	  NaN	0.0160		1		168		  NaN
8	10	0		21.101	  NaN	0.0197		1		169		  NaN
8	11	0		21.101	  NaN	0.0193		1		170		  NaN
8	12	1		21.101	  NaN	0.0314		1		171		  NaN
8	13	0		21.101	  NaN	0.0423		1		172		  NaN
8	14	0		21.101	  NaN	0.0076		1		173		  NaN
8	15	0		21.101	  NaN	0.0095		1		174		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
9	1	0		21.736	  NaN	0.0049		1		181		  NaN
9	2	0		21.736	  NaN	0.0230		1		182		  NaN
9	3	1		21.736	  NaN	0.0079		1		183		  NaN
9	4	0		21.736	  NaN	0.0393		1		184		  NaN
9	5	0		21.736	  NaN	0.0113		1		185		  NaN
9	6	1		21.736	  NaN	0.0129		1		186		  NaN
9	7	0		21.736	  NaN	0.0472		1		187		  NaN
9	8	0		21.736	  NaN	-0.0024		1		188		  NaN
9	9	1		21.736	  NaN	0.0182		1		189		  NaN
9	10	0		21.736	  NaN	0.0237		1		190		  NaN
9	11	0		21.736	  NaN	0.0026		1		191		  NaN
9	12	1		21.736	  NaN	0.0067		1		192		  NaN
9	13	0		21.736	  NaN	0.0418		1		193		  NaN
9	14	0		21.736	  NaN	0.0098		1		194		  NaN
9	15	0		21.736	  NaN	0.0119		1		195		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
10	1	0		22.319	  NaN	0.0072		1		202		  NaN
10	2	0		22.319	  NaN	0.0086		1		203		  NaN
10	3	1		22.319	  NaN	0.0103		1		204		  NaN
10	4	0		22.319	  NaN	0.0391		1		205		  NaN
10	5	0		22.319	  NaN	0.0138		1		206		  NaN
10	6	1		22.319	  NaN	0.0154		1		207		  NaN
10	7	0		22.319	  NaN	0.0209		1		208		  NaN
10	8	0		22.319	  NaN	0.0187		1		209		  NaN
10	9	1		22.319	  NaN	0.0205		1		210		  NaN
10	10	0		22.319	  NaN	0.0376		1		211		  NaN
