
SESSION 2 initiated 18-Jul-2017 13:31:20 for SUBJECT number 14

session	trial	pair	onset	dur	cue         	associate   
2	1	3	2019  	1985  	PEBBLE      	pici22.jpg  
2	2	8	10009 	2002  	BELL        	pici30.jpg  
2	3	2	18016 	2002  	HAMMER      	pico11.jpg  
2	4	7	26006 	2002  	PUZZLE      	pici17.jpg  
2	5	5	34013 	2002  	CURTAIN     	pici18.jpg  
2	6	1	42003 	2002  	RAINBOW     	pico20.jpg  
2	7	4	50009 	2002  	PIN         	pico16.jpg  
2	8	6	58016 	1985  	ISLAND      	pico14.jpg  


SESSION 2 ended 18-Jul-2017 13:32:47 for SUBJECT number 14




******************************************************************************


SESSION 3 ended 18-Jul-2017 13:35:53 for SUBJECT number 14




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0040		1		13		  NaN
1	2	0		15.000	  NaN	0.0055		1		14		  NaN
1	3	1		15.000	  NaN	0.0075		1		15		  NaN
1	4	0		15.000	  NaN	0.0258		1		16		  NaN
1	5	0		15.000	  NaN	0.0109		1		17		  NaN
1	6	1		15.000	  NaN	0.0126		1		18		  NaN
1	7	0		15.000	  NaN	0.0144		1		19		  NaN
1	8	0		15.000	  NaN	0.0157		1		20		  NaN
1	9	1		15.000	  NaN	0.0008		1		21		  NaN
1	10	0		15.000	  NaN	0.0179		1		22		  NaN
1	11	0		15.000	  NaN	0.0043		1		23		  NaN
1	12	1		15.000	  NaN	0.0062		1		24		  NaN
1	13	0		15.000	  NaN	0.0077		1		25		  NaN
1	14	0		15.000	  NaN	0.0077		1		26		  NaN
1	15	0		15.000	  NaN	0.0110		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0097		1		34		  NaN
2	2	0		15.000	  NaN	0.0112		1		35		  NaN
2	3	1		15.000	  NaN	0.0130		1		36		  NaN
2	4	0		15.000	  NaN	0.0322		1		37		  NaN
2	5	0		15.000	  NaN	0.0139		1		38		  NaN
2	6	1		15.000	  NaN	0.0177		1		39		  NaN
2	7	0		15.000	  NaN	0.0036		1		40		  NaN
2	8	0		15.000	  NaN	0.0046		1		41		  NaN
2	9	1		15.000	  NaN	0.0230		1		42		  NaN
2	10	0		15.000	  NaN	0.0423		1		43		  NaN
2	11	0		15.000	  NaN	0.0262		1		44		  NaN
2	12	1		15.000	  NaN	0.0115		1		45		  NaN
2	13	0		15.000	  NaN	0.0307		1		46		  NaN
2	14	0		15.000	  NaN	0.0150		1		47		  NaN
2	15	0		15.000	  NaN	-0.0001		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0089		1		55		  NaN
3	2	0		15.000	  NaN	0.0079		1		56		  NaN
3	3	1		15.000	  NaN	0.0118		1		57		  NaN
3	4	0		15.000	  NaN	0.0320		1		58		  NaN
3	5	0		15.000	  NaN	0.0155		1		59		  NaN
3	6	1		15.000	  NaN	0.0170		1		60		  NaN
3	7	0		15.000	  NaN	0.0051		1		61		  NaN
3	8	0		15.000	  NaN	0.0188		1		62		  NaN
3	9	1		15.000	  NaN	0.0033		1		63		  NaN
3	10	0		15.000	  NaN	0.0072		1		64		  NaN
3	11	0		15.000	  NaN	0.0090		1		65		  NaN
3	12	1		15.000	  NaN	0.0105		1		66		  NaN
3	13	0		15.000	  NaN	0.0303		1		67		  NaN
3	14	0		15.000	  NaN	0.0140		1		68		  NaN
3	15	0		15.000	  NaN	0.0157		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0054		1		76		  NaN
4	2	0		15.000	  NaN	0.0072		1		77		  NaN
4	3	1		15.000	  NaN	0.0087		1		78		  NaN
4	4	0		15.000	  NaN	0.0117		1		79		  NaN
4	5	0		15.000	  NaN	0.0121		1		80		  NaN
4	6	1		15.000	  NaN	0.0139		1		81		  NaN
4	7	0		15.000	  NaN	-0.0027		1		82		  NaN
4	8	0		15.000	  NaN	0.0004		1		83		  NaN
4	9	1		15.000	  NaN	0.0024		1		84		  NaN
4	10	0		15.000	  NaN	0.0017		1		85		  NaN
4	11	0		15.000	  NaN	0.0058		1		86		  NaN
4	12	1		15.000	  NaN	0.0074		1		87		  NaN
4	13	0		15.000	  NaN	0.0104		1		88		  NaN
4	14	0		15.000	  NaN	0.0089		1		89		  NaN
4	15	0		15.000	  NaN	0.0127		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		15.000	  NaN	0.0080		1		97		  NaN
5	2	0		15.000	  NaN	0.0094		1		98		  NaN
5	3	1		15.000	  NaN	0.0111		1		99		  NaN
5	4	0		15.000	  NaN	0.0144		1		100		  NaN
5	5	0		15.000	  NaN	0.0289		1		101		  NaN
5	6	1		15.000	  NaN	-0.0021		1		102		  NaN
5	7	0		15.000	  NaN	0.0202		1		103		  NaN
5	8	0		15.000	  NaN	0.0027		1		104		  NaN
5	9	1		15.000	  NaN	0.0049		1		105		  NaN
5	10	0		15.000	  NaN	0.0084		1		106		  NaN
5	11	0		15.000	  NaN	0.0080		1		107		  NaN
5	12	1		15.000	  NaN	0.0096		1		108		  NaN
5	13	0		15.000	  NaN	0.0135		1		109		  NaN
5	14	0		15.000	  NaN	0.0133		1		110		  NaN
5	15	0		15.000	  NaN	0.0149		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		15.000	  NaN	0.0101		1		118		  NaN
6	2	0		15.000	  NaN	0.0116		1		119		  NaN
6	3	1		15.000	  NaN	0.0299		1		120		  NaN
6	4	0		15.000	  NaN	0.0511		1		121		  NaN
6	5	0		15.000	  NaN	0.0001		1		122		  NaN
6	6	1		15.000	  NaN	-0.0003		1		123		  NaN
6	7	0		15.000	  NaN	0.0051		1		124		  NaN
6	8	0		15.000	  NaN	0.0052		1		125		  NaN
6	9	1		15.000	  NaN	0.0070		1		126		  NaN
6	10	0		15.000	  NaN	0.0111		1		127		  NaN
6	11	0		15.000	  NaN	0.0104		1		128		  NaN
6	12	1		15.000	  NaN	0.0123		1		129		  NaN
6	13	0		15.000	  NaN	0.0449		1		130		  NaN
6	14	0		15.000	  NaN	0.0134		1		131		  NaN
6	15	0		15.000	  NaN	0.0007		1		132		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
7	1	0		15.000	  NaN	0.0128		1		139		  NaN
7	2	0		15.000	  NaN	0.0142		1		140		  NaN
7	3	1		15.000	  NaN	0.0160		1		141		  NaN
7	4	0		15.000	  NaN	0.0204		1		142		  NaN
7	5	0		15.000	  NaN	0.0002		1		143		  NaN
7	6	1		15.000	  NaN	0.0027		1		144		  NaN
7	7	0		15.000	  NaN	0.0084		1		145		  NaN
7	8	0		15.000	  NaN	0.0076		1		146		  NaN
7	9	1		15.000	  NaN	0.0093		1		147		  NaN
7	10	0		15.000	  NaN	0.0123		1		148		  NaN
7	11	0		15.000	  NaN	0.0127		1		149		  NaN
7	12	1		15.000	  NaN	0.0146		1		150		  NaN
7	13	0		15.000	  NaN	0.0366		1		151		  NaN
7	14	0		15.000	  NaN	0.0160		1		152		  NaN
7	15	0		15.000	  NaN	0.0030		1		153		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
8	1	0		15.000	  NaN	0.0152		1		160		  NaN
8	2	0		15.000	  NaN	0.0332		1		161		  NaN
8	3	1		15.000	  NaN	0.0016		1		162		  NaN
8	4	0		15.000	  NaN	0.0051		1		163		  NaN
8	5	0		15.000	  NaN	0.0050		1		164		  NaN
8	6	1		15.000	  NaN	0.0069		1		165		  NaN
8	7	0		15.000	  NaN	0.0129		1		166		  NaN
8	8	0		15.000	  NaN	0.0100		1		167		  NaN
8	9	1		15.000	  NaN	0.0117		1		168		  NaN
8	10	0		15.000	  NaN	0.0494		1		169		  NaN
8	11	0		15.000	  NaN	0.0151		1		170		  NaN
8	12	1		15.000	  NaN	0.0169		1		171		  NaN
8	13	0		15.000	  NaN	0.0045		1		172		  NaN
8	14	0		15.000	  NaN	0.0036		1		173		  NaN
8	15	0		15.000	  NaN	0.0052		1		174		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		14.350	  NaN	0.0062		1		13		  NaN
1	2	0		14.350	  NaN	0.0243		1		14		  NaN
1	3	1		14.350	  NaN	0.0259		1		15		  NaN
1	4	0		14.350	  NaN	0.0444		1		16		  NaN
1	5	0		14.350	  NaN	0.0125		1		17		  NaN
1	6	1		14.350	  NaN	0.0311		1		18		  NaN
1	7	0		14.350	  NaN	0.0311		1		19		  NaN
1	8	0		14.350	  NaN	0.0176		1		20		  NaN
1	9	1		14.350	  NaN	0.0028		1		21		  NaN
1	10	0		14.350	  NaN	0.0046		1		22		  NaN
1	11	0		14.350	  NaN	0.0230		1		23		  NaN
1	12	1		14.350	  NaN	0.0248		1		24		  NaN
1	13	0		14.350	  NaN	0.0431		1		25		  NaN
1	14	0		14.350	  NaN	0.0281		1		26		  NaN
1	15	0		14.350	  NaN	0.0128		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.805	  NaN	0.0087		1		34		  NaN
2	2	0		15.805	  NaN	0.0267		1		35		  NaN
2	3	1		15.805	  NaN	0.0284		1		36		  NaN
2	4	0		15.805	  NaN	0.0144		1		37		  NaN
2	5	0		15.805	  NaN	0.0127		1		38		  NaN
2	6	1		15.805	  NaN	-0.0001		1		39		  NaN
2	7	0		15.805	  NaN	0.0046		1		40		  NaN
2	8	0		15.805	  NaN	0.0034		1		41		  NaN
2	9	1		15.805	  NaN	0.0219		1		42		  NaN
2	10	0		15.805	  NaN	0.0405		1		43		  NaN
2	11	0		15.805	  NaN	0.0275		1		44		  NaN
2	12	1		15.805	  NaN	0.0272		1		45		  NaN
2	13	0		15.805	  NaN	0.0120		1		46		  NaN
2	14	0		15.805	  NaN	0.0139		1		47		  NaN
2	15	0		15.805	  NaN	0.0319		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		16.980	  NaN	0.0106		1		55		  NaN
3	2	0		16.980	  NaN	0.0288		1		56		  NaN
3	3	1		16.980	  NaN	0.0141		1		57		  NaN
3	4	0		16.980	  NaN	0.0494		1		58		  NaN
3	5	0		16.980	  NaN	0.0008		1		59		  NaN
3	6	1		16.980	  NaN	0.0024		1		60		  NaN
3	7	0		16.980	  NaN	0.0048		1		61		  NaN
3	8	0		16.980	  NaN	0.0225		1		62		  NaN
3	9	1		16.980	  NaN	0.0240		1		63		  NaN
