
SESSION 2 initiated 26-Jul-2017 11:02:26 for SUBJECT number 17

session	trial	pair	onset	dur	cue         	associate   
2	1	1	2001  	2019  	PEBBLE      	pici17.jpg  
2	2	4	10008 	2002  	HAMMER      	pico16.jpg  
2	3	6	18015 	2002  	PUZZLE      	pici30.jpg  
2	4	7	26004 	2002  	BELL        	pico20.jpg  
2	5	3	34011 	2002  	ISLAND      	pico11.jpg  
2	6	2	42018 	1985  	CURTAIN     	pici22.jpg  
2	7	5	50008 	2002  	PIN         	pico14.jpg  
2	8	8	58015 	2002  	RAINBOW     	pici18.jpg  


SESSION 2 ended 26-Jul-2017 11:04:02 for SUBJECT number 17




******************************************************************************


SESSION 3 ended 26-Jul-2017 11:06:38 for SUBJECT number 17




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0066		1		13		  NaN
1	2	0		15.000	  NaN	0.0063		1		14		  NaN
1	3	1		15.000	  NaN	0.0084		1		15		  NaN
1	4	0		15.000	  NaN	0.0286		1		16		  NaN
1	5	0		15.000	  NaN	0.0135		1		17		  NaN
1	6	1		15.000	  NaN	0.0152		1		18		  NaN
1	7	0		15.000	  NaN	-0.0007		1		19		  NaN
1	8	0		15.000	  NaN	0.0018		1		20		  NaN
1	9	1		15.000	  NaN	0.0036		1		21		  NaN
1	10	0		15.000	  NaN	0.0038		1		22		  NaN
1	11	0		15.000	  NaN	0.0069		1		23		  NaN
1	12	1		15.000	  NaN	0.0086		1		24		  NaN
1	13	0		15.000	  NaN	0.0081		1		25		  NaN
1	14	0		15.000	  NaN	0.0120		1		26		  NaN
1	15	0		15.000	  NaN	0.0137		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0039		1		34		  NaN
2	2	0		15.000	  NaN	0.0053		1		35		  NaN
2	3	1		15.000	  NaN	0.0072		1		36		  NaN
2	4	0		15.000	  NaN	0.0565		1		37		  NaN
2	5	0		15.000	  NaN	0.0103		1		38		  NaN
2	6	1		15.000	  NaN	0.0120		1		39		  NaN
2	7	0		15.000	  NaN	0.0478		1		40		  NaN
2	8	0		15.000	  NaN	0.0153		1		41		  NaN
2	9	1		15.000	  NaN	0.0172		1		42		  NaN
2	10	0		15.000	  NaN	0.0519		1		43		  NaN
2	11	0		15.000	  NaN	0.0373		1		44		  NaN
2	12	1		15.000	  NaN	0.0054		1		45		  NaN
2	13	0		15.000	  NaN	0.0590		1		46		  NaN
2	14	0		15.000	  NaN	0.0090		1		47		  NaN
2	15	0		15.000	  NaN	0.0106		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0177		1		55		  NaN
3	2	0		15.000	  NaN	0.0008		1		56		  NaN
3	3	1		15.000	  NaN	0.0020		1		57		  NaN
3	4	0		15.000	  NaN	0.0337		1		58		  NaN
3	5	0		15.000	  NaN	0.0076		1		59		  NaN
3	6	1		15.000	  NaN	0.0096		1		60		  NaN
3	7	0		15.000	  NaN	0.0125		1		61		  NaN
3	8	0		15.000	  NaN	0.0127		1		62		  NaN
3	9	1		15.000	  NaN	0.0145		1		63		  NaN
3	10	0		15.000	  NaN	0.0173		1		64		  NaN
3	11	0		15.000	  NaN	-0.0011		1		65		  NaN
3	12	1		15.000	  NaN	0.0029		1		66		  NaN
3	13	0		15.000	  NaN	0.0382		1		67		  NaN
3	14	0		15.000	  NaN	0.0063		1		68		  NaN
3	15	0		15.000	  NaN	0.0079		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0067		1		76		  NaN
4	2	0		15.000	  NaN	0.0085		1		77		  NaN
4	3	1		15.000	  NaN	0.0103		1		78		  NaN
4	4	0		15.000	  NaN	0.0623		1		79		  NaN
4	5	0		15.000	  NaN	0.0115		1		80		  NaN
4	6	1		15.000	  NaN	0.0153		1		81		  NaN
4	7	0		15.000	  NaN	0.0289		1		82		  NaN
4	8	0		15.000	  NaN	0.0019		1		83		  NaN
4	9	1		15.000	  NaN	0.0034		1		84		  NaN
4	10	0		15.000	  NaN	0.0091		1		85		  NaN
4	11	0		15.000	  NaN	0.0070		1		86		  NaN
4	12	1		15.000	  NaN	0.0086		1		87		  NaN
4	13	0		15.000	  NaN	0.0124		1		88		  NaN
4	14	0		15.000	  NaN	0.0122		1		89		  NaN
4	15	0		15.000	  NaN	0.0305		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		15.000	  NaN	0.0094		1		97		  NaN
5	2	0		15.000	  NaN	0.0106		1		98		  NaN
5	3	1		15.000	  NaN	0.0290		1		99		  NaN
5	4	0		15.000	  NaN	0.0130		1		100		  NaN
5	5	0		15.000	  NaN	0.0137		1		101		  NaN
5	6	1		15.000	  NaN	0.0011		1		102		  NaN
5	7	0		15.000	  NaN	0.0050		1		103		  NaN
5	8	0		15.000	  NaN	0.0044		1		104		  NaN
5	9	1		15.000	  NaN	0.0061		1		105		  NaN
5	10	0		15.000	  NaN	0.0095		1		106		  NaN
5	11	0		15.000	  NaN	0.0094		1		107		  NaN
5	12	1		15.000	  NaN	0.0093		1		108		  NaN
5	13	0		15.000	  NaN	0.0546		1		109		  NaN
5	14	0		15.000	  NaN	0.0144		1		110		  NaN
5	15	0		15.000	  NaN	-0.0005		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		15.000	  NaN	0.0117		1		118		  NaN
6	2	0		15.000	  NaN	0.0300		1		119		  NaN
6	3	1		15.000	  NaN	0.0148		1		120		  NaN
6	4	0		15.000	  NaN	0.0048		1		121		  NaN
6	5	0		15.000	  NaN	0.0015		1		122		  NaN
6	6	1		15.000	  NaN	0.0033		1		123		  NaN
6	7	0		15.000	  NaN	0.0078		1		124		  NaN
6	8	0		15.000	  NaN	0.0043		1		125		  NaN
6	9	1		15.000	  NaN	0.0084		1		126		  NaN
6	10	0		15.000	  NaN	0.0125		1		127		  NaN
6	11	0		15.000	  NaN	0.0093		1		128		  NaN
6	12	1		15.000	  NaN	0.0136		1		129		  NaN
6	13	0		15.000	  NaN	-0.0054		1		130		  NaN
6	14	0		15.000	  NaN	0.0000		1		131		  NaN
