
SESSION 2 initiated 02-Aug-2017 17:02:12 for SUBJECT number 19

session	trial	pair	onset	dur	cue         	associate   
2	1	2	2001  	2002  	PUZZLE      	pici17.jpg  
2	2	8	10008 	2002  	HAMMER      	pici18.jpg  
2	3	1	18015 	2002  	RAINBOW     	pico11.jpg  
2	4	3	26004 	2003  	PEBBLE      	pico16.jpg  
2	5	5	34012 	2002  	ISLAND      	pici30.jpg  
2	6	4	42002 	2002  	PIN         	pici22.jpg  
2	7	7	50008 	2002  	BELL        	pico20.jpg  
2	8	6	58015 	2002  	CURTAIN     	pico14.jpg  


SESSION 2 ended 02-Aug-2017 17:03:30 for SUBJECT number 19




******************************************************************************


SESSION 3 ended 02-Aug-2017 17:06:23 for SUBJECT number 19




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0112		1		13		  NaN
1	2	0		15.000	  NaN	0.0129		1		14		  NaN
1	3	1		15.000	  NaN	-0.0021		1		15		  NaN
1	4	0		15.000	  NaN	0.0331		1		16		  NaN
1	5	0		15.000	  NaN	0.0231		1		17		  NaN
1	6	1		15.000	  NaN	0.0033		1		18		  NaN
1	7	0		15.000	  NaN	0.0376		1		19		  NaN
1	8	0		15.000	  NaN	0.0066		1		20		  NaN
1	9	1		15.000	  NaN	0.0059		1		21		  NaN
1	10	0		15.000	  NaN	0.0090		1		22		  NaN
1	11	0		15.000	  NaN	0.0119		1		23		  NaN
1	12	1		15.000	  NaN	0.0135		1		24		  NaN
1	13	0		15.000	  NaN	0.0154		1		25		  NaN
1	14	0		15.000	  NaN	-0.0023		1		26		  NaN
1	15	0		15.000	  NaN	0.0016		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0037		1		34		  NaN
2	2	0		15.000	  NaN	0.0050		1		35		  NaN
2	3	1		15.000	  NaN	0.0068		1		36		  NaN
2	4	0		15.000	  NaN	0.0431		1		37		  NaN
2	5	0		15.000	  NaN	0.0104		1		38		  NaN
2	6	1		15.000	  NaN	0.0120		1		39		  NaN
2	7	0		15.000	  NaN	0.0147		1		40		  NaN
2	8	0		15.000	  NaN	-0.0013		1		41		  NaN
2	9	1		15.000	  NaN	0.0006		1		42		  NaN
2	10	0		15.000	  NaN	0.0347		1		43		  NaN
2	11	0		15.000	  NaN	0.0039		1		44		  NaN
2	12	1		15.000	  NaN	0.0057		1		45		  NaN
2	13	0		15.000	  NaN	0.0414		1		46		  NaN
2	14	0		15.000	  NaN	0.0090		1		47		  NaN
2	15	0		15.000	  NaN	0.0107		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0085		1		55		  NaN
3	2	0		15.000	  NaN	0.0100		1		56		  NaN
3	3	1		15.000	  NaN	0.0118		1		57		  NaN
3	4	0		15.000	  NaN	0.0471		1		58		  NaN
3	5	0		15.000	  NaN	0.0153		1		59		  NaN
3	6	1		15.000	  NaN	0.0168		1		60		  NaN
3	7	0		15.000	  NaN	0.0534		1		61		  NaN
3	8	0		15.000	  NaN	0.0020		1		62		  NaN
3	9	1		15.000	  NaN	0.0053		1		63		  NaN
3	10	0		15.000	  NaN	0.0408		1		64		  NaN
3	11	0		15.000	  NaN	0.0087		1		65		  NaN
3	12	1		15.000	  NaN	0.0104		1		66		  NaN
3	13	0		15.000	  NaN	0.0468		1		67		  NaN
3	14	0		15.000	  NaN	0.0138		1		68		  NaN
3	15	0		15.000	  NaN	0.0157		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0137		1		76		  NaN
4	2	0		15.000	  NaN	0.0150		1		77		  NaN
4	3	1		15.000	  NaN	-0.0022		1		78		  NaN
4	4	0		15.000	  NaN	0.0036		1		79		  NaN
4	5	0		15.000	  NaN	0.0035		1		80		  NaN
4	6	1		15.000	  NaN	0.0218		1		81		  NaN
4	7	0		15.000	  NaN	0.0525		1		82		  NaN
4	8	0		15.000	  NaN	0.0252		1		83		  NaN
4	9	1		15.000	  NaN	0.0269		1		84		  NaN
4	10	0		15.000	  NaN	0.0625		1		85		  NaN
4	11	0		15.000	  NaN	0.0481		1		86		  NaN
4	12	1		15.000	  NaN	0.0153		1		87		  NaN
4	13	0		15.000	  NaN	-0.0018		1		88		  NaN
4	14	0		15.000	  NaN	0.0023		1		89		  NaN
4	15	0		15.000	  NaN	0.0202		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
