
SESSION 2 initiated 11-Aug-2017 10:31:29 for SUBJECT number 21

session	trial	pair	onset	dur	cue         	associate   
2	1	4	2005  	2003  	HAMMER      	pici18.jpg  
2	2	7	10012 	2002  	BELL        	pici30.jpg  
2	3	2	18002 	2002  	PEBBLE      	pico16.jpg  
2	4	6	26009 	2002  	PIN         	pico14.jpg  
2	5	1	34016 	2002  	PUZZLE      	pici22.jpg  
2	6	3	42006 	2002  	CURTAIN     	pico11.jpg  
2	7	8	50013 	1985  	RAINBOW     	pico20.jpg  
2	8	5	58003 	2002  	ISLAND      	pici17.jpg  


SESSION 2 ended 11-Aug-2017 10:33:12 for SUBJECT number 21




******************************************************************************


SESSION 3 ended 11-Aug-2017 10:36:18 for SUBJECT number 21




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0025		1		13		  NaN
1	2	0		15.000	  NaN	0.0041		1		14		  NaN
1	3	1		15.000	  NaN	0.0055		1		15		  NaN
1	4	0		15.000	  NaN	0.0597		1		16		  NaN
1	5	0		15.000	  NaN	0.0093		1		17		  NaN
1	6	1		15.000	  NaN	0.0086		1		18		  NaN
1	7	0		15.000	  NaN	0.0184		1		19		  NaN
1	8	0		15.000	  NaN	-0.0024		1		20		  NaN
1	9	1		15.000	  NaN	0.0137		1		21		  NaN
1	10	0		15.000	  NaN	0.0346		1		22		  NaN
1	11	0		15.000	  NaN	0.0027		1		23		  NaN
1	12	1		15.000	  NaN	0.0023		1		24		  NaN
1	13	0		15.000	  NaN	0.0337		1		25		  NaN
1	14	0		15.000	  NaN	0.0078		1		26		  NaN
1	15	0		15.000	  NaN	0.0094		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0024		1		34		  NaN
2	2	0		15.000	  NaN	0.0023		1		35		  NaN
2	3	1		15.000	  NaN	0.0058		1		36		  NaN
2	4	0		15.000	  NaN	0.0413		1		37		  NaN
2	5	0		15.000	  NaN	0.0092		1		38		  NaN
2	6	1		15.000	  NaN	0.0107		1		39		  NaN
2	7	0		15.000	  NaN	0.0461		1		40		  NaN
2	8	0		15.000	  NaN	0.0143		1		41		  NaN
2	9	1		15.000	  NaN	-0.0008		1		42		  NaN
2	10	0		15.000	  NaN	0.0528		1		43		  NaN
2	11	0		15.000	  NaN	0.0025		1		44		  NaN
2	12	1		15.000	  NaN	0.0046		1		45		  NaN
2	13	0		15.000	  NaN	0.0343		1		46		  NaN
2	14	0		15.000	  NaN	0.0078		1		47		  NaN
2	15	0		15.000	  NaN	0.0096		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0132		1		55		  NaN
3	2	0		15.000	  NaN	0.0147		1		56		  NaN
3	3	1		15.000	  NaN	0.0166		1		57		  NaN
3	4	0		15.000	  NaN	0.0520		1		58		  NaN
3	5	0		15.000	  NaN	0.0199		1		59		  NaN
3	6	1		15.000	  NaN	0.0192		1		60		  NaN
3	7	0		15.000	  NaN	0.0584		1		61		  NaN
3	8	0		15.000	  NaN	0.0083		1		62		  NaN
3	9	1		15.000	  NaN	0.0099		1		63		  NaN
3	10	0		15.000	  NaN	0.0455		1		64		  NaN
3	11	0		15.000	  NaN	0.0134		1		65		  NaN
3	12	1		15.000	  NaN	0.0150		1		66		  NaN
3	13	0		15.000	  NaN	0.0503		1		67		  NaN
3	14	0		15.000	  NaN	0.0163		1		68		  NaN
3	15	0		15.000	  NaN	0.0200		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0027		1		76		  NaN
4	2	0		15.000	  NaN	0.0043		1		77		  NaN
4	3	1		15.000	  NaN	0.0056		1		78		  NaN
4	4	0		15.000	  NaN	0.0408		1		79		  NaN
4	5	0		15.000	  NaN	0.0069		1		80		  NaN
4	6	1		15.000	  NaN	0.0108		1		81		  NaN
4	7	0		15.000	  NaN	0.0548		1		82		  NaN
4	8	0		15.000	  NaN	0.0141		1		83		  NaN
4	9	1		15.000	  NaN	-0.0006		1		84		  NaN
4	10	0		15.000	  NaN	0.0347		1		85		  NaN
4	11	0		15.000	  NaN	0.0357		1		86		  NaN
4	12	1		15.000	  NaN	0.0043		1		87		  NaN
4	13	0		15.000	  NaN	0.0436		1		88		  NaN
4	14	0		15.000	  NaN	0.0078		1		89		  NaN
4	15	0		15.000	  NaN	0.0094		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		15.000	  NaN	0.0048		1		97		  NaN
5	2	0		15.000	  NaN	0.0063		1		98		  NaN
5	3	1		15.000	  NaN	0.0083		1		99		  NaN
5	4	0		15.000	  NaN	0.0434		1		100		  NaN
5	5	0		15.000	  NaN	0.0098		1		101		  NaN
5	6	1		15.000	  NaN	0.0133		1		102		  NaN
5	7	0		15.000	  NaN	0.0486		1		103		  NaN
5	8	0		15.000	  NaN	-0.0023		1		104		  NaN
5	9	1		15.000	  NaN	0.0017		1		105		  NaN
5	10	0		15.000	  NaN	0.0231		1		106		  NaN
5	11	0		15.000	  NaN	0.0051		1		107		  NaN
5	12	1		15.000	  NaN	0.0066		1		108		  NaN
5	13	0		15.000	  NaN	0.0424		1		109		  NaN
5	14	0		15.000	  NaN	0.0102		1		110		  NaN
5	15	0		15.000	  NaN	0.0119		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		15.000	  NaN	0.0072		1		118		  NaN
6	2	0		15.000	  NaN	0.0088		1		119		  NaN
6	3	1		15.000	  NaN	0.0106		1		120		  NaN
6	4	0		15.000	  NaN	0.0459		1		121		  NaN
6	5	0		15.000	  NaN	0.0139		1		122		  NaN
