
SESSION 2 initiated 16-Aug-2017 17:02:49 for SUBJECT number 22

session	trial	pair	onset	dur	cue         	associate   
2	1	7	2003  	2002  	PIN         	pico11.jpg  
2	2	2	10010 	2002  	PEBBLE      	pico16.jpg  
2	3	3	18017 	2002  	PUZZLE      	pico20.jpg  
2	4	8	26007 	2002  	BELL        	pici17.jpg  
2	5	6	34014 	2002  	CURTAIN     	pico14.jpg  
2	6	1	42004 	2002  	HAMMER      	pici22.jpg  
2	7	5	50011 	2002  	RAINBOW     	pici18.jpg  
2	8	4	58001 	2002  	ISLAND      	pici30.jpg  


SESSION 2 ended 16-Aug-2017 17:04:30 for SUBJECT number 22




******************************************************************************


SESSION 3 ended 16-Aug-2017 17:07:20 for SUBJECT number 22




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0156		1		13		  NaN
1	2	0		15.000	  NaN	0.0151		1		14		  NaN
1	3	1		15.000	  NaN	0.0190		1		15		  NaN
1	4	0		15.000	  NaN	0.0712		1		16		  NaN
1	5	0		15.000	  NaN	0.0223		1		17		  NaN
1	6	1		15.000	  NaN	0.0074		1		18		  NaN
1	7	0		15.000	  NaN	0.0592		1		19		  NaN
1	8	0		15.000	  NaN	0.0108		1		20		  NaN
1	9	1		15.000	  NaN	0.0124		1		21		  NaN
1	10	0		15.000	  NaN	0.0138		1		22		  NaN
1	11	0		15.000	  NaN	0.0142		1		23		  NaN
1	12	1		15.000	  NaN	0.0173		1		24		  NaN
1	13	0		15.000	  NaN	0.0686		1		25		  NaN
1	14	0		15.000	  NaN	0.0210		1		26		  NaN
1	15	0		15.000	  NaN	0.0225		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0049		1		34		  NaN
2	2	0		15.000	  NaN	0.0062		1		35		  NaN
2	3	1		15.000	  NaN	0.0082		1		36		  NaN
2	4	0		15.000	  NaN	0.0299		1		37		  NaN
2	5	0		15.000	  NaN	0.0092		1		38		  NaN
2	6	1		15.000	  NaN	0.0133		1		39		  NaN
2	7	0		15.000	  NaN	0.0702		1		40		  NaN
2	8	0		15.000	  NaN	0.0165		1		41		  NaN
2	9	1		15.000	  NaN	0.0015		1		42		  NaN
2	10	0		15.000	  NaN	0.0365		1		43		  NaN
2	11	0		15.000	  NaN	0.0031		1		44		  NaN
2	12	1		15.000	  NaN	0.0044		1		45		  NaN
2	13	0		15.000	  NaN	0.0276		1		46		  NaN
2	14	0		15.000	  NaN	0.0102		1		47		  NaN
2	15	0		15.000	  NaN	0.0118		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0154		1		55		  NaN
3	2	0		15.000	  NaN	0.0001		1		56		  NaN
3	3	1		15.000	  NaN	0.0018		1		57		  NaN
3	4	0		15.000	  NaN	0.0040		1		58		  NaN
3	5	0		15.000	  NaN	0.0056		1		59		  NaN
3	6	1		15.000	  NaN	0.0069		1		60		  NaN
3	7	0		15.000	  NaN	0.0590		1		61		  NaN
3	8	0		15.000	  NaN	0.0084		1		62		  NaN
3	9	1		15.000	  NaN	0.0120		1		63		  NaN
3	10	0		15.000	  NaN	0.0149		1		64		  NaN
3	11	0		15.000	  NaN	0.0157		1		65		  NaN
3	12	1		15.000	  NaN	0.0007		1		66		  NaN
3	13	0		15.000	  NaN	0.0354		1		67		  NaN
3	14	0		15.000	  NaN	0.0041		1		68		  NaN
3	15	0		15.000	  NaN	0.0054		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
