
SESSION 2 initiated 25-Aug-2017 17:13:54 for SUBJECT number 23

session	trial	pair	onset	dur	cue         	associate   
2	1	6	2008  	2002  	HAMMER      	pici22.jpg  
2	2	1	10014 	2002  	PUZZLE      	pici17.jpg  
2	3	7	18004 	2002  	ISLAND      	pico16.jpg  
2	4	8	26011 	2002  	PIN         	pico20.jpg  
2	5	4	34018 	1985  	BELL        	pici30.jpg  
2	6	5	42008 	2002  	PEBBLE      	pici18.jpg  
2	7	3	50015 	2002  	RAINBOW     	pico14.jpg  
2	8	2	58005 	2002  	CURTAIN     	pico11.jpg  


SESSION 2 ended 25-Aug-2017 17:15:45 for SUBJECT number 23




******************************************************************************


SESSION 3 ended 25-Aug-2017 17:18:15 for SUBJECT number 23




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0160		1		13		  NaN
1	2	0		15.000	  NaN	0.0010		1		14		  NaN
1	3	1		15.000	  NaN	0.0029		1		15		  NaN
1	4	0		15.000	  NaN	0.0582		1		16		  NaN
1	5	0		15.000	  NaN	0.0060		1		17		  NaN
1	6	1		15.000	  NaN	0.0078		1		18		  NaN
1	7	0		15.000	  NaN	0.0071		1		19		  NaN
1	8	0		15.000	  NaN	0.0111		1		20		  NaN
1	9	1		15.000	  NaN	0.0126		1		21		  NaN
1	10	0		15.000	  NaN	0.0146		1		22		  NaN
1	11	0		15.000	  NaN	0.0163		1		23		  NaN
1	12	1		15.000	  NaN	-0.0009		1		24		  NaN
1	13	0		15.000	  NaN	0.0241		1		25		  NaN
1	14	0		15.000	  NaN	0.0045		1		26		  NaN
1	15	0		15.000	  NaN	0.0063		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0038		1		34		  NaN
2	2	0		15.000	  NaN	0.0050		1		35		  NaN
2	3	1		15.000	  NaN	0.0069		1		36		  NaN
2	4	0		15.000	  NaN	0.0091		1		37		  NaN
2	5	0		15.000	  NaN	0.0103		1		38		  NaN
2	6	1		15.000	  NaN	0.0286		1		39		  NaN
2	7	0		15.000	  NaN	-0.0023		1		40		  NaN
2	8	0		15.000	  NaN	0.0156		1		41		  NaN
2	9	1		15.000	  NaN	0.0006		1		42		  NaN
2	10	0		15.000	  NaN	0.0037		1		43		  NaN
2	11	0		15.000	  NaN	0.0019		1		44		  NaN
2	12	1		15.000	  NaN	0.0056		1		45		  NaN
2	13	0		15.000	  NaN	0.0084		1		46		  NaN
2	14	0		15.000	  NaN	0.0073		1		47		  NaN
2	15	0		15.000	  NaN	0.0273		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0167		1		55		  NaN
3	2	0		15.000	  NaN	0.0017		1		56		  NaN
3	3	1		15.000	  NaN	0.0034		1		57		  NaN
3	4	0		15.000	  NaN	0.0229		1		58		  NaN
3	5	0		15.000	  NaN	0.0066		1		59		  NaN
3	6	1		15.000	  NaN	0.0083		1		60		  NaN
3	7	0		15.000	  NaN	0.0108		1		61		  NaN
3	8	0		15.000	  NaN	0.0115		1		62		  NaN
3	9	1		15.000	  NaN	0.0111		1		63		  NaN
3	10	0		15.000	  NaN	-0.0013		1		64		  NaN
3	11	0		15.000	  NaN	0.0167		1		65		  NaN
3	12	1		15.000	  NaN	-0.0002		1		66		  NaN
3	13	0		15.000	  NaN	0.0217		1		67		  NaN
3	14	0		15.000	  NaN	0.0052		1		68		  NaN
3	15	0		15.000	  NaN	0.0069		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0126		1		76		  NaN
4	2	0		15.000	  NaN	0.0141		1		77		  NaN
4	3	1		15.000	  NaN	-0.0009		1		78		  NaN
4	4	0		15.000	  NaN	0.0188		1		79		  NaN
4	5	0		15.000	  NaN	0.0025		1		80		  NaN
4	6	1		15.000	  NaN	0.0043		1		81		  NaN
4	7	0		15.000	  NaN	0.0240		1		82		  NaN
4	8	0		15.000	  NaN	0.0077		1		83		  NaN
4	9	1		15.000	  NaN	0.0085		1		84		  NaN
4	10	0		15.000	  NaN	0.0090		1		85		  NaN
4	11	0		15.000	  NaN	0.0125		1		86		  NaN
4	12	1		15.000	  NaN	0.0123		1		87		  NaN
4	13	0		15.000	  NaN	-0.0031		1		88		  NaN
4	14	0		15.000	  NaN	0.0011		1		89		  NaN
4	15	0		15.000	  NaN	0.0027		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		15.000	  NaN	0.0148		1		97		  NaN
5	2	0		15.000	  NaN	-0.0002		1		98		  NaN
5	3	1		15.000	  NaN	0.0015		1		99		  NaN
5	4	0		15.000	  NaN	0.0220		1		100		  NaN
5	5	0		15.000	  NaN	0.0047		1		101		  NaN
5	6	1		15.000	  NaN	0.0064		1		102		  NaN
5	7	0		15.000	  NaN	0.0267		1		103		  NaN
5	8	0		15.000	  NaN	0.0101		1		104		  NaN
5	9	1		15.000	  NaN	0.0117		1		105		  NaN
5	10	0		15.000	  NaN	0.0152		1		106		  NaN
5	11	0		15.000	  NaN	-0.0014		1		107		  NaN
5	12	1		15.000	  NaN	0.0000		1		108		  NaN
5	13	0		15.000	  NaN	0.0200		1		109		  NaN
5	14	0		15.000	  NaN	0.0036		1		110		  NaN
5	15	0		15.000	  NaN	0.0052		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		15.000	  NaN	0.0170		1		118		  NaN
6	2	0		15.000	  NaN	0.0019		1		119		  NaN
