
SESSION 2 initiated 09-Sep-2017 09:44:01 for SUBJECT number 24

session	trial	pair	onset	dur	cue         	associate   
2	1	1	2006  	2003  	HAMMER      	pico11.jpg  
2	2	8	10013 	2002  	BELL        	pico14.jpg  
2	3	6	18003 	2002  	ISLAND      	pici22.jpg  
2	4	7	26010 	2002  	CURTAIN     	pici18.jpg  
2	5	5	34000 	2002  	PIN         	pico16.jpg  
2	6	4	42006 	2002  	PEBBLE      	pici30.jpg  
2	7	2	50013 	2002  	RAINBOW     	pici17.jpg  
2	8	3	58004 	2002  	PUZZLE      	pico20.jpg  


SESSION 2 ended 09-Sep-2017 09:45:23 for SUBJECT number 24




******************************************************************************


SESSION 3 ended 09-Sep-2017 09:47:54 for SUBJECT number 24




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0127		1		13		  NaN
1	2	0		15.000	  NaN	-0.0023		1		14		  NaN
1	3	1		15.000	  NaN	-0.0006		1		15		  NaN
1	4	0		15.000	  NaN	0.0345		1		16		  NaN
1	5	0		15.000	  NaN	0.0028		1		17		  NaN
1	6	1		15.000	  NaN	0.0045		1		18		  NaN
1	7	0		15.000	  NaN	0.0065		1		19		  NaN
1	8	0		15.000	  NaN	0.0078		1		20		  NaN
1	9	1		15.000	  NaN	0.0098		1		21		  NaN
1	10	0		15.000	  NaN	0.0090		1		22		  NaN
1	11	0		15.000	  NaN	0.0108		1		23		  NaN
1	12	1		15.000	  NaN	0.0145		1		24		  NaN
1	13	0		15.000	  NaN	0.0001		1		25		  NaN
1	14	0		15.000	  NaN	0.0016		1		26		  NaN
1	15	0		15.000	  NaN	0.0033		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0036		1		34		  NaN
2	2	0		15.000	  NaN	0.0050		1		35		  NaN
2	3	1		15.000	  NaN	0.0067		1		36		  NaN
2	4	0		15.000	  NaN	0.0083		1		37		  NaN
2	5	0		15.000	  NaN	0.0101		1		38		  NaN
2	6	1		15.000	  NaN	0.0118		1		39		  NaN
2	7	0		15.000	  NaN	0.0182		1		40		  NaN
2	8	0		15.000	  NaN	0.0151		1		41		  NaN
2	9	1		15.000	  NaN	0.0000		1		42		  NaN
2	10	0		15.000	  NaN	0.0199		1		43		  NaN
2	11	0		15.000	  NaN	0.0015		1		44		  NaN
2	12	1		15.000	  NaN	0.0054		1		45		  NaN
2	13	0		15.000	  NaN	0.0066		1		46		  NaN
2	14	0		15.000	  NaN	0.0070		1		47		  NaN
2	15	0		15.000	  NaN	0.0106		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0082		1		55		  NaN
3	2	0		15.000	  NaN	0.0097		1		56		  NaN
3	3	1		15.000	  NaN	0.0112		1		57		  NaN
3	4	0		15.000	  NaN	0.0462		1		58		  NaN
3	5	0		15.000	  NaN	0.0148		1		59		  NaN
3	6	1		15.000	  NaN	0.0165		1		60		  NaN
3	7	0		15.000	  NaN	0.0472		1		61		  NaN
3	8	0		15.000	  NaN	0.0198		1		62		  NaN
3	9	1		15.000	  NaN	0.0026		1		63		  NaN
3	10	0		15.000	  NaN	0.0214		1		64		  NaN
3	11	0		15.000	  NaN	0.0084		1		65		  NaN
3	12	1		15.000	  NaN	0.0100		1		66		  NaN
3	13	0		15.000	  NaN	0.0295		1		67		  NaN
3	14	0		15.000	  NaN	0.0111		1		68		  NaN
3	15	0		15.000	  NaN	0.0151		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0067		1		76		  NaN
4	2	0		15.000	  NaN	0.0084		1		77		  NaN
