
SESSION 2 initiated 10-Sep-2017 14:59:41 for SUBJECT number 25

session	trial	pair	onset	dur	cue         	associate   
2	1	5	2001  	2021  	PEBBLE      	pici30.jpg  
2	2	2	10007 	2002  	RAINBOW     	pico20.jpg  
2	3	1	18014 	2002  	CURTAIN     	pici17.jpg  
2	4	4	26004 	2002  	ISLAND      	pico11.jpg  
2	5	7	34011 	2002  	BELL        	pici18.jpg  
2	6	6	42018 	1985  	PIN         	pico14.jpg  
2	7	8	50008 	2002  	HAMMER      	pico16.jpg  
2	8	3	58015 	2002  	PUZZLE      	pici22.jpg  


SESSION 2 ended 10-Sep-2017 15:00:53 for SUBJECT number 25




******************************************************************************

SESSION 2 initiated 10-Sep-2017 15:01:59 for SUBJECT number 25

session	trial	pair	onset	dur	cue         	associate   
2	1	2	2004  	2002  	RAINBOW     	pici22.jpg  
2	2	5	10011 	2002  	HAMMER      	pici17.jpg  
2	3	6	18001 	2002  	PUZZLE      	pico14.jpg  
2	4	3	26008 	2002  	ISLAND      	pici18.jpg  
2	5	4	34015 	1985  	BELL        	pico20.jpg  
2	6	7	42005 	2002  	PIN         	pici30.jpg  
2	7	8	50011 	2002  	PEBBLE      	pico16.jpg  
2	8	1	58019 	1985  	CURTAIN     	pico11.jpg  


SESSION 2 ended 10-Sep-2017 15:03:12 for SUBJECT number 25




******************************************************************************

SESSION 2 initiated 10-Sep-2017 15:06:30 for SUBJECT number 25

session	trial	pair	onset	dur	cue         	associate   
2	1	6	2012  	2002  	PUZZLE      	pico20.jpg  
2	2	5	10002 	2002  	CURTAIN     	pici30.jpg  
2	3	4	18009 	2002  	PEBBLE      	pici18.jpg  
2	4	3	25998 	2019  	BELL        	pico14.jpg  
2	5	7	34006 	2002  	RAINBOW     	pico11.jpg  
2	6	8	42012 	2002  	PIN         	pici17.jpg  
2	7	1	50002 	2002  	HAMMER      	pici22.jpg  
2	8	2	58009 	2002  	ISLAND      	pico16.jpg  


SESSION 2 ended 10-Sep-2017 15:07:48 for SUBJECT number 25




******************************************************************************


SESSION 3 ended 10-Sep-2017 15:11:59 for SUBJECT number 25




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0074		1		13		  NaN
1	2	0		15.000	  NaN	0.0092		1		14		  NaN
1	3	1		15.000	  NaN	0.0108		1		15		  NaN
1	4	0		15.000	  NaN	0.0459		1		16		  NaN
1	5	0		15.000	  NaN	0.0143		1		17		  NaN
1	6	1		15.000	  NaN	0.0159		1		18		  NaN
1	7	0		15.000	  NaN	0.0678		1		19		  NaN
1	8	0		15.000	  NaN	0.0003		1		20		  NaN
1	9	1		15.000	  NaN	0.0374		1		21		  NaN
1	10	0		15.000	  NaN	0.0572		1		22		  NaN
1	11	0		15.000	  NaN	0.0407		1		23		  NaN
1	12	1		15.000	  NaN	0.0094		1		24		  NaN
1	13	0		15.000	  NaN	0.0114		1		25		  NaN
1	14	0		15.000	  NaN	0.0105		1		26		  NaN
1	15	0		15.000	  NaN	0.0145		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0060		1		34		  NaN
2	2	0		15.000	  NaN	0.0244		1		35		  NaN
2	3	1		15.000	  NaN	0.0261		1		36		  NaN
2	4	0		15.000	  NaN	0.0280		1		37		  NaN
2	5	0		15.000	  NaN	0.0127		1		38		  NaN
2	6	1		15.000	  NaN	0.0144		1		39		  NaN
2	7	0		15.000	  NaN	0.0436		1		40		  NaN
2	8	0		15.000	  NaN	0.0176		1		41		  NaN
2	9	1		15.000	  NaN	0.0026		1		42		  NaN
2	10	0		15.000	  NaN	0.0263		1		43		  NaN
2	11	0		15.000	  NaN	0.0227		1		44		  NaN
2	12	1		15.000	  NaN	0.0244		1		45		  NaN
2	13	0		15.000	  NaN	0.0772		1		46		  NaN
2	14	0		15.000	  NaN	0.0095		1		47		  NaN
2	15	0		15.000	  NaN	0.0128		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0051		1		55		  NaN
3	2	0		15.000	  NaN	0.0066		1		56		  NaN
3	3	1		15.000	  NaN	0.0085		1		57		  NaN
3	4	0		15.000	  NaN	0.0083		1		58		  NaN
3	5	0		15.000	  NaN	0.0118		1		59		  NaN
3	6	1		15.000	  NaN	0.0135		1		60		  NaN
3	7	0		15.000	  NaN	0.0156		1		61		  NaN
3	8	0		15.000	  NaN	0.0001		1		62		  NaN
3	9	1		15.000	  NaN	0.0017		1		63		  NaN
3	10	0		15.000	  NaN	0.0373		1		64		  NaN
3	11	0		15.000	  NaN	0.0034		1		65		  NaN
3	12	1		15.000	  NaN	0.0071		1		66		  NaN
3	13	0		15.000	  NaN	0.0090		1		67		  NaN
3	14	0		15.000	  NaN	0.0104		1		68		  NaN
3	15	0		15.000	  NaN	0.0121		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0041		1		76		  NaN
4	2	0		15.000	  NaN	0.0060		1		77		  NaN
4	3	1		15.000	  NaN	0.0077		1		78		  NaN
4	4	0		15.000	  NaN	0.0632		1		79		  NaN
4	5	0		15.000	  NaN	0.0087		1		80		  NaN
4	6	1		15.000	  NaN	0.0129		1		81		  NaN
4	7	0		15.000	  NaN	0.0171		1		82		  NaN
4	8	0		15.000	  NaN	0.0162		1		83		  NaN
4	9	1		15.000	  NaN	0.0008		1		84		  NaN
4	10	0		15.000	  NaN	0.0539		1		85		  NaN
4	11	0		15.000	  NaN	0.0045		1		86		  NaN
4	12	1		15.000	  NaN	0.0062		1		87		  NaN
4	13	0		15.000	  NaN	0.0415		1		88		  NaN
4	14	0		15.000	  NaN	0.0096		1		89		  NaN
4	15	0		15.000	  NaN	0.0114		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		15.000	  NaN	0.0065		1		97		  NaN
5	2	0		15.000	  NaN	0.0083		1		98		  NaN
5	3	1		15.000	  NaN	0.0099		1		99		  NaN
5	4	0		15.000	  NaN	0.0137		1		100		  NaN
5	5	0		15.000	  NaN	0.0135		1		101		  NaN
5	6	1		15.000	  NaN	0.0151		1		102		  NaN
5	7	0		15.000	  NaN	0.0512		1		103		  NaN
5	8	0		15.000	  NaN	0.0016		1		104		  NaN
5	9	1		15.000	  NaN	0.0034		1		105		  NaN
5	10	0		15.000	  NaN	0.0385		1		106		  NaN
5	11	0		15.000	  NaN	0.0069		1		107		  NaN
5	12	1		15.000	  NaN	0.0086		1		108		  NaN
5	13	0		15.000	  NaN	0.0138		1		109		  NaN
5	14	0		15.000	  NaN	0.0120		1		110		  NaN
5	15	0		15.000	  NaN	-0.0029		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		15.000	  NaN	0.0093		1		118		  NaN
6	2	0		15.000	  NaN	0.0106		1		119		  NaN
6	3	1		15.000	  NaN	0.0122		1		120		  NaN
6	4	0		15.000	  NaN	-0.0022		1		121		  NaN
6	5	0		15.000	  NaN	0.0158		1		122		  NaN
6	6	1		15.000	  NaN	0.0008		1		123		  NaN
6	7	0		15.000	  NaN	0.0300		1		124		  NaN
6	8	0		15.000	  NaN	0.0042		1		125		  NaN
6	9	1		15.000	  NaN	0.0059		1		126		  NaN
6	10	0		15.000	  NaN	0.0405		1		127		  NaN
6	11	0		15.000	  NaN	0.0069		1		128		  NaN
6	12	1		15.000	  NaN	0.0109		1		129		  NaN
6	13	0		15.000	  NaN	0.0462		1		130		  NaN
6	14	0		15.000	  NaN	0.0143		1		131		  NaN
6	15	0		15.000	  NaN	-0.0005		1		132		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
7	1	0		15.000	  NaN	0.0115		1		139		  NaN
7	2	0		15.000	  NaN	0.0129		1		140		  NaN
7	3	1		15.000	  NaN	0.0146		1		141		  NaN
7	4	0		15.000	  NaN	0.0202		1		142		  NaN
7	5	0		15.000	  NaN	0.0016		1		143		  NaN
7	6	1		15.000	  NaN	0.0033		1		144		  NaN
7	7	0		15.000	  NaN	0.0383		1		145		  NaN
7	8	0		15.000	  NaN	0.0066		1		146		  NaN
7	9	1		15.000	  NaN	0.0084		1		147		  NaN
7	10	0		15.000	  NaN	0.0370		1		148		  NaN
7	11	0		15.000	  NaN	0.0093		1		149		  NaN
7	12	1		15.000	  NaN	0.0135		1		150		  NaN
7	13	0		15.000	  NaN	0.0171		1		151		  NaN
7	14	0		15.000	  NaN	-0.0017		1		152		  NaN
7	15	0		15.000	  NaN	0.0017		1		153		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
