trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	8.2   	1   	MOON      	lure    	0.652	NR  	1   	NR      	NR      
2   	8.9   	2   	SHIRT     	lure    	0.373	NR  	1   	NR      	NR      
3   	9.4   	3   	ANCHOR    	lure    	0.506	NR  	1   	NR      	NR      
4   	9.9   	4   	GLASS     	lure    	0.509	NR  	1   	NR      	NR      
5   	10.5  	5   	BUBBLE    	lure    	0.347	NR  	1   	NR      	NR      
6   	10.9  	6   	PUDDLE    	lure    	0.339	NR  	1   	NR      	NR      
7   	11.3  	7   	BRUSH     	lure    	0.308	NR  	1   	NR      	NR      
8   	11.6  	5   	BUBBLE (repeat 1)	lure    	0.598	NR  	1   	NR      	NR      
9   	12.3  	1   	MOON (repeat 1)	lure    	0.564	NR  	1   	NR      	NR      
10  	12.9  	6   	PUDDLE (repeat 1)	lure    	0.253	NR  	1   	NR      	NR      
11  	13.2  	8   	TICKET    	lure    	0.368	NR  	1   	NR      	NR      
12  	13.6  	9   	EASEL     	lure    	0.298	NR  	1   	NR      	NR      
13  	14    	10  	RATTLE    	lure    	0.348	NR  	1   	NR      	NR      
14  	14.4  	9   	EASEL (repeat 1)	lure    	0.674	NR  	1   	NR      	NR      
15  	15.1  	11  	NAIL      	lure    	0.622	NR  	1   	NR      	NR      
16  	15.8  	12  	POLE      	lure    	0.452	NR  	1   	NR      	NR      
17  	16.3  	6   	PUDDLE (repeat 2)	lure    	0.28	NR  	1   	NR      	NR      
18  	16.6  	3   	ANCHOR (repeat 1)	lure    	0.452	NR  	1   	NR      	NR      
19  	17.1  	13  	STRAWBERRY	fruit   	0.95	0.407	1   	target  	target  
20  	18.1  	11  	NAIL (repeat 1)	lure    	0.566	NR  	1   	NR      	NR      
21  	18.7  	1   	MOON (repeat 2)	lure    	0.476	NR  	1   	NR      	NR      
22  	19.3  	5   	BUBBLE (repeat 2)	lure    	0.304	NR  	1   	NR      	NR      
23  	19.6  	14  	STAPLE    	lure    	0.516	NR  	1   	NR      	NR      
24  	20.2  	6   	PUDDLE (repeat 3)	lure    	0.257	NR  	1   	NR      	NR      
25  	20.5  	7   	BRUSH (repeat 1)	lure    	0.615	NR  	1   	NR      	NR      
26  	21.2  	10  	RATTLE (repeat 1)	lure    	0.567	NR  	1   	NR      	NR      
27  	21.8  	12  	POLE (repeat 1)	lure    	0.502	NR  	1   	NR      	NR      
28  	22.4  	8   	TICKET (repeat 1)	lure    	0.614	NR  	1   	NR      	NR      
29  	23    	4   	GLASS (repeat 1)	lure    	0.667	NR  	1   	NR      	NR      
30  	23.8  	5   	BUBBLE (repeat 3)	lure    	0.613	NR  	1   	NR      	NR      
31  	24.4  	4   	GLASS (repeat 2)	lure    	0.676	NR  	1   	NR      	NR      
32  	25.2  	6   	PUDDLE (repeat 4)	lure    	0.479	NR  	1   	NR      	NR      
33  	25.7  	3   	ANCHOR (repeat 2)	lure    	0.701	NR  	1   	NR      	NR      
34  	26.5  	15  	DRUM      	lure    	0.554	NR  	1   	NR      	NR      
35  	27.1  	2   	SHIRT (repeat 1)	lure    	0.376	NR  	1   	NR      	NR      
36  	27.5  	11  	NAIL (repeat 2)	lure    	0.545	NR  	1   	NR      	NR      
37  	28.1  	15  	DRUM (repeat 1)	lure    	0.579	NR  	1   	NR      	NR      
38  	28.8  	16  	PADDLE    	lure    	0.563	NR  	1   	NR      	NR      
39  	29.4  	14  	STAPLE (repeat 1)	lure    	0.452	NR  	1   	NR      	NR      
40  	29.9  	17  	GRAPEFRUIT	fruit   	0.951	0.423	1   	target  	target  
41  	30.9  	6   	PUDDLE (repeat 5)	lure    	0.62	NR  	1   	NR      	NR      
42  	31.6  	4   	GLASS (repeat 3)	lure    	0.462	NR  	1   	NR      	NR      
43  	32.1  	16  	PADDLE (repeat 1)	lure    	0.347	NR  	1   	NR      	NR      
44  	32.5  	9   	EASEL (repeat 2)	lure    	0.365	NR  	1   	NR      	NR      
45  	33    	11  	NAIL (repeat 3)	lure    	0.663	NR  	1   	NR      	NR      
46  	33.7  	5   	BUBBLE (repeat 4)	lure    	0.6 	NR  	1   	NR      	NR      
47  	34.4  	7   	BRUSH (repeat 2)	lure    	0.472	NR  	1   	NR      	NR      
48  	34.9  	11  	NAIL (repeat 4)	lure    	0.285	NR  	1   	NR      	NR      
49  	35.2  	8   	TICKET (repeat 2)	lure    	0.309	NR  	1   	NR      	NR      
50  	35.6  	9   	EASEL (repeat 3)	lure    	0.347	NR  	1   	NR      	NR      
51  	36    	11  	NAIL (repeat 5)	lure    	0.284	NR  	1   	NR      	NR      
52  	36.4  	12  	POLE (repeat 2)	lure    	0.61	NR  	1   	NR      	NR      
53  	37    	9   	EASEL (repeat 4)	lure    	0.269	NR  	1   	NR      	NR      
54  	37.4  	4   	GLASS (repeat 4)	lure    	0.404	NR  	1   	NR      	NR      
55  	37.8  	2   	SHIRT (repeat 2)	lure    	0.541	NR  	1   	NR      	NR      
56  	38.4  	10  	RATTLE (repeat 2)	lure    	0.46	NR  	1   	NR      	NR      
57  	38.9  	6   	PUDDLE (repeat 6)	lure    	0.676	NR  	1   	NR      	NR      
58  	39.7  	5   	BUBBLE (repeat 5)	lure    	0.565	NR  	1   	NR      	NR      
59  	40.3  	9   	EASEL (repeat 5)	lure    	0.311	NR  	1   	NR      	NR      
60  	40.7  	18  	BASKET    	lure    	0.472	NR  	1   	NR      	NR      
61  	41.2  	6   	PUDDLE (repeat 7)	lure    	0.42	NR  	1   	NR      	NR      
62  	41.7  	12  	POLE (repeat 3)	lure    	0.452	NR  	1   	NR      	NR      
63  	42.2  	11  	NAIL (repeat 6)	lure    	0.497	NR  	1   	NR      	NR      
64  	42.8  	4   	GLASS (repeat 5)	lure    	0.452	NR  	1   	NR      	NR      
65  	43.3  	11  	NAIL (repeat 7)	lure    	0.702	NR  	1   	NR      	NR      
66  	44.1  	12  	POLE (repeat 4)	lure    	0.451	NR  	1   	NR      	NR      
67  	44.6  	16  	PADDLE (repeat 2)	lure    	0.39	NR  	1   	NR      	NR      
68  	45    	2   	SHIRT (repeat 3)	lure    	0.452	NR  	1   	NR      	NR      
69  	45.5  	5   	BUBBLE (repeat 6)	lure    	0.647	NR  	1   	NR      	NR      
70  	46.3  	2   	SHIRT (repeat 4)	lure    	0.452	NR  	1   	NR      	NR      
71  	46.8  	5   	BUBBLE (repeat 7)	lure    	0.652	0.444	0   	target  	NR      
72  	47.5  	7   	BRUSH (repeat 3)	lure    	0.451	NR  	1   	NR      	NR      
73  	48    	6   	PUDDLE (repeat 8)	lure    	0.693	NR  	1   	NR      	NR      
74  	48.8  	18  	BASKET (repeat 1)	lure    	0.462	NR  	1   	NR      	NR      
75  	49.3  	3   	ANCHOR (repeat 3)	lure    	0.608	NR  	1   	NR      	NR      
76  	50    	1   	MOON (repeat 3)	lure    	0.452	NR  	1   	NR      	NR      
77  	50.5  	19  	LIME      	fruit   	0.952	NR  	0   	NR      	target  
