
SESSION 2 initiated 11-Sep-2017 11:39:48 for SUBJECT number 26

session	trial	pair	onset	dur	cue         	associate   
2	1	3	2010  	2002  	PUZZLE      	pico11.jpg  
2	2	4	10000 	2002  	RAINBOW     	pico16.jpg  
2	3	8	18007 	2002  	PEBBLE      	pici17.jpg  
2	4	6	26014 	2002  	ISLAND      	pici22.jpg  
2	5	7	34004 	2002  	BELL        	pici18.jpg  
2	6	2	42011 	2002  	PIN         	pico14.jpg  
2	7	1	50018 	1985  	CURTAIN     	pico20.jpg  
2	8	5	58007 	2002  	HAMMER      	pici30.jpg  


SESSION 2 ended 11-Sep-2017 11:41:12 for SUBJECT number 26




******************************************************************************


SESSION 3 ended 11-Sep-2017 11:43:41 for SUBJECT number 26




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0038		1		13		  NaN
1	2	0		15.000	  NaN	0.0050		1		14		  NaN
1	3	1		15.000	  NaN	0.0073		1		15		  NaN
1	4	0		15.000	  NaN	0.0603		1		16		  NaN
1	5	0		15.000	  NaN	0.0106		1		17		  NaN
1	6	1		15.000	  NaN	0.0124		1		18		  NaN
1	7	0		15.000	  NaN	-0.0013		1		19		  NaN
1	8	0		15.000	  NaN	0.0155		1		20		  NaN
1	9	1		15.000	  NaN	0.0007		1		21		  NaN
1	10	0		15.000	  NaN	0.0360		1		22		  NaN
1	11	0		15.000	  NaN	0.0018		1		23		  NaN
1	12	1		15.000	  NaN	0.0060		1		24		  NaN
1	13	0		15.000	  NaN	0.0435		1		25		  NaN
1	14	0		15.000	  NaN	0.0093		1		26		  NaN
1	15	0		15.000	  NaN	0.0108		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0061		1		34		  NaN
2	2	0		15.000	  NaN	0.0076		1		35		  NaN
2	3	1		15.000	  NaN	0.0093		1		36		  NaN
2	4	0		15.000	  NaN	0.0443		1		37		  NaN
2	5	0		15.000	  NaN	0.0104		1		38		  NaN
2	6	1		15.000	  NaN	0.0123		1		39		  NaN
2	7	0		15.000	  NaN	0.0493		1		40		  NaN
2	8	0		15.000	  NaN	0.0155		1		41		  NaN
2	9	1		15.000	  NaN	0.0005		1		42		  NaN
2	10	0		15.000	  NaN	0.0338		1		43		  NaN
2	11	0		15.000	  NaN	0.0063		1		44		  NaN
2	12	1		15.000	  NaN	0.0078		1		45		  NaN
2	13	0		15.000	  NaN	0.0082		1		46		  NaN
2	14	0		15.000	  NaN	0.0111		1		47		  NaN
2	15	0		15.000	  NaN	0.0131		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0040		1		55		  NaN
3	2	0		15.000	  NaN	0.0055		1		56		  NaN
3	3	1		15.000	  NaN	0.0049		1		57		  NaN
3	4	0		15.000	  NaN	0.0422		1		58		  NaN
3	5	0		15.000	  NaN	0.0105		1		59		  NaN
3	6	1		15.000	  NaN	0.0103		1		60		  NaN
3	7	0		15.000	  NaN	0.0155		1		61		  NaN
3	8	0		15.000	  NaN	-0.0025		1		62		  NaN
3	9	1		15.000	  NaN	0.0007		1		63		  NaN
3	10	0		15.000	  NaN	0.0355		1		64		  NaN
3	11	0		15.000	  NaN	0.0042		1		65		  NaN
3	12	1		15.000	  NaN	0.0056		1		66		  NaN
3	13	0		15.000	  NaN	0.0323		1		67		  NaN
3	14	0		15.000	  NaN	0.0093		1		68		  NaN
3	15	0		15.000	  NaN	0.0093		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0041		1		76		  NaN
4	2	0		15.000	  NaN	0.0036		1		77		  NaN
4	3	1		15.000	  NaN	0.0075		1		78		  NaN
4	4	0		15.000	  NaN	0.0106		1		79		  NaN
4	5	0		15.000	  NaN	0.0083		1		80		  NaN
4	6	1		15.000	  NaN	0.0292		1		81		  NaN
4	7	0		15.000	  NaN	-0.0054		1		82		  NaN
4	8	0		15.000	  NaN	0.0160		1		83		  NaN
4	9	1		15.000	  NaN	0.0007		1		84		  NaN
4	10	0		15.000	  NaN	0.0046		1		85		  NaN
4	11	0		15.000	  NaN	0.0044		1		86		  NaN
4	12	1		15.000	  NaN	0.0060		1		87		  NaN
4	13	0		15.000	  NaN	0.0094		1		88		  NaN
4	14	0		15.000	  NaN	0.0237		1		89		  NaN
4	15	0		15.000	  NaN	0.0255		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		15.000	  NaN	0.0063		1		97		  NaN
5	2	0		15.000	  NaN	0.0080		1		98		  NaN
5	3	1		15.000	  NaN	0.0262		1		99		  NaN
5	4	0		15.000	  NaN	0.0545		1		100		  NaN
5	5	0		15.000	  NaN	0.0131		1		101		  NaN
5	6	1		15.000	  NaN	0.0147		1		102		  NaN
5	7	0		15.000	  NaN	0.0043		1		103		  NaN
5	8	0		15.000	  NaN	0.0016		1		104		  NaN
5	9	1		15.000	  NaN	0.0033		1		105		  NaN
5	10	0		15.000	  NaN	0.0073		1		106		  NaN
5	11	0		15.000	  NaN	0.0047		1		107		  NaN
5	12	1		15.000	  NaN	0.0083		1		108		  NaN
5	13	0		15.000	  NaN	0.0645		1		109		  NaN
5	14	0		15.000	  NaN	0.0285		1		110		  NaN
5	15	0		15.000	  NaN	0.0301		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		15.000	  NaN	0.0090		1		118		  NaN
6	2	0		15.000	  NaN	0.0268		1		119		  NaN
6	3	1		15.000	  NaN	0.0119		1		120		  NaN
6	4	0		15.000	  NaN	-0.0004		1		121		  NaN
6	5	0		15.000	  NaN	0.0155		1		122		  NaN
6	6	1		15.000	  NaN	-0.0016		1		123		  NaN
6	7	0		15.000	  NaN	0.0046		1		124		  NaN
6	8	0		15.000	  NaN	0.0037		1		125		  NaN
6	9	1		15.000	  NaN	0.0056		1		126		  NaN
6	10	0		15.000	  NaN	0.0097		1		127		  NaN
6	11	0		15.000	  NaN	0.0088		1		128		  NaN
6	12	1		15.000	  NaN	0.0271		1		129		  NaN
6	13	0		15.000	  NaN	0.0123		1		130		  NaN
6	14	0		15.000	  NaN	0.0141		1		131		  NaN
6	15	0		15.000	  NaN	0.0158		1		132		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
7	1	0		15.000	  NaN	0.0110		1		139		  NaN
7	2	0		15.000	  NaN	0.0295		1		140		  NaN
7	3	1		15.000	  NaN	0.0144		1		141		  NaN
7	4	0		15.000	  NaN	-0.0004		1		142		  NaN
7	5	0		15.000	  NaN	0.0180		1		143		  NaN
7	6	1		15.000	  NaN	0.0026		1		144		  NaN
7	7	0		15.000	  NaN	0.0079		1		145		  NaN
7	8	0		15.000	  NaN	0.0038		1		146		  NaN
7	9	1		15.000	  NaN	0.0078		1		147		  NaN
7	10	0		15.000	  NaN	0.0568		1		148		  NaN
7	11	0		15.000	  NaN	0.0278		1		149		  NaN
7	12	1		15.000	  NaN	0.0131		1		150		  NaN
7	13	0		15.000	  NaN	-0.0034		1		151		  NaN
7	14	0		15.000	  NaN	-0.0002		1		152		  NaN
7	15	0		15.000	  NaN	0.0013		1		153		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
8	1	0		15.000	  NaN	0.0135		1		160		  NaN
8	2	0		15.000	  NaN	0.0150		1		161		  NaN
8	3	1		15.000	  NaN	0.0420		1		162		  NaN
8	4	0		15.000	  NaN	0.0041		1		163		  NaN
8	5	0		15.000	  NaN	0.0017		1		164		  NaN
8	6	1		15.000	  NaN	0.0051		1		165		  NaN
8	7	0		15.000	  NaN	0.0113		1		166		  NaN
8	8	0		15.000	  NaN	0.0086		1		167		  NaN
8	9	1		15.000	  NaN	0.0267		1		168		  NaN
8	10	0		15.000	  NaN	0.0640		1		169		  NaN
8	11	0		15.000	  NaN	0.0136		1		170		  NaN
8	12	1		15.000	  NaN	0.0156		1		171		  NaN
8	13	0		15.000	  NaN	0.0048		1		172		  NaN
8	14	0		15.000	  NaN	0.0021		1		173		  NaN
8	15	0		15.000	  NaN	0.0036		1		174		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		14.350	  NaN	0.0098		1		13		  NaN
1	2	0		14.350	  NaN	0.0114		1		14		  NaN
1	3	1		14.350	  NaN	0.0275		1		15		  NaN
1	4	0		14.350	  NaN	-0.0014		1		16		  NaN
1	5	0		14.350	  NaN	0.0165		1		17		  NaN
1	6	1		14.350	  NaN	0.0182		1		18		  NaN
1	7	0		14.350	  NaN	0.0036		1		19		  NaN
1	8	0		14.350	  NaN	0.0048		1		20		  NaN
1	9	1		14.350	  NaN	0.0067		1		21		  NaN
1	10	0		14.350	  NaN	0.0093		1		22		  NaN
1	11	0		14.350	  NaN	0.0079		1		23		  NaN
1	12	1		14.350	  NaN	0.0284		1		24		  NaN
1	13	0		14.350	  NaN	0.0634		1		25		  NaN
1	14	0		14.350	  NaN	0.0319		1		26		  NaN
1	15	0		14.350	  NaN	0.0324		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		11.211	  NaN	0.0124		1		34		  NaN
2	2	0		11.211	  NaN	0.0137		1		35		  NaN
2	3	1		11.211	  NaN	0.0133		1		36		  NaN
2	4	0		11.211	  NaN	0.0018		1		37		  NaN
2	5	0		11.211	  NaN	0.0023		1		38		  NaN
2	6	1		11.211	  NaN	0.0039		1		39		  NaN
2	7	0		11.211	  NaN	0.0071		1		40		  NaN
2	8	0		11.211	  NaN	0.0074		1		41		  NaN
2	9	1		11.211	  NaN	0.0090		1		42		  NaN
2	10	0		11.211	  NaN	0.0606		1		43		  NaN
2	11	0		11.211	  NaN	0.0290		1		44		  NaN
2	12	1		11.211	  NaN	0.0308		1		45		  NaN
2	13	0		11.211	  NaN	0.0588		1		46		  NaN
2	14	0		11.211	  NaN	0.0156		1		47		  NaN
2	15	0		11.211	  NaN	0.0192		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		12.100	  NaN	0.0147		1		55		  NaN
3	2	0		12.100	  NaN	0.0328		1		56		  NaN
3	3	1		12.100	  NaN	0.0009		1		57		  NaN
3	4	0		12.100	  NaN	0.0042		1		58		  NaN
3	5	0		12.100	  NaN	0.0046		1		59		  NaN
3	6	1		12.100	  NaN	0.0063		1		60		  NaN
3	7	0		12.100	  NaN	0.0094		1		61		  NaN
3	8	0		12.100	  NaN	0.0077		1		62		  NaN
3	9	1		12.100	  NaN	0.0093		1		63		  NaN
3	10	0		12.100	  NaN	0.0319		1		64		  NaN
3	11	0		12.100	  NaN	0.0146		1		65		  NaN
3	12	1		12.100	  NaN	0.0331		1		66		  NaN
3	13	0		12.100	  NaN	0.0031		1		67		  NaN
3	14	0		12.100	  NaN	0.0032		1		68		  NaN
3	15	0		12.100	  NaN	0.0048		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		12.739	  NaN	0.0168		1		76		  NaN
4	2	0		12.739	  NaN	0.0016		1		77		  NaN
4	3	1		12.739	  NaN	0.0034		1		78		  NaN
4	4	0		12.739	  NaN	0.0051		1		79		  NaN
4	5	0		12.739	  NaN	0.0045		1		80		  NaN
4	6	1		12.739	  NaN	0.0086		1		81		  NaN
4	7	0		12.739	  NaN	0.0643		1		82		  NaN
4	8	0		12.739	  NaN	0.0121		1		83		  NaN
4	9	1		12.739	  NaN	0.0139		1		84		  NaN
4	10	0		12.739	  NaN	0.0336		1		85		  NaN
4	11	0		12.739	  NaN	0.0005		1		86		  NaN
4	12	1		12.739	  NaN	0.0020		1		87		  NaN
4	13	0		12.739	  NaN	0.0056		1		88		  NaN
4	14	0		12.739	  NaN	0.0056		1		89		  NaN
4	15	0		12.739	  NaN	0.0070		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		13.207	  NaN	0.0028		1		97		  NaN
5	2	0		13.207	  NaN	0.0043		1		98		  NaN
5	3	1		13.207	  NaN	0.0060		1		99		  NaN
5	4	0		13.207	  NaN	0.0096		1		100		  NaN
5	5	0		13.207	  NaN	0.0093		1		101		  NaN
5	6	1		13.207	  NaN	0.0277		1		102		  NaN
5	7	0		13.207	  NaN	0.0313		1		103		  NaN
5	8	0		13.207	  NaN	0.0311		1		104		  NaN
5	9	1		13.207	  NaN	0.0327		1		105		  NaN
5	10	0		13.207	  NaN	0.0057		1		106		  NaN
5	11	0		13.207	  NaN	0.0028		1		107		  NaN
5	12	1		13.207	  NaN	0.0043		1		108		  NaN
5	13	0		13.207	  NaN	0.0084		1		109		  NaN
5	14	0		13.207	  NaN	0.0078		1		110		  NaN
5	15	0		13.207	  NaN	0.0078		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		13.573	  NaN	0.0006		1		118		  NaN
6	2	0		13.573	  NaN	0.0022		1		119		  NaN
6	3	1		13.573	  NaN	0.0205		1		120		  NaN
6	4	0		13.573	  NaN	0.0482		1		121		  NaN
6	5	0		13.573	  NaN	0.0240		1		122		  NaN
6	6	1		13.573	  NaN	0.0257		1		123		  NaN
6	7	0		13.573	  NaN	0.0525		1		124		  NaN
6	8	0		13.573	  NaN	0.0288		1		125		  NaN
6	9	1		13.573	  NaN	0.0142		1		126		  NaN
6	10	0		13.573	  NaN	0.0350		1		127		  NaN
6	11	0		13.573	  NaN	0.0006		1		128		  NaN
6	12	1		13.573	  NaN	0.0024		1		129		  NaN
6	13	0		13.573	  NaN	0.0462		1		130		  NaN
6	14	0		13.573	  NaN	0.0036		1		131		  NaN
6	15	0		13.573	  NaN	0.0078		1		132		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
7	1	0		13.867	  NaN	0.0029		1		139		  NaN
7	2	0		13.867	  NaN	0.0209		1		140		  NaN
7	3	1		13.867	  NaN	0.0230		1		141		  NaN
7	4	0		13.867	  NaN	0.0503		1		142		  NaN
7	5	0		13.867	  NaN	0.0097		1		143		  NaN
7	6	1		13.867	  NaN	0.0110		1		144		  NaN
7	7	0		13.867	  NaN	0.0414		1		145		  NaN
7	8	0		13.867	  NaN	0.0147		1		146		  NaN
7	9	1		13.867	  NaN	0.0165		1		147		  NaN
7	10	0		13.867	  NaN	0.0048		1		148		  NaN
7	11	0		13.867	  NaN	0.0032		1		149		  NaN
7	12	1		13.867	  NaN	0.0213		1		150		  NaN
7	13	0		13.867	  NaN	0.0508		1		151		  NaN
7	14	0		13.867	  NaN	0.0080		1		152		  NaN
7	15	0		13.867	  NaN	0.0274		1		153		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
8	1	0		13.228	  NaN	0.0052		1		160		  NaN
8	2	0		13.228	  NaN	0.0233		1		161		  NaN
8	3	1		13.228	  NaN	0.0253		1		162		  NaN
8	4	0		13.228	  NaN	0.0557		1		163		  NaN
8	5	0		13.228	  NaN	0.0121		1		164		  NaN
8	6	1		13.228	  NaN	0.0138		1		165		  NaN
8	7	0		13.228	  NaN	0.0401		1		166		  NaN
8	8	0		13.228	  NaN	0.0006		1		167		  NaN
8	9	1		13.228	  NaN	0.0021		1		168		  NaN
8	10	0		13.228	  NaN	0.0495		1		169		  NaN
8	11	0		13.228	  NaN	0.0054		1		170		  NaN
8	12	1		13.228	  NaN	0.0239		1		171		  NaN
8	13	0		13.228	  NaN	0.0537		1		172		  NaN
8	14	0		13.228	  NaN	0.0106		1		173		  NaN
8	15	0		13.228	  NaN	0.0106		1		174		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
9	1	0		13.421	  NaN	0.0076		1		181		  NaN
9	2	0		13.421	  NaN	0.0256		1		182		  NaN
9	3	1		13.421	  NaN	0.0108		1		183		  NaN
9	4	0		13.421	  NaN	0.0343		1		184		  NaN
9	5	0		13.421	  NaN	0.0141		1		185		  NaN
9	6	1		13.421	  NaN	0.0160		1		186		  NaN
9	7	0		13.421	  NaN	0.0038		1		187		  NaN
9	8	0		13.421	  NaN	0.0004		1		188		  NaN
9	9	1		13.421	  NaN	0.0042		1		189		  NaN
9	10	0		13.421	  NaN	0.0490		1		190		  NaN
9	11	0		13.421	  NaN	0.0247		1		191		  NaN
9	12	1		13.421	  NaN	0.0262		1		192		  NaN
9	13	0		13.421	  NaN	0.0308		1		193		  NaN
9	14	0		13.421	  NaN	0.0127		1		194		  NaN
9	15	0		13.421	  NaN	0.0147		1		195		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
10	1	0		13.421	  NaN	0.0098		1		202		  NaN
10	2	0		13.421	  NaN	0.0282		1		203		  NaN
10	3	1		13.421	  NaN	0.0132		1		204		  NaN
10	4	0		13.421	  NaN	0.0504		1		205		  NaN
10	5	0		13.421	  NaN	0.0165		1		206		  NaN
10	6	1		13.421	  NaN	0.0183		1		207		  NaN
10	7	0		13.421	  NaN	0.0070		1		208		  NaN
10	8	0		13.421	  NaN	0.0217		1		209		  NaN
10	9	1		13.421	  NaN	0.0232		1		210		  NaN
10	10	0		13.421	  NaN	0.0611		1		211		  NaN
10	11	0		13.421	  NaN	0.0102		1		212		  NaN
10	12	1		13.421	  NaN	0.0120		1		213		  NaN
10	13	0		13.421	  NaN	-0.0064		1		214		  NaN
10	14	0		13.421	  NaN	0.0133		1		215		  NaN
10	15	0		13.421	  NaN	0.0170		1		216		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
11	1	0		13.543	  NaN	0.0085		1		223		  NaN
11	2	0		13.543	  NaN	0.0270		1		224		  NaN
11	3	1		13.543	  NaN	0.0118		1		225		  NaN
11	4	0		13.543	  NaN	0.0003		1		226		  NaN
11	5	0		13.543	  NaN	0.0154		1		227		  NaN
11	6	1		13.543	  NaN	0.0003		1		228		  NaN
11	7	0		13.543	  NaN	0.0047		1		229		  NaN
11	8	0		13.543	  NaN	0.0037		1		230		  NaN
11	9	1		13.543	  NaN	0.0055		1		231		  NaN
11	10	0		13.543	  NaN	0.0096		1		232		  NaN
11	11	0		13.543	  NaN	0.0256		1		233		  NaN
11	12	1		13.543	  NaN	0.0273		1		234		  NaN
11	13	0		13.543	  NaN	0.0123		1		235		  NaN
11	14	0		13.543	  NaN	0.0138		1		236		  NaN
11	15	0		13.543	  NaN	0.0155		1		237		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
12	1	0		13.627	  NaN	0.0108		1		244		  NaN
12	2	0		13.627	  NaN	0.0124		1		245		  NaN
