
SESSION 2 initiated 15-Sep-2017 16:00:21 for SUBJECT number 28

session	trial	pair	onset	dur	cue         	associate   
2	1	8	2007  	2003  	HAMMER      	pici17.jpg  
2	2	3	10014 	2002  	CURTAIN     	pico14.jpg  
2	3	4	18004 	2002  	BELL        	pici18.jpg  
2	4	1	26010 	2002  	PIN         	pici30.jpg  
2	5	6	34017 	1985  	PEBBLE      	pico11.jpg  
2	6	7	42007 	2002  	ISLAND      	pico20.jpg  
2	7	5	50014 	2002  	RAINBOW     	pici22.jpg  
2	8	2	58004 	2002  	PUZZLE      	pico16.jpg  


SESSION 2 ended 15-Sep-2017 16:01:34 for SUBJECT number 28




******************************************************************************


SESSION 3 ended 15-Sep-2017 16:04:43 for SUBJECT number 28




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0137		1		13		  NaN
1	2	0		15.000	  NaN	0.0151		1		14		  NaN
1	3	1		15.000	  NaN	-0.0000		1		15		  NaN
1	4	0		15.000	  NaN	0.0537		1		16		  NaN
1	5	0		15.000	  NaN	0.0037		1		17		  NaN
1	6	1		15.000	  NaN	0.0053		1		18		  NaN
1	7	0		15.000	  NaN	0.0589		1		19		  NaN
1	8	0		15.000	  NaN	0.0068		1		20		  NaN
1	9	1		15.000	  NaN	0.0087		1		21		  NaN
1	10	0		15.000	  NaN	0.0120		1		22		  NaN
1	11	0		15.000	  NaN	0.0136		1		23		  NaN
1	12	1		15.000	  NaN	0.0157		1		24		  NaN
1	13	0		15.000	  NaN	0.0012		1		25		  NaN
1	14	0		15.000	  NaN	0.0020		1		26		  NaN
1	15	0		15.000	  NaN	0.0041		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0168		1		34		  NaN
2	2	0		15.000	  NaN	0.0019		1		35		  NaN
2	3	1		15.000	  NaN	0.0032		1		36		  NaN
2	4	0		15.000	  NaN	0.0051		1		37		  NaN
2	5	0		15.000	  NaN	0.0068		1		38		  NaN
2	6	1		15.000	  NaN	0.0086		1		39		  NaN
2	7	0		15.000	  NaN	0.0101		1		40		  NaN
2	8	0		15.000	  NaN	0.0120		1		41		  NaN
2	9	1		15.000	  NaN	0.0301		1		42		  NaN
2	10	0		15.000	  NaN	0.0341		1		43		  NaN
2	11	0		15.000	  NaN	0.0169		1		44		  NaN
2	12	1		15.000	  NaN	0.0018		1		45		  NaN
2	13	0		15.000	  NaN	0.0054		1		46		  NaN
2	14	0		15.000	  NaN	0.0037		1		47		  NaN
2	15	0		15.000	  NaN	0.0047		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0148		1		55		  NaN
3	2	0		15.000	  NaN	0.0165		1		56		  NaN
3	3	1		15.000	  NaN	0.0012		1		57		  NaN
3	4	0		15.000	  NaN	0.0326		1		58		  NaN
3	5	0		15.000	  NaN	0.0050		1		59		  NaN
3	6	1		15.000	  NaN	0.0063		1		60		  NaN
3	7	0		15.000	  NaN	0.0428		1		61		  NaN
3	8	0		15.000	  NaN	0.0077		1		62		  NaN
3	9	1		15.000	  NaN	0.0115		1		63		  NaN
3	10	0		15.000	  NaN	0.0471		1		64		  NaN
3	11	0		15.000	  NaN	0.0151		1		65		  NaN
3	12	1		15.000	  NaN	0.0166		1		66		  NaN
3	13	0		15.000	  NaN	0.0364		1		67		  NaN
3	14	0		15.000	  NaN	0.0365		1		68		  NaN
3	15	0		15.000	  NaN	0.0051		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0085		1		76		  NaN
4	2	0		15.000	  NaN	0.0101		1		77		  NaN
4	3	1		15.000	  NaN	0.0119		1		78		  NaN
4	4	0		15.000	  NaN	0.0640		1		79		  NaN
4	5	0		15.000	  NaN	0.0318		1		80		  NaN
4	6	1		15.000	  NaN	0.0002		1		81		  NaN
4	7	0		15.000	  NaN	0.0371		1		82		  NaN
4	8	0		15.000	  NaN	0.0035		1		83		  NaN
4	9	1		15.000	  NaN	0.0052		1		84		  NaN
