
SESSION 2 initiated 20-Jun-2017 19:33:15 for SUBJECT number 3

session	trial	pair	onset	dur	cue         	associate   
2	1	5	2001  	2002  	CURTAIN     	pico11.jpg  
2	2	3	10008 	2002  	BELL        	pici22.jpg  
2	3	2	18015 	2002  	ISLAND      	pico16.jpg  
2	4	4	26005 	2002  	PIN         	pici30.jpg  
2	5	8	34012 	2002  	PEBBLE      	pici18.jpg  
2	6	7	42002 	2002  	RAINBOW     	pico14.jpg  
2	7	1	50009 	2002  	HAMMER      	pici17.jpg  
2	8	6	58016 	1985  	PUZZLE      	pico20.jpg  


SESSION 2 ended 20-Jun-2017 19:34:54 for SUBJECT number 3




******************************************************************************


SESSION 3 ended 20-Jun-2017 19:37:30 for SUBJECT number 3




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0044		1		13		  NaN
1	2	0		15.000	  NaN	0.0062		1		14		  NaN
1	3	1		15.000	  NaN	0.0079		1		15		  NaN
1	4	0		15.000	  NaN	0.0265		1		16		  NaN
1	5	0		15.000	  NaN	0.0281		1		17		  NaN
1	6	1		15.000	  NaN	0.0299		1		18		  NaN
1	7	0		15.000	  NaN	-0.0032		1		19		  NaN
1	8	0		15.000	  NaN	0.0165		1		20		  NaN
1	9	1		15.000	  NaN	0.0017		1		21		  NaN
1	10	0		15.000	  NaN	0.0034		1		22		  NaN
1	11	0		15.000	  NaN	0.0049		1		23		  NaN
1	12	1		15.000	  NaN	0.0068		1		24		  NaN
1	13	0		15.000	  NaN	0.0085		1		25		  NaN
1	14	0		15.000	  NaN	0.0078		1		26		  NaN
1	15	0		15.000	  NaN	0.0284		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0137		1		34		  NaN
2	2	0		15.000	  NaN	0.0159		1		35		  NaN
2	3	1		15.000	  NaN	0.0169		1		36		  NaN
2	4	0		15.000	  NaN	0.0187		1		37		  NaN
2	5	0		15.000	  NaN	0.0035		1		38		  NaN
2	6	1		15.000	  NaN	0.0051		1		39		  NaN
2	7	0		15.000	  NaN	0.0073		1		40		  NaN
2	8	0		15.000	  NaN	0.0087		1		41		  NaN
2	9	1		15.000	  NaN	0.0270		1		42		  NaN
2	10	0		15.000	  NaN	0.0121		1		43		  NaN
2	11	0		15.000	  NaN	0.0139		1		44		  NaN
2	12	1		15.000	  NaN	0.0300		1		45		  NaN
2	13	0		15.000	  NaN	0.0005		1		46		  NaN
2	14	0		15.000	  NaN	0.0024		1		47		  NaN
2	15	0		15.000	  NaN	0.0038		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0105		1		55		  NaN
3	2	0		15.000	  NaN	0.0284		1		56		  NaN
3	3	1		15.000	  NaN	0.0302		1		57		  NaN
3	4	0		15.000	  NaN	0.0414		1		58		  NaN
