
SESSION 2 initiated 19-Sep-2017 18:03:13 for SUBJECT number 30

session	trial	pair	onset	dur	cue         	associate   
2	1	8	2013  	2002  	RAINBOW     	pico11.jpg  
2	2	6	10003 	2002  	PIN         	pici17.jpg  
2	3	2	18010 	2002  	HAMMER      	pico14.jpg  
2	4	5	26017 	2002  	ISLAND      	pico20.jpg  
2	5	1	34007 	2002  	BELL        	pici18.jpg  
2	6	4	42013 	1985  	PUZZLE      	pici22.jpg  
2	7	3	50004 	2002  	PEBBLE      	pici30.jpg  
2	8	7	58010 	2002  	CURTAIN     	pico16.jpg  


SESSION 2 ended 19-Sep-2017 18:04:37 for SUBJECT number 30




******************************************************************************


SESSION 3 ended 19-Sep-2017 18:07:39 for SUBJECT number 30




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0135		1		13		  NaN
1	2	0		15.000	  NaN	0.0152		1		14		  NaN
1	3	1		15.000	  NaN	0.0001		1		15		  NaN
1	4	0		15.000	  NaN	0.0521		1		16		  NaN
1	5	0		15.000	  NaN	0.0035		1		17		  NaN
1	6	1		15.000	  NaN	0.0050		1		18		  NaN
1	7	0		15.000	  NaN	0.0254		1		19		  NaN
1	8	0		15.000	  NaN	0.0252		1		20		  NaN
1	9	1		15.000	  NaN	0.0268		1		21		  NaN
1	10	0		15.000	  NaN	0.0129		1		22		  NaN
1	11	0		15.000	  NaN	0.0114		1		23		  NaN
1	12	1		15.000	  NaN	0.0152		1		24		  NaN
1	13	0		15.000	  NaN	0.0198		1		25		  NaN
1	14	0		15.000	  NaN	0.0022		1		26		  NaN
1	15	0		15.000	  NaN	0.0037		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0054		1		34		  NaN
2	2	0		15.000	  NaN	0.0070		1		35		  NaN
2	3	1		15.000	  NaN	0.0089		1		36		  NaN
2	4	0		15.000	  NaN	0.0442		1		37		  NaN
2	5	0		15.000	  NaN	0.0125		1		38		  NaN
2	6	1		15.000	  NaN	0.0120		1		39		  NaN
2	7	0		15.000	  NaN	0.0162		1		40		  NaN
2	8	0		15.000	  NaN	0.0174		1		41		  NaN
2	9	1		15.000	  NaN	0.0022		1		42		  NaN
2	10	0		15.000	  NaN	0.0551		1		43		  NaN
2	11	0		15.000	  NaN	0.0061		1		44		  NaN
2	12	1		15.000	  NaN	0.0077		1		45		  NaN
2	13	0		15.000	  NaN	0.0428		1		46		  NaN
2	14	0		15.000	  NaN	0.0109		1		47		  NaN
2	15	0		15.000	  NaN	0.0125		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0182		1		55		  NaN
3	2	0		15.000	  NaN	0.0034		1		56		  NaN
3	3	1		15.000	  NaN	0.0051		1		57		  NaN
3	4	0		15.000	  NaN	0.0576		1		58		  NaN
3	5	0		15.000	  NaN	0.0086		1		59		  NaN
3	6	1		15.000	  NaN	0.0080		1		60		  NaN
3	7	0		15.000	  NaN	0.0455		1		61		  NaN
3	8	0		15.000	  NaN	0.0136		1		62		  NaN
3	9	1		15.000	  NaN	-0.0015		1		63		  NaN
3	10	0		15.000	  NaN	0.0510		1		64		  NaN
3	11	0		15.000	  NaN	0.0000		1		65		  NaN
3	12	1		15.000	  NaN	0.0035		1		66		  NaN
3	13	0		15.000	  NaN	0.0384		1		67		  NaN
3	14	0		15.000	  NaN	0.0068		1		68		  NaN
3	15	0		15.000	  NaN	0.0087		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0061		1		76		  NaN
4	2	0		15.000	  NaN	0.0079		1		77		  NaN
4	3	1		15.000	  NaN	0.0093		1		78		  NaN
4	4	0		15.000	  NaN	0.0625		1		79		  NaN
4	5	0		15.000	  NaN	0.0127		1		80		  NaN
4	6	1		15.000	  NaN	0.0144		1		81		  NaN
4	7	0		15.000	  NaN	0.0495		1		82		  NaN
4	8	0		15.000	  NaN	0.0015		1		83		  NaN
4	9	1		15.000	  NaN	0.0174		1		84		  NaN
4	10	0		15.000	  NaN	0.0313		1		85		  NaN
4	11	0		15.000	  NaN	0.0063		1		86		  NaN
4	12	1		15.000	  NaN	0.0386		1		87		  NaN
4	13	0		15.000	  NaN	0.0607		1		88		  NaN
4	14	0		15.000	  NaN	0.0115		1		89		  NaN
4	15	0		15.000	  NaN	0.0131		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		15.000	  NaN	0.0084		1		97		  NaN
5	2	0		15.000	  NaN	0.0104		1		98		  NaN
5	3	1		15.000	  NaN	0.0116		1		99		  NaN
5	4	0		15.000	  NaN	0.0646		1		100		  NaN
5	5	0		15.000	  NaN	0.0150		1		101		  NaN
5	6	1		15.000	  NaN	0.0169		1		102		  NaN
5	7	0		15.000	  NaN	0.0559		1		103		  NaN
5	8	0		15.000	  NaN	0.0018		1		104		  NaN
5	9	1		15.000	  NaN	0.0029		1		105		  NaN
5	10	0		15.000	  NaN	0.0402		1		106		  NaN
5	11	0		15.000	  NaN	0.0086		1		107		  NaN
5	12	1		15.000	  NaN	0.0103		1		108		  NaN
5	13	0		15.000	  NaN	0.0451		1		109		  NaN
5	14	0		15.000	  NaN	0.0139		1		110		  NaN
5	15	0		15.000	  NaN	0.0154		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		15.000	  NaN	0.0108		1		118		  NaN
6	2	0		15.000	  NaN	0.0124		1		119		  NaN
6	3	1		15.000	  NaN	0.0142		1		120		  NaN
6	4	0		15.000	  NaN	0.0493		1		121		  NaN
6	5	0		15.000	  NaN	-0.0016		1		122		  NaN
6	6	1		15.000	  NaN	0.0025		1		123		  NaN
6	7	0		15.000	  NaN	0.0238		1		124		  NaN
6	8	0		15.000	  NaN	0.0062		1		125		  NaN
6	9	1		15.000	  NaN	0.0078		1		126		  NaN
6	10	0		15.000	  NaN	0.0592		1		127		  NaN
6	11	0		15.000	  NaN	0.0089		1		128		  NaN
6	12	1		15.000	  NaN	0.0105		1		129		  NaN
6	13	0		15.000	  NaN	0.0476		1		130		  NaN
6	14	0		15.000	  NaN	0.0161		1		131		  NaN
6	15	0		15.000	  NaN	0.0178		1		132		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
7	1	0		15.000	  NaN	0.0134		1		139		  NaN
7	2	0		15.000	  NaN	-0.0019		1		140		  NaN
7	3	1		15.000	  NaN	0.0164		1		141		  NaN
7	4	0		15.000	  NaN	0.0507		1		142		  NaN
7	5	0		15.000	  NaN	0.0200		1		143		  NaN
7	6	1		15.000	  NaN	0.0051		1		144		  NaN
7	7	0		15.000	  NaN	0.0388		1		145		  NaN
