
SESSION 2 initiated 25-Sep-2017 12:34:46 for SUBJECT number 32

session	trial	pair	onset	dur	cue         	associate   
2	1	5	2005  	2003  	ISLAND      	pico14.jpg  
2	2	8	10012 	2002  	BELL        	pici18.jpg  
2	3	4	18002 	2002  	PEBBLE      	pici22.jpg  
2	4	3	26009 	2002  	HAMMER      	pici30.jpg  
2	5	7	34016 	1985  	PIN         	pico11.jpg  
2	6	1	42006 	2002  	RAINBOW     	pici17.jpg  
2	7	6	50012 	2002  	CURTAIN     	pico20.jpg  
2	8	2	58003 	2002  	PUZZLE      	pico16.jpg  


SESSION 2 ended 25-Sep-2017 12:36:13 for SUBJECT number 32




******************************************************************************


SESSION 3 ended 25-Sep-2017 12:38:40 for SUBJECT number 32




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0083		1		13		  NaN
1	2	0		15.000	  NaN	0.0101		1		14		  NaN
1	3	1		15.000	  NaN	0.0118		1		15		  NaN
1	4	0		15.000	  NaN	0.0306		1		16		  NaN
1	5	0		15.000	  NaN	0.0150		1		17		  NaN
1	6	1		15.000	  NaN	-0.0001		1		18		  NaN
1	7	0		15.000	  NaN	0.0530		1		19		  NaN
1	8	0		15.000	  NaN	0.0015		1		20		  NaN
1	9	1		15.000	  NaN	0.0051		1		21		  NaN
1	10	0		15.000	  NaN	0.0571		1		22		  NaN
1	11	0		15.000	  NaN	0.0066		1		23		  NaN
1	12	1		15.000	  NaN	0.0102		1		24		  NaN
1	13	0		15.000	  NaN	0.0312		1		25		  NaN
1	14	0		15.000	  NaN	0.0137		1		26		  NaN
1	15	0		15.000	  NaN	0.0152		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0124		1		34		  NaN
2	2	0		15.000	  NaN	0.0140		1		35		  NaN
2	3	1		15.000	  NaN	0.0156		1		36		  NaN
2	4	0		15.000	  NaN	0.0682		1		37		  NaN
2	5	0		15.000	  NaN	0.0025		1		38		  NaN
2	6	1		15.000	  NaN	0.0019		1		39		  NaN
2	7	0		15.000	  NaN	0.0345		1		40		  NaN
2	8	0		15.000	  NaN	0.0075		1		41		  NaN
2	9	1		15.000	  NaN	0.0069		1		42		  NaN
2	10	0		15.000	  NaN	0.0619		1		43		  NaN
2	11	0		15.000	  NaN	0.0125		1		44		  NaN
2	12	1		15.000	  NaN	0.0141		1		45		  NaN
2	13	0		15.000	  NaN	0.0130		1		46		  NaN
2	14	0		15.000	  NaN	0.0177		1		47		  NaN
2	15	0		15.000	  NaN	0.0195		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0083		1		55		  NaN
3	2	0		15.000	  NaN	0.0076		1		56		  NaN
3	3	1		15.000	  NaN	0.0116		1		57		  NaN
3	4	0		15.000	  NaN	0.0646		1		58		  NaN
3	5	0		15.000	  NaN	-0.0017		1		59		  NaN
3	6	1		15.000	  NaN	0.0144		1		60		  NaN
3	7	0		15.000	  NaN	0.0516		1		61		  NaN
3	8	0		15.000	  NaN	0.0198		1		62		  NaN
3	9	1		15.000	  NaN	0.0380		1		63		  NaN
3	10	0		15.000	  NaN	0.0577		1		64		  NaN
3	11	0		15.000	  NaN	0.0081		1		65		  NaN
3	12	1		15.000	  NaN	0.0079		1		66		  NaN
3	13	0		15.000	  NaN	0.0093		1		67		  NaN
3	14	0		15.000	  NaN	0.0136		1		68		  NaN
3	15	0		15.000	  NaN	0.0154		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0168		1		76		  NaN
4	2	0		15.000	  NaN	-0.0005		1		77		  NaN
4	3	1		15.000	  NaN	0.0015		1		78		  NaN
4	4	0		15.000	  NaN	0.0271		1		79		  NaN
4	5	0		15.000	  NaN	0.0234		1		80		  NaN
4	6	1		15.000	  NaN	0.0252		1		81		  NaN
4	7	0		15.000	  NaN	0.0249		1		82		  NaN
4	8	0		15.000	  NaN	0.0448		1		83		  NaN
4	9	1		15.000	  NaN	0.0137		1		84		  NaN
4	10	0		15.000	  NaN	0.0489		1		85		  NaN
4	11	0		15.000	  NaN	0.0172		1		86		  NaN
4	12	1		15.000	  NaN	0.0022		1		87		  NaN
4	13	0		15.000	  NaN	0.0483		1		88		  NaN
4	14	0		15.000	  NaN	0.0221		1		89		  NaN
4	15	0		15.000	  NaN	0.0070		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		15.000	  NaN	0.0023		1		97		  NaN
5	2	0		15.000	  NaN	0.0185		1		98		  NaN
5	3	1		15.000	  NaN	0.0207		1		99		  NaN
5	4	0		15.000	  NaN	0.0752		1		100		  NaN
5	5	0		15.000	  NaN	0.0258		1		101		  NaN
5	6	1		15.000	  NaN	0.0086		1		102		  NaN
5	7	0		15.000	  NaN	0.0636		1		103		  NaN
5	8	0		15.000	  NaN	0.0145		1		104		  NaN
5	9	1		15.000	  NaN	0.0158		1		105		  NaN
5	10	0		15.000	  NaN	0.0203		1		106		  NaN
5	11	0		15.000	  NaN	0.0193		1		107		  NaN
5	12	1		15.000	  NaN	0.0210		1		108		  NaN
5	13	0		15.000	  NaN	0.0506		1		109		  NaN
5	14	0		15.000	  NaN	0.0244		1		110		  NaN
5	15	0		15.000	  NaN	0.0264		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		15.000	  NaN	0.0049		1		118		  NaN
6	2	0		15.000	  NaN	0.0230		1		119		  NaN
6	3	1		15.000	  NaN	0.0248		1		120		  NaN
6	4	0		15.000	  NaN	0.0599		1		121		  NaN
6	5	0		15.000	  NaN	0.0117		1		122		  NaN
6	6	1		15.000	  NaN	0.0131		1		123		  NaN
6	7	0		15.000	  NaN	0.0488		1		124		  NaN
6	8	0		15.000	  NaN	0.0166		1		125		  NaN
6	9	1		15.000	  NaN	0.0184		1		126		  NaN
6	10	0		15.000	  NaN	0.0536		1		127		  NaN
6	11	0		15.000	  NaN	0.0202		1		128		  NaN
6	12	1		15.000	  NaN	0.0045		1		129		  NaN
6	13	0		15.000	  NaN	0.0280		1		130		  NaN
6	14	0		15.000	  NaN	0.0428		1		131		  NaN
6	15	0		15.000	  NaN	0.0096		1		132		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
7	1	0		15.000	  NaN	0.0073		1		139		  NaN
7	2	0		15.000	  NaN	0.0066		1		140		  NaN
7	3	1		15.000	  NaN	0.0375		1		141		  NaN
7	4	0		15.000	  NaN	0.0467		1		142		  NaN
7	5	0		15.000	  NaN	0.0469		1		143		  NaN
7	6	1		15.000	  NaN	0.0156		1		144		  NaN
7	7	0		15.000	  NaN	0.0042		1		145		  NaN
7	8	0		15.000	  NaN	0.0002		1		146		  NaN
7	9	1		15.000	  NaN	0.0207		1		147		  NaN
7	10	0		15.000	  NaN	0.0735		1		148		  NaN
7	11	0		15.000	  NaN	0.0241		1		149		  NaN
7	12	1		15.000	  NaN	0.0257		1		150		  NaN
7	13	0		15.000	  NaN	0.0443		1		151		  NaN
7	14	0		15.000	  NaN	0.0102		1		152		  NaN
7	15	0		15.000	  NaN	0.0143		1		153		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
8	1	0		15.000	  NaN	0.0095		1		160		  NaN
8	2	0		15.000	  NaN	0.0110		1		161		  NaN
8	3	1		15.000	  NaN	0.0131		1		162		  NaN
8	4	0		15.000	  NaN	0.0481		1		163		  NaN
8	5	0		15.000	  NaN	0.0163		1		164		  NaN
8	6	1		15.000	  NaN	0.0161		1		165		  NaN
8	7	0		15.000	  NaN	0.0244		1		166		  NaN
8	8	0		15.000	  NaN	0.0211		1		167		  NaN
8	9	1		15.000	  NaN	0.0230		1		168		  NaN
8	10	0		15.000	  NaN	0.0756		1		169		  NaN
8	11	0		15.000	  NaN	0.0100		1		170		  NaN
8	12	1		15.000	  NaN	0.0117		1		171		  NaN
8	13	0		15.000	  NaN	0.0467		1		172		  NaN
8	14	0		15.000	  NaN	0.0148		1		173		  NaN
8	15	0		15.000	  NaN	0.0165		1		174		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		14.350	  NaN	0.0047		1		13		  NaN
1	2	0		14.350	  NaN	0.0062		1		14		  NaN
1	3	1		14.350	  NaN	0.0078		1		15		  NaN
1	4	0		14.350	  NaN	0.0427		1		16		  NaN
1	5	0		14.350	  NaN	0.0112		1		17		  NaN
1	6	1		14.350	  NaN	0.0107		1		18		  NaN
1	7	0		14.350	  NaN	0.0135		1		19		  NaN
1	8	0		14.350	  NaN	0.0163		1		20		  NaN
1	9	1		14.350	  NaN	0.0158		1		21		  NaN
1	10	0		14.350	  NaN	0.0367		1		22		  NaN
1	11	0		14.350	  NaN	0.0214		1		23		  NaN
1	12	1		14.350	  NaN	0.0043		1		24		  NaN
1	13	0		14.350	  NaN	0.0397		1		25		  NaN
1	14	0		14.350	  NaN	0.0098		1		26		  NaN
1	15	0		14.350	  NaN	0.0118		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.805	  NaN	0.0071		1		34		  NaN
2	2	0		15.805	  NaN	0.0085		1		35		  NaN
2	3	1		15.805	  NaN	0.0101		1		36		  NaN
2	4	0		15.805	  NaN	0.0631		1		37		  NaN
2	5	0		15.805	  NaN	0.0135		1		38		  NaN
2	6	1		15.805	  NaN	0.0152		1		39		  NaN
2	7	0		15.805	  NaN	0.0679		1		40		  NaN
2	8	0		15.805	  NaN	0.0188		1		41		  NaN
2	9	1		15.805	  NaN	0.0020		1		42		  NaN
2	10	0		15.805	  NaN	0.0564		1		43		  NaN
2	11	0		15.805	  NaN	0.0073		1		44		  NaN
2	12	1		15.805	  NaN	0.0087		1		45		  NaN
2	13	0		15.805	  NaN	0.0616		1		46		  NaN
2	14	0		15.805	  NaN	0.0125		1		47		  NaN
2	15	0		15.805	  NaN	0.0141		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		12.824	  NaN	0.0094		1		55		  NaN
3	2	0		12.824	  NaN	0.0108		1		56		  NaN
3	3	1		12.824	  NaN	0.0125		1		57		  NaN
3	4	0		12.824	  NaN	0.0166		1		58		  NaN
3	5	0		12.824	  NaN	-0.0005		1		59		  NaN
3	6	1		12.824	  NaN	0.0177		1		60		  NaN
3	7	0		12.824	  NaN	0.0213		1		61		  NaN
3	8	0		12.824	  NaN	0.0044		1		62		  NaN
3	9	1		12.824	  NaN	0.0037		1		63		  NaN
3	10	0		12.824	  NaN	0.0615		1		64		  NaN
3	11	0		12.824	  NaN	0.0093		1		65		  NaN
3	12	1		12.824	  NaN	0.0094		1		66		  NaN
3	13	0		12.824	  NaN	0.0480		1		67		  NaN
3	14	0		12.824	  NaN	0.0146		1		68		  NaN
3	15	0		12.824	  NaN	0.0162		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		13.931	  NaN	0.0117		1		76		  NaN
4	2	0		13.931	  NaN	0.0132		1		77		  NaN
4	3	1		13.931	  NaN	0.0150		1		78		  NaN
4	4	0		13.931	  NaN	0.0669		1		79		  NaN
4	5	0		13.931	  NaN	0.0182		1		80		  NaN
4	6	1		13.931	  NaN	0.0034		1		81		  NaN
4	7	0		13.931	  NaN	0.0560		1		82		  NaN
4	8	0		13.931	  NaN	0.0069		1		83		  NaN
4	9	1		13.931	  NaN	0.0085		1		84		  NaN
4	10	0		13.931	  NaN	0.0272		1		85		  NaN
4	11	0		13.931	  NaN	0.0095		1		86		  NaN
4	12	1		13.931	  NaN	-0.0030		1		87		  NaN
4	13	0		13.931	  NaN	0.0630		1		88		  NaN
4	14	0		13.931	  NaN	0.0331		1		89		  NaN
4	15	0		13.931	  NaN	0.0020		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		11.526	  NaN	0.0139		1		97		  NaN
5	2	0		11.526	  NaN	0.0154		1		98		  NaN
5	3	1		11.526	  NaN	0.0174		1		99		  NaN
5	4	0		11.526	  NaN	0.0526		1		100		  NaN
5	5	0		11.526	  NaN	0.0043		1		101		  NaN
5	6	1		11.526	  NaN	0.0059		1		102		  NaN
5	7	0		11.526	  NaN	0.0583		1		103		  NaN
5	8	0		11.526	  NaN	0.0068		1		104		  NaN
5	9	1		11.526	  NaN	0.0110		1		105		  NaN
5	10	0		11.526	  NaN	0.0397		1		106		  NaN
5	11	0		11.526	  NaN	0.0121		1		107		  NaN
5	12	1		11.526	  NaN	0.0160		1		108		  NaN
5	13	0		11.526	  NaN	0.0685		1		109		  NaN
5	14	0		11.526	  NaN	0.0027		1		110		  NaN
5	15	0		11.526	  NaN	0.0045		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		11.526	  NaN	0.0149		1		118		  NaN
6	2	0		11.526	  NaN	-0.0000		1		119		  NaN
6	3	1		11.526	  NaN	0.0347		1		120		  NaN
6	4	0		11.526	  NaN	0.0545		1		121		  NaN
6	5	0		11.526	  NaN	0.0028		1		122		  NaN
6	6	1		11.526	  NaN	0.0067		1		123		  NaN
6	7	0		11.526	  NaN	0.0364		1		124		  NaN
6	8	0		11.526	  NaN	0.0085		1		125		  NaN
6	9	1		11.526	  NaN	0.0118		1		126		  NaN
6	10	0		11.526	  NaN	0.0645		1		127		  NaN
6	11	0		11.526	  NaN	0.0153		1		128		  NaN
6	12	1		11.526	  NaN	0.0002		1		129		  NaN
6	13	0		11.526	  NaN	0.0532		1		130		  NaN
6	14	0		11.526	  NaN	0.0016		1		131		  NaN
6	15	0		11.526	  NaN	0.0054		1		132		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
