
SESSION 2 initiated 12-Oct-2017 17:00:48 for SUBJECT number 36

session	trial	pair	onset	dur	cue         	associate   
2	1	7	2016  	2003  	HAMMER      	pici18.jpg  
2	2	5	10006 	2002  	CURTAIN     	pico20.jpg  
2	3	8	18013 	2002  	RAINBOW     	pico14.jpg  
2	4	4	26003 	2002  	ISLAND      	pici30.jpg  
2	5	2	34010 	2002  	PIN         	pici17.jpg  
2	6	3	42017 	2002  	PUZZLE      	pico11.jpg  
2	7	6	50006 	2002  	PEBBLE      	pici22.jpg  
2	8	1	58014 	2002  	BELL        	pico16.jpg  


SESSION 2 ended 12-Oct-2017 17:02:42 for SUBJECT number 36




******************************************************************************


SESSION 3 ended 12-Oct-2017 17:05:37 for SUBJECT number 36




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0105		1		13		  NaN
1	2	0		15.000	  NaN	0.0123		1		14		  NaN
1	3	1		15.000	  NaN	0.0141		1		15		  NaN
1	4	0		15.000	  NaN	0.0324		1		16		  NaN
1	5	0		15.000	  NaN	0.0173		1		17		  NaN
1	6	1		15.000	  NaN	0.0024		1		18		  NaN
1	7	0		15.000	  NaN	0.0225		1		19		  NaN
1	8	0		15.000	  NaN	0.0035		1		20		  NaN
1	9	1		15.000	  NaN	0.0076		1		21		  NaN
1	10	0		15.000	  NaN	0.0092		1		22		  NaN
1	11	0		15.000	  NaN	0.0085		1		23		  NaN
1	12	1		15.000	  NaN	0.0124		1		24		  NaN
1	13	0		15.000	  NaN	0.0001		1		25		  NaN
1	14	0		15.000	  NaN	-0.0025		1		26		  NaN
1	15	0		15.000	  NaN	0.0007		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0052		1		34		  NaN
2	2	0		15.000	  NaN	0.0074		1		35		  NaN
2	3	1		15.000	  NaN	0.0069		1		36		  NaN
2	4	0		15.000	  NaN	0.0439		1		37		  NaN
2	5	0		15.000	  NaN	0.0117		1		38		  NaN
2	6	1		15.000	  NaN	0.0135		1		39		  NaN
