
SESSION 2 initiated 17-Oct-2017 10:04:27 for SUBJECT number 38

session	trial	pair	onset	dur	cue         	associate   
2	1	1	2013  	2003  	PUZZLE      	pici22.jpg  
2	2	6	10003 	2002  	RAINBOW     	pici17.jpg  
2	3	4	18010 	2002  	PIN         	pici30.jpg  
2	4	5	26017 	1985  	ISLAND      	pico14.jpg  
2	5	7	34007 	2002  	CURTAIN     	pico16.jpg  
2	6	2	42014 	2002  	BELL        	pico11.jpg  
2	7	8	50004 	2002  	HAMMER      	pici18.jpg  
2	8	3	58010 	2002  	PEBBLE      	pico20.jpg  


SESSION 2 ended 17-Oct-2017 10:06:07 for SUBJECT number 38




******************************************************************************


SESSION 3 ended 17-Oct-2017 10:10:59 for SUBJECT number 38




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0028		1		13		  NaN
1	2	0		15.000	  NaN	0.0046		1		14		  NaN
1	3	1		15.000	  NaN	0.0058		1		15		  NaN
1	4	0		15.000	  NaN	0.0458		1		16		  NaN
1	5	0		15.000	  NaN	0.0262		1		17		  NaN
1	6	1		15.000	  NaN	0.0279		1		18		  NaN
1	7	0		15.000	  NaN	0.0285		1		19		  NaN
1	8	0		15.000	  NaN	0.0146		1		20		  NaN
1	9	1		15.000	  NaN	0.0164		1		21		  NaN
1	10	0		15.000	  NaN	0.0220		1		22		  NaN
1	11	0		15.000	  NaN	0.0032		1		23		  NaN
1	12	1		15.000	  NaN	0.0047		1		24		  NaN
1	13	0		15.000	  NaN	0.0266		1		25		  NaN
1	14	0		15.000	  NaN	0.0080		1		26		  NaN
1	15	0		15.000	  NaN	0.0264		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0049		1		34		  NaN
2	2	0		15.000	  NaN	0.0062		1		35		  NaN
2	3	1		15.000	  NaN	0.0084		1		36		  NaN
2	4	0		15.000	  NaN	0.0287		1		37		  NaN
2	5	0		15.000	  NaN	0.0116		1		38		  NaN
2	6	1		15.000	  NaN	0.0298		1		39		  NaN
2	7	0		15.000	  NaN	0.0136		1		40		  NaN
