
SESSION 2 initiated 22-Jun-2017 16:21:20 for SUBJECT number 4

session	trial	pair	onset	dur	cue         	associate   
2	1	5	2007  	2002  	PEBBLE      	pico11.jpg  
2	2	2	10014 	1985  	BELL        	pico20.jpg  
2	3	6	18004 	2002  	ISLAND      	pico14.jpg  
2	4	3	26011 	2002  	HAMMER      	pici17.jpg  
2	5	7	34001 	2002  	RAINBOW     	pici18.jpg  
2	6	1	42007 	2002  	PUZZLE      	pici30.jpg  
2	7	4	50014 	2002  	PIN         	pici22.jpg  
2	8	8	58004 	2002  	CURTAIN     	pico16.jpg  


SESSION 2 ended 22-Jun-2017 16:22:35 for SUBJECT number 4




******************************************************************************


SESSION 3 ended 22-Jun-2017 16:25:28 for SUBJECT number 4




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0179		1		13		  NaN
1	2	0		15.000	  NaN	0.0197		1		14		  NaN
1	3	1		15.000	  NaN	0.0215		1		15		  NaN
1	4	0		15.000	  NaN	0.0236		1		16		  NaN
1	5	0		15.000	  NaN	0.0079		1		17		  NaN
1	6	1		15.000	  NaN	0.0100		1		18		  NaN
1	7	0		15.000	  NaN	0.0474		1		19		  NaN
1	8	0		15.000	  NaN	0.0130		1		20		  NaN
1	9	1		15.000	  NaN	0.0146		1		21		  NaN
1	10	0		15.000	  NaN	0.0132		1		22		  NaN
1	11	0		15.000	  NaN	0.0165		1		23		  NaN
1	12	1		15.000	  NaN	0.0198		1		24		  NaN
1	13	0		15.000	  NaN	0.0180		1		25		  NaN
1	14	0		15.000	  NaN	0.0209		1		26		  NaN
1	15	0		15.000	  NaN	0.0430		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0070		1		34		  NaN
2	2	0		15.000	  NaN	0.0082		1		35		  NaN
2	3	1		15.000	  NaN	0.0100		1		36		  NaN
2	4	0		15.000	  NaN	0.0635		1		37		  NaN
2	5	0		15.000	  NaN	0.0135		1		38		  NaN
2	6	1		15.000	  NaN	0.0139		1		39		  NaN
2	7	0		15.000	  NaN	0.0004		1		40		  NaN
2	8	0		15.000	  NaN	0.0021		1		41		  NaN
2	9	1		15.000	  NaN	0.0202		1		42		  NaN
2	10	0		15.000	  NaN	0.0560		1		43		  NaN
2	11	0		15.000	  NaN	0.0237		1		44		  NaN
2	12	1		15.000	  NaN	0.0253		1		45		  NaN
2	13	0		15.000	  NaN	0.0283		1		46		  NaN
2	14	0		15.000	  NaN	0.0122		1		47		  NaN
2	15	0		15.000	  NaN	0.0138		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0029		1		55		  NaN
3	2	0		15.000	  NaN	0.0045		1		56		  NaN
3	3	1		15.000	  NaN	0.0063		1		57		  NaN
3	4	0		15.000	  NaN	0.0086		1		58		  NaN
3	5	0		15.000	  NaN	0.0097		1		59		  NaN
3	6	1		15.000	  NaN	0.0111		1		60		  NaN
3	7	0		15.000	  NaN	0.0139		1		61		  NaN
3	8	0		15.000	  NaN	0.0123		1		62		  NaN
3	9	1		15.000	  NaN	-0.0002		1		63		  NaN
3	10	0		15.000	  NaN	0.0029		1		64		  NaN
3	11	0		15.000	  NaN	0.0029		1		65		  NaN
3	12	1		15.000	  NaN	0.0051		1		66		  NaN
3	13	0		15.000	  NaN	0.0081		1		67		  NaN
3	14	0		15.000	  NaN	0.0082		1		68		  NaN
3	15	0		15.000	  NaN	0.0080		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0115		1		76		  NaN
4	2	0		15.000	  NaN	0.0108		1		77		  NaN
4	3	1		15.000	  NaN	0.0126		1		78		  NaN
4	4	0		15.000	  NaN	0.0478		1		79		  NaN
4	5	0		15.000	  NaN	0.0164		1		80		  NaN
4	6	1		15.000	  NaN	0.0006		1		81		  NaN
4	7	0		15.000	  NaN	0.0586		1		82		  NaN
4	8	0		15.000	  NaN	0.0231		1		83		  NaN
4	9	1		15.000	  NaN	0.0080		1		84		  NaN
4	10	0		15.000	  NaN	0.0366		1		85		  NaN
4	11	0		15.000	  NaN	0.0115		1		86		  NaN
4	12	1		15.000	  NaN	0.0110		1		87		  NaN
4	13	0		15.000	  NaN	0.0353		1		88		  NaN
4	14	0		15.000	  NaN	0.0166		1		89		  NaN
4	15	0		15.000	  NaN	0.0186		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		15.000	  NaN	0.0138		1		97		  NaN
5	2	0		15.000	  NaN	0.0151		1		98		  NaN
5	3	1		15.000	  NaN	0.0169		1		99		  NaN
5	4	0		15.000	  NaN	0.0530		1		100		  NaN
5	5	0		15.000	  NaN	0.0182		1		101		  NaN
5	6	1		15.000	  NaN	0.0197		1		102		  NaN
5	7	0		15.000	  NaN	0.0434		1		103		  NaN
5	8	0		15.000	  NaN	0.0423		1		104		  NaN
5	9	1		15.000	  NaN	0.0105		1		105		  NaN
5	10	0		15.000	  NaN	0.0467		1		106		  NaN
5	11	0		15.000	  NaN	0.0138		1		107		  NaN
5	12	1		15.000	  NaN	0.0157		1		108		  NaN
5	13	0		15.000	  NaN	0.0518		1		109		  NaN
5	14	0		15.000	  NaN	0.0189		1		110		  NaN
5	15	0		15.000	  NaN	0.0208		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		15.000	  NaN	0.0159		1		118		  NaN
6	2	0		15.000	  NaN	0.0176		1		119		  NaN
6	3	1		15.000	  NaN	0.0193		1		120		  NaN
6	4	0		15.000	  NaN	0.0228		1		121		  NaN
6	5	0		15.000	  NaN	0.0043		1		122		  NaN
6	6	1		15.000	  NaN	0.0076		1		123		  NaN
6	7	0		15.000	  NaN	0.0386		1		124		  NaN
6	8	0		15.000	  NaN	0.0088		1		125		  NaN
6	9	1		15.000	  NaN	0.0127		1		126		  NaN
6	10	0		15.000	  NaN	0.0484		1		127		  NaN
6	11	0		15.000	  NaN	0.0163		1		128		  NaN
6	12	1		15.000	  NaN	0.0158		1		129		  NaN
6	13	0		15.000	  NaN	0.0533		1		130		  NaN
6	14	0		15.000	  NaN	0.0194		1		131		  NaN
6	15	0		15.000	  NaN	0.0040		1		132		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
