
SESSION 2 initiated 25-Oct-2017 14:35:25 for SUBJECT number 40

session	trial	pair	onset	dur	cue         	associate   
2	1	7	2001  	2002  	HAMMER      	pici18.jpg  
2	2	2	10008 	2002  	PEBBLE      	pico16.jpg  
2	3	3	18015 	1988  	PIN         	pico11.jpg  
2	4	6	26005 	2002  	RAINBOW     	pici22.jpg  
2	5	5	34011 	2002  	ISLAND      	pico20.jpg  
2	6	8	42002 	2002  	CURTAIN     	pici30.jpg  
2	7	4	50009 	2002  	BELL        	pici17.jpg  
2	8	1	58015 	2002  	PUZZLE      	pico14.jpg  


SESSION 2 ended 25-Oct-2017 14:37:06 for SUBJECT number 40




******************************************************************************


SESSION 3 ended 25-Oct-2017 14:39:29 for SUBJECT number 40




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0117		1		13		  NaN
1	2	0		15.000	  NaN	0.0303		1		14		  NaN
1	3	1		15.000	  NaN	0.0151		1		15		  NaN
1	4	0		15.000	  NaN	0.0215		1		16		  NaN
1	5	0		15.000	  NaN	0.0167		1		17		  NaN
1	6	1		15.000	  NaN	0.0016		1		18		  NaN
1	7	0		15.000	  NaN	0.0540		1		19		  NaN
1	8	0		15.000	  NaN	0.0214		1		20		  NaN
1	9	1		15.000	  NaN	0.0088		1		21		  NaN
1	10	0		15.000	  NaN	0.0249		1		22		  NaN
1	11	0		15.000	  NaN	0.0122		1		23		  NaN
1	12	1		15.000	  NaN	0.0139		1		24		  NaN
1	13	0		15.000	  NaN	0.0526		1		25		  NaN
1	14	0		15.000	  NaN	0.0172		1		26		  NaN
1	15	0		15.000	  NaN	0.0023		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0065		1		34		  NaN
2	2	0		15.000	  NaN	0.0082		1		35		  NaN
2	3	1		15.000	  NaN	0.0099		1		36		  NaN
2	4	0		15.000	  NaN	0.0325		1		37		  NaN
2	5	0		15.000	  NaN	0.0133		1		38		  NaN
2	6	1		15.000	  NaN	-0.0039		1		39		  NaN
2	7	0		15.000	  NaN	0.0192		1		40		  NaN
2	8	0		15.000	  NaN	-0.0005		1		41		  NaN
2	9	1		15.000	  NaN	0.0034		1		42		  NaN
2	10	0		15.000	  NaN	0.0018		1		43		  NaN
2	11	0		15.000	  NaN	0.0070		1		44		  NaN
2	12	1		15.000	  NaN	0.0086		1		45		  NaN
2	13	0		15.000	  NaN	0.0129		1		46		  NaN
2	14	0		15.000	  NaN	0.0119		1		47		  NaN
2	15	0		15.000	  NaN	0.0138		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0122		1		55		  NaN
3	2	0		15.000	  NaN	0.0137		1		56		  NaN
3	3	1		15.000	  NaN	-0.0014		1		57		  NaN
3	4	0		15.000	  NaN	0.0148		1		58		  NaN
3	5	0		15.000	  NaN	-0.0002		1		59		  NaN
3	6	1		15.000	  NaN	0.0041		1		60		  NaN
3	7	0		15.000	  NaN	0.0248		1		61		  NaN
3	8	0		15.000	  NaN	0.0076		1		62		  NaN
3	9	1		15.000	  NaN	0.0069		1		63		  NaN
3	10	0		15.000	  NaN	0.0488		1		64		  NaN
3	11	0		15.000	  NaN	0.0101		1		65		  NaN
3	12	1		15.000	  NaN	0.0119		1		66		  NaN
3	13	0		15.000	  NaN	0.0296		1		67		  NaN
3	14	0		15.000	  NaN	0.0174		1		68		  NaN
3	15	0		15.000	  NaN	0.0003		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0075		1		76		  NaN
4	2	0		15.000	  NaN	0.0258		1		77		  NaN
4	3	1		15.000	  NaN	0.0109		1		78		  NaN
4	4	0		15.000	  NaN	0.0450		1		79		  NaN
4	5	0		15.000	  NaN	0.0119		1		80		  NaN
4	6	1		15.000	  NaN	0.0159		1		81		  NaN
4	7	0		15.000	  NaN	0.0488		1		82		  NaN
4	8	0		15.000	  NaN	0.0008		1		83		  NaN
4	9	1		15.000	  NaN	0.0045		1		84		  NaN
4	10	0		15.000	  NaN	0.0283		1		85		  NaN
4	11	0		15.000	  NaN	0.0079		1		86		  NaN
4	12	1		15.000	  NaN	0.0094		1		87		  NaN
4	13	0		15.000	  NaN	0.0430		1		88		  NaN
4	14	0		15.000	  NaN	0.0128		1		89		  NaN
4	15	0		15.000	  NaN	0.0147		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		15.000	  NaN	0.0098		1		97		  NaN
5	2	0		15.000	  NaN	0.0114		1		98		  NaN
5	3	1		15.000	  NaN	0.0131		1		99		  NaN
5	4	0		15.000	  NaN	0.0489		1		100		  NaN
5	5	0		15.000	  NaN	0.0165		1		101		  NaN
5	6	1		15.000	  NaN	0.0184		1		102		  NaN
5	7	0		15.000	  NaN	0.0198		1		103		  NaN
5	8	0		15.000	  NaN	0.0026		1		104		  NaN
5	9	1		15.000	  NaN	0.0069		1		105		  NaN
5	10	0		15.000	  NaN	0.0427		1		106		  NaN
5	11	0		15.000	  NaN	0.0100		1		107		  NaN
5	12	1		15.000	  NaN	0.0117		1		108		  NaN
5	13	0		15.000	  NaN	0.0475		1		109		  NaN
5	14	0		15.000	  NaN	0.0153		1		110		  NaN
5	15	0		15.000	  NaN	0.0003		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		15.000	  NaN	0.0123		1		118		  NaN
6	2	0		15.000	  NaN	0.0137		1		119		  NaN
6	3	1		15.000	  NaN	0.0155		1		120		  NaN
6	4	0		15.000	  NaN	0.0495		1		121		  NaN
