
SESSION 2 initiated 24-Jun-2017 11:01:10 for SUBJECT number 5

session	trial	pair	onset	dur	cue         	associate   
2	1	8	2012  	2003  	BELL        	pico16.jpg  
2	2	1	10002 	2002  	ISLAND      	pico11.jpg  
2	3	7	18009 	2002  	PIN         	pici22.jpg  
2	4	4	26016 	2002  	CURTAIN     	pici30.jpg  
2	5	5	34006 	2002  	HAMMER      	pici17.jpg  
2	6	2	42013 	2002  	PEBBLE      	pici18.jpg  
2	7	3	50003 	2002  	RAINBOW     	pico20.jpg  
2	8	6	58010 	2002  	PUZZLE      	pico14.jpg  


SESSION 2 ended 24-Jun-2017 11:02:32 for SUBJECT number 5




******************************************************************************


SESSION 3 ended 24-Jun-2017 11:06:55 for SUBJECT number 5




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0083		1		13		  NaN
1	2	0		15.000	  NaN	0.0099		1		14		  NaN
1	3	1		15.000	  NaN	0.0118		1		15		  NaN
1	4	0		15.000	  NaN	0.0652		1		16		  NaN
1	5	0		15.000	  NaN	-0.0036		1		17		  NaN
1	6	1		15.000	  NaN	0.0168		1		18		  NaN
1	7	0		15.000	  NaN	-0.0006		1		19		  NaN
1	8	0		15.000	  NaN	0.0035		1		20		  NaN
1	9	1		15.000	  NaN	0.0053		1		21		  NaN
1	10	0		15.000	  NaN	0.0070		1		22		  NaN
1	11	0		15.000	  NaN	0.0087		1		23		  NaN
1	12	1		15.000	  NaN	0.0105		1		24		  NaN
1	13	0		15.000	  NaN	0.0120		1		25		  NaN
1	14	0		15.000	  NaN	-0.0031		1		26		  NaN
1	15	0		15.000	  NaN	-0.0034		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0063		1		34		  NaN
2	2	0		15.000	  NaN	0.0077		1		35		  NaN
2	3	1		15.000	  NaN	0.0093		1		36		  NaN
2	4	0		15.000	  NaN	0.0276		1		37		  NaN
2	5	0		15.000	  NaN	0.0104		1		38		  NaN
2	6	1		15.000	  NaN	-0.0045		1		39		  NaN
2	7	0		15.000	  NaN	0.0171		1		40		  NaN
2	8	0		15.000	  NaN	0.0011		1		41		  NaN
2	9	1		15.000	  NaN	0.0027		1		42		  NaN
2	10	0		15.000	  NaN	0.0218		1		43		  NaN
2	11	0		15.000	  NaN	0.0060		1		44		  NaN
2	12	1		15.000	  NaN	0.0078		1		45		  NaN
2	13	0		15.000	  NaN	0.0099		1		46		  NaN
2	14	0		15.000	  NaN	0.0112		1		47		  NaN
2	15	0		15.000	  NaN	0.0129		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0166		1		55		  NaN
3	2	0		15.000	  NaN	0.0012		1		56		  NaN
3	3	1		15.000	  NaN	0.0031		1		57		  NaN
3	4	0		15.000	  NaN	0.0056		1		58		  NaN
3	5	0		15.000	  NaN	0.0049		1		59		  NaN
3	6	1		15.000	  NaN	0.0080		1		60		  NaN
3	7	0		15.000	  NaN	0.0101		1		61		  NaN
3	8	0		15.000	  NaN	0.0100		1		62		  NaN
3	9	1		15.000	  NaN	0.0298		1		63		  NaN
3	10	0		15.000	  NaN	-0.0049		1		64		  NaN
3	11	0		15.000	  NaN	-0.0001		1		65		  NaN
3	12	1		15.000	  NaN	0.0161		1		66		  NaN
3	13	0		15.000	  NaN	0.0046		1		67		  NaN
3	14	0		15.000	  NaN	0.0051		1		68		  NaN
3	15	0		15.000	  NaN	0.0067		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0076		1		76		  NaN
4	2	0		15.000	  NaN	0.0093		1		77		  NaN
4	3	1		15.000	  NaN	0.0109		1		78		  NaN
4	4	0		15.000	  NaN	0.0473		1		79		  NaN
4	5	0		15.000	  NaN	0.0144		1		80		  NaN
4	6	1		15.000	  NaN	0.0161		1		81		  NaN
4	7	0		15.000	  NaN	0.0156		1		82		  NaN
4	8	0		15.000	  NaN	0.0028		1		83		  NaN
4	9	1		15.000	  NaN	0.0045		1		84		  NaN
4	10	0		15.000	  NaN	0.0073		1		85		  NaN
4	11	0		15.000	  NaN	0.0058		1		86		  NaN
4	12	1		15.000	  NaN	0.0095		1		87		  NaN
4	13	0		15.000	  NaN	0.0125		1		88		  NaN
4	14	0		15.000	  NaN	0.0110		1		89		  NaN
4	15	0		15.000	  NaN	0.0313		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		15.000	  NaN	0.0102		1		97		  NaN
5	2	0		15.000	  NaN	0.0117		1		98		  NaN
5	3	1		15.000	  NaN	0.0299		1		99		  NaN
5	4	0		15.000	  NaN	-0.0033		1		100		  NaN
5	5	0		15.000	  NaN	0.0147		1		101		  NaN
5	6	1		15.000	  NaN	-0.0003		1		102		  NaN
5	7	0		15.000	  NaN	0.0380		1		103		  NaN
5	8	0		15.000	  NaN	0.0051		1		104		  NaN
5	9	1		15.000	  NaN	0.0068		1		105		  NaN
5	10	0		15.000	  NaN	0.0099		1		106		  NaN
5	11	0		15.000	  NaN	0.0103		1		107		  NaN
5	12	1		15.000	  NaN	0.0287		1		108		  NaN
5	13	0		15.000	  NaN	0.0447		1		109		  NaN
5	14	0		15.000	  NaN	0.0153		1		110		  NaN
5	15	0		15.000	  NaN	0.0005		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		15.000	  NaN	0.0126		1		118		  NaN
6	2	0		15.000	  NaN	0.0116		1		119		  NaN
6	3	1		15.000	  NaN	0.0156		1		120		  NaN
6	4	0		15.000	  NaN	0.0193		1		121		  NaN
6	5	0		15.000	  NaN	0.0024		1		122		  NaN
6	6	1		15.000	  NaN	0.0041		1		123		  NaN
6	7	0		15.000	  NaN	0.0081		1		124		  NaN
6	8	0		15.000	  NaN	0.0075		1		125		  NaN
6	9	1		15.000	  NaN	0.0093		1		126		  NaN
6	10	0		15.000	  NaN	0.0133		1		127		  NaN
6	11	0		15.000	  NaN	0.0128		1		128		  NaN
6	12	1		15.000	  NaN	0.0144		1		129		  NaN
6	13	0		15.000	  NaN	0.0523		1		130		  NaN
6	14	0		15.000	  NaN	0.0009		1		131		  NaN
6	15	0		15.000	  NaN	0.0027		1		132		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
7	1	0		15.000	  NaN	0.0148		1		139		  NaN
7	2	0		15.000	  NaN	-0.0004		1		140		  NaN
7	3	1		15.000	  NaN	0.0012		1		141		  NaN
7	4	0		15.000	  NaN	0.0010		1		142		  NaN
7	5	0		15.000	  NaN	0.0028		1		143		  NaN
7	6	1		15.000	  NaN	0.0064		1		144		  NaN
