
SESSION 2 initiated 27-Jun-2017 15:33:50 for SUBJECT number 8

session	trial	pair	onset	dur	cue         	associate   
2	1	2	2016  	2002  	ISLAND      	pico14.jpg  
2	2	6	10006 	2002  	PUZZLE      	pici30.jpg  
2	3	7	18014 	2002  	PEBBLE      	pici18.jpg  
2	4	3	26003 	2002  	HAMMER      	pici22.jpg  
2	5	1	34010 	2002  	RAINBOW     	pico16.jpg  
2	6	8	42000 	2019  	BELL        	pico20.jpg  
2	7	4	50007 	2002  	PIN         	pico11.jpg  
2	8	5	58014 	2002  	CURTAIN     	pici17.jpg  


SESSION 2 ended 27-Jun-2017 15:35:29 for SUBJECT number 8




******************************************************************************


SESSION 3 ended 27-Jun-2017 15:38:12 for SUBJECT number 8




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0097		1		13		  NaN
1	2	0		15.000	  NaN	0.0113		1		14		  NaN
1	3	1		15.000	  NaN	0.0130		1		15		  NaN
1	4	0		15.000	  NaN	0.0338		1		16		  NaN
1	5	0		15.000	  NaN	-0.0019		1		17		  NaN
1	6	1		15.000	  NaN	0.0015		1		18		  NaN
1	7	0		15.000	  NaN	0.0232		1		19		  NaN
1	8	0		15.000	  NaN	0.0050		1		20		  NaN
1	9	1		15.000	  NaN	0.0064		1		21		  NaN
1	10	0		15.000	  NaN	0.0084		1		22		  NaN
1	11	0		15.000	  NaN	0.0077		1		23		  NaN
1	12	1		15.000	  NaN	0.0119		1		24		  NaN
1	13	0		15.000	  NaN	0.0141		1		25		  NaN
1	14	0		15.000	  NaN	0.0151		1		26		  NaN
1	15	0		15.000	  NaN	-0.0001		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0167		1		34		  NaN
2	2	0		15.000	  NaN	0.0014		1		35		  NaN
2	3	1		15.000	  NaN	0.0032		1		36		  NaN
2	4	0		15.000	  NaN	0.0226		1		37		  NaN
