trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	14.2  	1   	PHONE     	lure    	0.414	NR  	1   	NR      	NR      
2   	14.7  	2   	RATTLE    	lure    	0.452	NR  	1   	NR      	NR      
3   	15.2  	3   	ANCHOR    	lure    	0.586	NR  	1   	NR      	NR      
4   	15.8  	1   	PHONE (repeat 1)	lure    	0.541	NR  	1   	NR      	NR      
5   	16.4  	2   	RATTLE (repeat 1)	lure    	0.677	NR  	1   	NR      	NR      
6   	17.1  	4   	EASEL     	lure    	0.7 	NR  	1   	NR      	NR      
7   	17.9  	5   	MOON      	lure    	0.488	NR  	1   	NR      	NR      
8   	18.4  	3   	ANCHOR (repeat 1)	lure    	0.414	NR  	1   	NR      	NR      
9   	18.9  	6   	STAPLE    	lure    	0.424	NR  	1   	NR      	NR      
10  	19.4  	7   	BRUSH     	lure    	0.54	NR  	1   	NR      	NR      
11  	20    	1   	PHONE (repeat 2)	lure    	0.392	NR  	1   	NR      	NR      
12  	20.4  	8   	BASKET    	lure    	0.39	NR  	1   	NR      	NR      
13  	20.9  	3   	ANCHOR (repeat 2)	lure    	0.524	NR  	1   	NR      	NR      
14  	21.5  	9   	MATCH     	lure    	0.455	NR  	1   	NR      	NR      
15  	22    	8   	BASKET (repeat 1)	lure    	0.397	NR  	1   	NR      	NR      
16  	22.4  	10  	BUBBLE    	lure    	0.451	NR  	1   	NR      	NR      
17  	22.9  	3   	ANCHOR (repeat 3)	lure    	0.328	NR  	1   	NR      	NR      
18  	23.3  	11  	DRUM      	lure    	0.451	NR  	1   	NR      	NR      
19  	23.8  	7   	BRUSH (repeat 1)	lure    	0.678	NR  	1   	NR      	NR      
20  	24.5  	8   	BASKET (repeat 2)	lure    	0.451	NR  	1   	NR      	NR      
21  	25    	12  	NOTE      	lure    	0.532	NR  	1   	NR      	NR      
22  	25.6  	5   	MOON (repeat 1)	lure    	0.453	NR  	1   	NR      	NR      
23  	26.1  	13  	MANGO     	fruit   	0.95	0.634	1   	target  	target  
24  	27.2  	11  	DRUM (repeat 1)	lure    	0.572	NR  	1   	NR      	NR      
25  	27.8  	3   	ANCHOR (repeat 4)	lure    	0.667	NR  	1   	NR      	NR      
26  	28.5  	14  	PAINT     	lure    	0.687	NR  	1   	NR      	NR      
27  	29.2  	1   	PHONE (repeat 3)	lure    	0.426	NR  	1   	NR      	NR      
28  	29.7  	15  	DENT      	lure    	0.299	NR  	1   	NR      	NR      
29  	30.1  	1   	PHONE (repeat 4)	lure    	0.268	NR  	1   	NR      	NR      
30  	30.4  	6   	STAPLE (repeat 1)	lure    	0.685	NR  	1   	NR      	NR      
31  	31.2  	1   	PHONE (repeat 5)	lure    	0.438	NR  	1   	NR      	NR      
32  	31.6  	3   	ANCHOR (repeat 5)	lure    	0.7 	NR  	1   	NR      	NR      
33  	32.4  	15  	DENT (repeat 1)	lure    	0.318	NR  	1   	NR      	NR      
34  	32.8  	7   	BRUSH (repeat 2)	lure    	0.583	NR  	1   	NR      	NR      
35  	33.4  	1   	PHONE (repeat 6)	lure    	0.585	NR  	1   	NR      	NR      
36  	34.1  	15  	DENT (repeat 2)	lure    	0.255	NR  	1   	NR      	NR      
37  	34.4  	6   	STAPLE (repeat 2)	lure    	0.642	NR  	1   	NR      	NR      
38  	35.1  	15  	DENT (repeat 3)	lure    	0.337	NR  	1   	NR      	NR      
39  	35.5  	14  	PAINT (repeat 1)	lure    	0.581	NR  	1   	NR      	NR      
40  	36.1  	11  	DRUM (repeat 2)	lure    	0.617	NR  	1   	NR      	NR      
41  	36.8  	2   	RATTLE (repeat 2)	lure    	0.358	NR  	1   	NR      	NR      
42  	37.2  	8   	BASKET (repeat 3)	lure    	0.443	NR  	1   	NR      	NR      
43  	37.7  	2   	RATTLE (repeat 3)	lure    	0.485	NR  	1   	NR      	NR      
44  	38.2  	8   	BASKET (repeat 4)	lure    	0.451	NR  	1   	NR      	NR      
45  	38.7  	2   	RATTLE (repeat 4)	lure    	0.698	NR  	1   	NR      	NR      
46  	39.5  	3   	ANCHOR (repeat 6)	lure    	0.454	NR  	1   	NR      	NR      
47  	40    	6   	STAPLE (repeat 3)	lure    	0.528	NR  	1   	NR      	NR      
48  	40.6  	5   	MOON (repeat 2)	lure    	0.452	NR  	1   	NR      	NR      
49  	41.1  	4   	EASEL (repeat 1)	lure    	0.338	NR  	1   	NR      	NR      
50  	41.5  	16  	TICKET    	lure    	0.452	NR  	1   	NR      	NR      
