
SESSION 2 initiated 28-Jun-2017 08:17:37 for SUBJECT number 9

session	trial	pair	onset	dur	cue         	associate   
2	1	2	2016  	2003  	BELL        	pici30.jpg  
2	2	3	10006 	2002  	PIN         	pico16.jpg  
2	3	1	18013 	2002  	ISLAND      	pici17.jpg  
2	4	5	26003 	2002  	PEBBLE      	pico20.jpg  
2	5	6	34010 	2002  	PUZZLE      	pico14.jpg  
2	6	7	42000 	2019  	HAMMER      	pico11.jpg  
2	7	4	50007 	2002  	RAINBOW     	pici22.jpg  
2	8	8	58014 	2002  	CURTAIN     	pici18.jpg  


SESSION 2 ended 28-Jun-2017 08:18:54 for SUBJECT number 9




******************************************************************************


SESSION 3 ended 28-Jun-2017 08:23:02 for SUBJECT number 9




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		15.000	  NaN	0.0089		1		13		  NaN
1	2	0		15.000	  NaN	0.0104		1		14		  NaN
1	3	1		15.000	  NaN	0.0125		1		15		  NaN
1	4	0		15.000	  NaN	0.0144		1		16		  NaN
1	5	0		15.000	  NaN	-0.0009		1		17		  NaN
1	6	1		15.000	  NaN	0.0007		1		18		  NaN
1	7	0		15.000	  NaN	0.0370		1		19		  NaN
1	8	0		15.000	  NaN	0.0018		1		20		  NaN
1	9	1		15.000	  NaN	0.0058		1		21		  NaN
1	10	0		15.000	  NaN	0.0422		1		22		  NaN
1	11	0		15.000	  NaN	0.0069		1		23		  NaN
1	12	1		15.000	  NaN	0.0107		1		24		  NaN
1	13	0		15.000	  NaN	0.0127		1		25		  NaN
1	14	0		15.000	  NaN	0.0143		1		26		  NaN
1	15	0		15.000	  NaN	0.0160		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.000	  NaN	0.0160		1		34		  NaN
2	2	0		15.000	  NaN	0.0011		1		35		  NaN
2	3	1		15.000	  NaN	0.0026		1		36		  NaN
2	4	0		15.000	  NaN	0.0223		1		37		  NaN
2	5	0		15.000	  NaN	0.0227		1		38		  NaN
2	6	1		15.000	  NaN	0.0226		1		39		  NaN
2	7	0		15.000	  NaN	0.0073		1		40		  NaN
2	8	0		15.000	  NaN	0.0279		1		41		  NaN
2	9	1		15.000	  NaN	0.0130		1		42		  NaN
2	10	0		15.000	  NaN	0.0157		1		43		  NaN
2	11	0		15.000	  NaN	0.0141		1		44		  NaN
2	12	1		15.000	  NaN	0.0012		1		45		  NaN
2	13	0		15.000	  NaN	0.0031		1		46		  NaN
2	14	0		15.000	  NaN	0.0023		1		47		  NaN
2	15	0		15.000	  NaN	0.0231		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0027		1		55		  NaN
3	2	0		15.000	  NaN	0.0040		1		56		  NaN
3	3	1		15.000	  NaN	0.0058		1		57		  NaN
3	4	0		15.000	  NaN	0.0077		1		58		  NaN
3	5	0		15.000	  NaN	0.0092		1		59		  NaN
3	6	1		15.000	  NaN	0.0277		1		60		  NaN
3	7	0		15.000	  NaN	0.0143		1		61		  NaN
3	8	0		15.000	  NaN	0.0144		1		62		  NaN
3	9	1		15.000	  NaN	0.0529		1		63		  NaN
3	10	0		15.000	  NaN	0.0015		1		64		  NaN
3	11	0		15.000	  NaN	0.0027		1		65		  NaN
3	12	1		15.000	  NaN	0.0046		1		66		  NaN
3	13	0		15.000	  NaN	0.0066		1		67		  NaN
3	14	0		15.000	  NaN	0.0248		1		68		  NaN
3	15	0		15.000	  NaN	0.0262		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0130		1		76		  NaN
4	2	0		15.000	  NaN	0.0147		1		77		  NaN
4	3	1		15.000	  NaN	0.0163		1		78		  NaN
4	4	0		15.000	  NaN	0.0185		1		79		  NaN
4	5	0		15.000	  NaN	0.0029		1		80		  NaN
4	6	1		15.000	  NaN	0.0045		1		81		  NaN
4	7	0		15.000	  NaN	0.0405		1		82		  NaN
4	8	0		15.000	  NaN	0.0084		1		83		  NaN
4	9	1		15.000	  NaN	0.0101		1		84		  NaN
4	10	0		15.000	  NaN	0.0461		1		85		  NaN
4	11	0		15.000	  NaN	0.0112		1		86		  NaN
4	12	1		15.000	  NaN	0.0131		1		87		  NaN
4	13	0		15.000	  NaN	0.0512		1		88		  NaN
4	14	0		15.000	  NaN	0.0186		1		89		  NaN
